B: 	ja 
B: 	deze zijn lastig 
B: 	dit zijn gewoon een kop en daarbovenop zitten een een balk 
B: 	gewoon een recht balk 
B: 	en hij hebben niet zoveel zeggen maar langwerpig uitsteeksel hij hebben gewoon één die een beetje zo aflooppen 
B: 	zo 
B: 	en één die zo omhoogsteekken 
B: 	aan de rechterkant 
B: 	ja 
B: 	die afloopt zijn een beetje een soort hellink die eraan vastgeplakt zitten 
A: 	en de zitten er aan de bovenkant ook nog een rechthoekig balk 
B: 	een balk 
B: 	ja een soort van 
B: 	beetje zoals die Xboxbalk waar we nu mee filmen worden 
A: 	ja 
B: 	bovenop 
A: 	oké 
A: 	dat zijn nummer acht 
B: 	oké deze staan echt bijna pal in het midden 
B: 	echt een klein stuk naar links verschoven te opzicht van het midden en een klein stuk naar boven te opzicht van de hoogte 
B: 	in het midden 
B: 	en ja dat 
A: 	klinken wel hetzelfde als die van mij denken ik 
B: 	passen nog iets van vier of vijf figuurt boven en hetzelfde onder dus ja midden 
A: 	even kijken 
A: 	vier boven 
B: 	ja ik denken het wel 
A: 	ik zullen zeggen drie 
A: 	bij mij 
A: 	en drie onder 
B: 	nee bij mij wel echt wel veel boven 
A: 	maar boven en onder zijn wel ongeveer gelijk 
B: 	ja 
B: 	dat wel 
A: 	ja bij mij zijn lijken ja je zeggen eerst hij staan net iets link van het midden 
A: 	en net iets naar boven te opzicht van het midden 
B: 	iets ja 
A: 	ja 
A: 	nou daar staan die bij mij ook dus dan ik denken dat die op dezelfde plek staan 
B: 	lijken me logisch ja 
A: 	dit zijn dat plaat met aan de linkerkant zo'n uitsteeksel dat een beetje een soort hellink zijn 
A: 	en aan de bovenkant die balk erbovenop 
A: 	en aan de ander kant steken daar nog één ja een soort dinge uit 
B: 	ja die 
B: 	E zijn dat 
B: 	die zijn echt heel raar om te omschrijven 
A: 	ja 
A: 	en hij staan rechts van het midden 
A: 	net iets rechts van het midden 
A: 	net iets onder het midden ook 
A: 	en daar zullen aan de onderkant denken ik twee plaat onder passen en aan de rechterkant zijn er nog wel ruimte voor echt wel drie drie en een half plaat 
B: 	staan die bij mij echt op een ander plek 
B: 	dit zijn die lastig te beschrijven zijn met de Xboxbar boven 
B: 	en het heuvelt aan de linkerkant dat aflooppen 
A: 	ja nummer één 
B: 	en hij staan helemaal boven 
B: 	en dan in het midden 
A: 	ja zelfde plek 
A: 	dit zijn die die lastig te omschrijven zijn met een hellink aan de rechterkant 
B: 	ja 
A: 	en een balk aan de bovenkant 
B: 	E 
A: 	en hij staat ongeveer op een kwart vanaf links 
A: 	met nog ruimte voor twee plaat aan de onderkant denken ik en nog twee aan de linkerkant 
B: 	zullen je zeggen dat die net onder het midden zitten 
A: 	ja 
B: 	oké dat zijn E 
B: 	ja dat kloppen 
B: 	dit zijn die lastig te omschrijven zijn met de Xboxbalk 
A: 	ja zestien 
B: 	op een drie vanaf rechts 
B: 	en helemaal onderaan bijna past nog een half plaat onder 
A: 	ja 
A: 	en aan de rechterkant hoeveel ruimte hebben je daar 
B: 	ja één drie van het scherm dus iets van drie plaat ja 
A: 	ja ongeveer drie plaat 
A: 	en tot het midden anderhalf of zo 
B: 	anderhalf ja 
A: 	ja zelfde plek 
A: 	dit zijn die lastig te omschrijven zijn met hellink en de Xboxbalk bovenaan 
B: 	ja 
B: 	O 
A: 	en bijna helemaal linksonder in de hoek 
A: 	dus links ruimte voor één plaat denken ik aan de onderkant half plaat 
B: 	half 
A: 	ja 
B: 	ja 
