B: 	ik hebben in principe één de de mok worden van zeggen maar van bovenaf filmen of fotograferen en dan 
B: 	hebben je een vierkantje ervoor een uitsteeksel met twee plat vorm en twee blokkig uitsteeksel aan de linkerkant die taps toelopen 
A: 	ja 
A: 	dat zijn nummer twee hier 
B: 	ja 
A: 	ja 
B: 	en bij mij zijn die linksonder 
B: 	in principe veel aan de in het midden van linksonder 
A: 	hij staan bij mij linksonder en dan aan de linkerkant van het scherm en daar staan niks veel naast 
B: 	bij mij staan er aan de rechterkant iets naast en aan de linkerkant niet 
A: 	ja rechts bij mij ook links inderdaad ook niet 
A: 	hij staan niet helemaal tegen het scherm aan zijn dat wat je bedoelen of 
B: 	nee 
B: 	nee bij mij zullen er echt nog wel aan de linkerkant een geheel ander plaat tussen kunnen 
A: 	nee daar past die niet 
B: 	yes 
A: 	dit zijn het kop met aan de linkerkant twee handvat met 
A: 	blok die groot beginnen en steeds klein worden 
A: 	aan de bovenkant zitten een een soort van prikkertje en daarvoor een vierkant blok plat 
A: 	plat vierkant blok 
B: 	en er zitten dan aan zijd die blok die taps toelopen 
A: 	nee aan één kant 
B: 	aan de linkerkant 
A: 	allebei aan de linkerkant 
B: 	ja dat zijn bij mij G 
A: 	ja 
A: 	oké 
A: 	en die zitten weer als je het scherm in vier deel verdeelen in het blok linksonder en daarin dan rechtsboven 
B: 	ja hetzelfde 
A: 	oké 
B: 	ik hebben de basisvorm van bovenaf bezien 
B: 	voor een vierkant 
B: 	bovenop een soort uitsteeksel met daar twee wat platt rond vorm op en dan links twee blok yes 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen hier 
B: 	en bij mij staan die dan de horizontaal middellijn aan de onderkant van linkerblok 
B: 	er zullen nog er staan er nog één onder bij mij 
A: 	ja 
A: 	dat zijn gelijk 
A: 	dit zijn de mok die aan de linkerkant twee handvat hebben maken van groot naar klein lopen blok 
B: 	ja 
A: 	een vierkant plakkaat aan de voorkant en een soort antenne aan de bovenkant 
B: 	ja dat zijn bij mij nummer D 
A: 	oké 
A: 	die staan eigenlijk als je het vlak linksboven nemen daarvan weer rechtsonder dus tegen 
B: 	ja 
A: 	de horizontaal en verticaal lijn aan 
B: 	bij mij staan die dan wel echt veel als je een kruis tekenen staan die wel echt vrijwel in het midden dus ik denken niet dat we dezelfde hebben 
A: 	ja 
B: 	of staan die bij jou ook in het midden van het kruis van het scherm 
A: 	ja wel aardig 
A: 	ja 
B: 	ja 
B: 	dan zijn het misschien toch hetzelfde 
A: 	ja 
B: 	ik hebben degeen met de het plat vierkant voor 
B: 	link zitten dan die twee ja blocks blok die dan taps toelopen met daarboven 
A: 	ja 
A: 	een antenne 
B: 	yes 
B: 	ja 
A: 	ja nummer één 
B: 	bij mij zitten die echt vrijwel dicht aan de rechterkant van het kruis zullen die dan zitten als je het scherm verdeellen 
A: 	ja zijn hier ander 
A: 	dit zijn de mok die aan de linkerkant twee dezelfde hengsel hebben met die blok die van groot naar klein gaan 
B: 	ja 
A: 	en een vierkant aan de voorkant en een antenne aan de bovenkant 
B: 	ja 
B: 	d 
A: 	die zitten in het vlak rechtsonder en dan links tegen de verticaal lijn aan 
B: 	ja 
