B: 	ik noemen het de serveerster of de serveerder 
B: 	het zijn zeggen maar hij hebben een het lijken met twee poot en een bak zeggen maar of een plank 
B: 	en daarbovenop staan een bak 
B: 	hij hebben een heel klein op zijn achterhoofd een heel klein pluk 
A: 	zeggen het nog eens 
B: 	voor mijn gevoel je hebben het kop 
A: 	ja 
B: 	en dan rechts van het ongeveer bij zijn hoofd zitten een soort van bakje zo zien ik het dan 
A: 	ja op zijn achterhoofd 
B: 	nee niet op zijn achterhoofd dit zijn zeggen maar aan de rechterkant van hem dus waar zeggen maar het kop aan de rechterkant ophouden daaraan vast zitten een bak 
A: 	oké 
B: 	en daaronder zien ik een ja een plateau zeggen maar het lijken op een ja het zijn een beetje een extreem plateau met twee staaf aan de onderkant 
A: 	ah ik zien hem 
A: 	en dan met zo'n raar klein staart aan de achterkant 
B: 	op de bovenkant aan de achterkant inderdaad 
A: 	ja 
A: 	ja oké 
B: 	dus lijken net alsof er een bak op een plateau staan met twee van die 
A: 	ja ja ja ja ja 
A: 	ja ik zien hem nu 
B: 	oké 
A: 	het zijn Numero zestien 
B: 	bij mij staan die vrijwel aan de rechterkant 
A: 	ja 
A: 	en dan bovenin bij mij 
B: 	even kijken hoor dan hebben je één twee drie vier 
B: 	beetje verdelen vijf zes ongeveer als je het beeldscherm in vijf zes vlak verdeelen vallen die 
A: 	ja 
A: 	bij mij 
B: 	ja 
A: 	bij mij zitten die rechts bovenin 
A: 	en eigenlijk kunnen er geen veel rechts naast 
A: 	er zijn nog wel ruimte 
B: 	hij staan helemaal rechts bovenin bij mij staan die rechtsmidid 
A: 	nee bij mij staan die echt rechts bovenin 
B: 	oké nou dan staan die niet op dezelfde plek 
A: 	moeten ik het zeggen ja 
A: 	ja 
A: 	niet op dezelfde plek 
A: 	dit zijn jou dienblad 
A: 	of deze wachten even het zijn jou dienblad 
A: 	nee het zijn een soort van volgens mij deze niet 
A: 	het zijn een soort van ja ik vinden het een soort van kop wat in een tafel zitten 
A: 	met zo'n bak erop 
B: 	ja het zijn met twee van die uitstulpsels aan de 
A: 	ja 
A: 	vinden het een soort van 
B: 	met zo'n klein dinge aan de achterkant 
A: 	ja zo'n klein dinge aan de achterkant ja 
B: 	ja 
B: 	dat zijn mijn serveerster inderdaad 
A: 	ja toch wel 
B: 	dan gaan het om P 
A: 	bij mij staan die rechts 
A: 	in het midden 
A: 	er zullen nog één naast kunnen aan de rechterkant 
B: 	ja bij mij ook wel 
A: 	en twee boven en twee onder 
B: 	ja bij mij ook 
A: 	oké 
B: 	als je het beeldscherm in vijf zullen nou als je zeggen maar beeldscherm rechts in twee delen staan die dan net aan de rechterkant van die lijn zeggen maar 
B: 	snapan je wat ik bedoelen 
A: 	als je het beeldscherm in twee delen 
B: 	recht 
B: 	ja het beeldscherm deeln je in twee dan hebben je hem aan de rechterkant en dan hebben je dat dat stuk weer door twee 
A: 	hij staan bij mij 
A: 	hij staan 
A: 	ja 
A: 	hij staan bij mij echt in het midden van de rechterkant 
A: 	dus als je het scherm dus in twee delen en daarna 
