A: 	deze hebben twee van die luciferstokjes naar de zijkant en zo'n afdak aan de achterkant 
B: 	even kijken 
B: 	volgens mij weten ik wel welk het zijn 
B: 	nee toch niet 
B: 	twee luciferstokjes naar de zijkant aan welk kant 
A: 	één naar links en één naar rechts 
B: 	oké één link één rechts 
A: 	één het een luciferstokje aan de linkerkant zijn weinig groot dan aan de rechterkant 
A: 	het zijn echt zo'n stok met zo'n kop erop 
B: 	die ja 
A: 	en dan hebben die zo'n afdak aan de achterkant 
B: 	ja en aan de achterkant zitten ook nog zo'n plat plat vlak 
B: 	met nog een poo eronder of zo 
A: 	ja die ja 
B: 	oké ja 
B: 	dat zijn bij mij K 
A: 	hij staan oké dat worden lastig 
A: 	in het midden midden 
A: 	twee omhoog 
A: 	en wel één twee drie vier naar de zijkant naar links 
B: 	die ja 
B: 	ja 
B: 	zullen bij mij ook wel staan 
B: 	als je bij mij zeggen maar linksboven in de hoek zullen staan 
B: 	dan zullen die er één naar rechts en één naar onder zijn of één naar onder en dan één naar rechts 
A: 	ja 
A: 	ja ja ja ja 
B: 	zoiets 
B: 	ja 
B: 	oké dan zullen dat dezelfde plek zijn 
B: 	dit zijn wat jij die luciferstoek stok noemen 
B: 	ik ik noemen het een knuppel 
B: 	die erachter achter het kop liggen 
A: 	ja 
A: 	met dat plank aan de achterkant 
B: 	met dat plank ook erbij 
A: 	oké dat zijn nummer negen 
B: 	hij staan in die slinger aan de rechts kant en dan van boven de twee 
A: 	ja bij mij ook 
A: 	dit zijn die een met die luciferstok 
B: 	de luciferstok 
B: 	ja de knuppel 
B: 	ja dat zijn bij mij F 
A: 	ja 
A: 	en deze staat vanaf het midden twee naar links 
B: 	twee naar links 
B: 	bij mij staan die denken ik één naar links 
A: 	je hebben zeggen maar als je aan de linkerboven kijken dan hebben je één helemaal Linksboven staan 
A: 	dan hebben je daar schuin onder vier op een rij staan 
A: 	vier zeggen maar schuin naar beneden 
B: 	nee volgens mij hebben we net iets ander nou staan joh 
A: 	maar als je die helemaal linksboven hebben 
A: 	en dan gaan je er gaan zeggen maar een een lijn daaronder gaan van rechtsboven naar links beneden 
B: 	ja 
B: 	van rechtsboven naar links beneden 
B: 	nee niet helemaal 
B: 	je hebben dus die Linksboven 
A: 	ja 
B: 	en dan staan het er bij mij staan er recht onder één 
B: 	en schuin rechtsonder één 
B: 	en onder die schuin rechtsonder staan er weer één onder 
B: 	en rechts daarnaast staan die we nou aan het zoeken zijn met die knuppel 
B: 	die staan best wel eigenlijk helemaal tegen het tegen het middelpunt aan 
A: 	nee dat zijn hem niet 
A: 	die van mij staan echt vanaf het midden en dan staan er één direct naast het midden 
A: 	aan de linkerkant 
B: 	aan de links kant 
B: 	ja 
A: 	en dan nog één daarnaast en een stuk naar onder 
B: 	oké 
A: 	en dat zijn hem 
B: 	ja en dan hebben we wel dezelfde vorm maar dan zijn het de ander 
B: 	dus rood 
B: 	dit zijn de knuppel of de lucifer 
B: 	die erachter liggen 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja dat zijn nummer drie 
B: 	ze zijn weer verplaatsen 
B: 	in het midden onder 
B: 	daar staan er één als het goed zijn 
B: 	en dan één naar links 
B: 	en dan staan er nog één link naast 
A: 	ja nee dat zijn hem niet bij mij 
A: 	die een met de twee lucifer 
B: 	ja dat zijn L 
A: 	als je die drie in het midden hebben dan de rechtsonder 
B: 	nee 
B: 	de lucifer of knuppel 
A: 	ja dat zijn vijf 
A: 	die staan vanaf het midden 
B: 	ik moeten het uitleggen denken ik 
A: 	ja 
A: 	ja 
B: 	maar maakt niet uit 
B: 	het zijn de middel en dan halverwege naar onder 
B: 	bij mij 
B: 	op de middellijn halverwege naar onder 
A: 	en er staan er nog één rechts onder 
B: 	staan er één rechts onder ja 
