B: 	het zijn die met met zo'n neus aan de voorkant 
A: 	bij jou zo'n bolle 
B: 	en dan zonder 
B: 	wat 
A: 	bedoelen je zo'n bolle 
B: 	ja 
A: 	ja 
B: 	en dan hebben die een soort van kegel op zijn hoofd en nog een plank 
A: 	die twee 
A: 	ja 
B: 	ja 
A: 	ja veertien 
B: 	en hij zitten net een klein beetje rechts 
A: 	en ook een klein beetje onder het midden 
B: 	ja 
A: 	oké 
A: 	ja dan denken ik dat die op dezelfde plek zitten 
A: 	ik hebben degeen met de bolletjesneus en de twee antenne 
B: 	waar één van een kegel zijn 
A: 	ja 
B: 	ja N 
A: 	en hij staan bij mij helemaal links en dan een beetje boven 
B: 	nee daar staan die bij mij niet 
B: 	hij staan bij mij zeggen maar op een kwart van links en dan in het midden 
A: 	nee hij zijn echt best wel 
B: 	het zijn die met die Neusachtig iets en dan hebben die twee uitsteeksel erbovenop en één aan de zijkant 
A: 	ja negen 
B: 	en die zitten bij mij in die dat ding van acht en dan veel naar links 
A: 	helemaal links bovenin 
B: 	nee die op éénnaboven 
A: 	oké dan zijn het niet hetzelfde 
A: 	dit zijn degeen met de neus zonder piercing met twee antenne kegel bovenop 
B: 	ja G 
A: 	dit zijn de drie rij en dan zijn het de drie 
B: 	bij mij ook 
A: 	oké 
B: 	het zijn die met die neus en die twee uitsteeksel op zijn hoofd 
A: 	ja 
A: 	even kijken de in de piercing 
A: 	ja vijf 
B: 	en die zitten rechts hebben je zo'n soort van driehoek 
A: 	nee weten ik niet helemaal wat je bedoelen 
A: 	als je helemaal rechts 
B: 	ja 
A: 	en dan hebben je er twee als je helemaal rechts kijken zitten er twee best wel boven elkaar 
B: 	ja 
A: 	de twee rechts en daar de bovenste van 
B: 	nou en dan gaan je twee naar links 
B: 	dan hebben je 
A: 	nee bij mij zijn dat echt wel helemaal aan de er zitten er geen rechts van bij mij 
B: 	bij mij wel 
A: 	oké dan zijn het niet hetzelfde 
A: 	dit zijn degeen met de neus en twee antenne 
B: 	ja ik weten welk je bedoelen even 
B: 	ja vinden 
B: 	J 
A: 	en hij staan drie vier rechts en dan drie vier bovenin zeggen maar 
A: 	niet helemaal bovenin nee dat zijn lastig 
B: 	ja ik weten niet staan bij jou die met die staart in het midden 
A: 	nee 
B: 	oké 
B: 	dan hebben we daar ook niet zoveel aan 
A: 	even kijken hoe we dit handig 
B: 	maar als jij zeggen dat die drie vier naar boven zitten dan zijn het zo'n 
A: 	je hebben er zeggen maar drie zo 
A: 	of wachten zo voor jou 
A: 	je hebben er drie 
B: 	ja 
A: 	en dan daar de bovenste net zien je hij zitten tussen die ander twee in zeggen maar qua hoogte 
A: 	dit zijn moeilijk 
B: 	sorry 
A: 	nee maken niet uit want ik zitten ook te denken hoe ik het goed kunnen uitleggen 
A: 	waar staan die bij jou 
B: 	we kunnen weer rij doen zeggen maar je hebben er dan één rechtsboven 
B: 	dat zijn bij mij d 
B: 	en dan kunnen je daar van links naar rechtsonder een sliert maken met zes 
A: 	vier 
A: 	zes zo schuin schuin streep 
B: 	ja voor jou misschien veel zo 
A: 	ja bij mij zijn die zo 
A: 	dus zo 
A: 	ja ik weten nou niet of we hetzelfde gaan doen 
B: 	moeten mooi zijn om dit terug te gaan bekijken 
A: 	ja 
A: 	eigenlijk wel 
A: 	ik zitten even te denken 
A: 	je hebben in het midden kunnen je best wel een horizontaal lijn trekken met drie 
B: 	ja 
A: 	en dan daarnaast zitten er ook weer drie vier drie à vier 
A: 	dan kunnen je zo'n puntdak maken van die drie van die vier en nog drie 
A: 	of zeggen maar zo samen 
A: 	van drie en drie van zes in totaal 
A: 	en dan staan er één onder 
B: 	ik denken dat we wel dezelfde bedoelen 
A: 	dus je hebben een rij in het midden en dan gaan je aan de rechterkant van je scherm hebben je een soort van puntig zulk van vorm 
A: 	en dan zitten er één onderin 
B: 	bij mij zitten er gewoon vijf aan de rechterkant nog van deze 
A: 	dat zijn ook wel een dinge nee bij mij maar vier 
A: 	dat zijn slim 
A: 	er zitten er vier aan de rechterkant bij mij dus dan zijn het niet hetzelfde 
B: 	nee 
