A: 	dit plaat hebben vier verschillend uitsteeksel 
A: 	twee aan de linkerkant één aan de bovenkant en één aan de rechterkant 
A: 	het uitsteeksel aan de rechterkant zijn een soort van uitgerekte kubus 
A: 	en het uitsteeksel aan de bovenkant zijn een beetje ovaalvormig 
A: 	en aan de linkerkant zitten twee uitsteeksel waarvan er één de onderste ovaalvormig zijn en die daarachter ja lijken een soort van staart of iets dergelijk te zijn er zitten een knik in 
A: 	ik weten niet of je een beetje doorhebt wat ik bedoelen 
B: 	shit 
B: 	nee nog niet helemaal 
A: 	zeggen maar 
B: 	zitten er op de bovenkant zijn het als je het kop hebben zitten erbovenop dan een soort heuvel 
A: 	nee hij zijn zeggen maar hij zijn plat 
B: 	ja 
A: 	en daaruit komen een soort ovaalvormig figuur 
A: 	hij zijn wel best wel langwerpig 
A: 	lijken een beetje op die lepel zeggen maar waar ik het net over hebben 
B: 	ah ja ik ik zien hem al 
B: 	ik weten al welk het zijn 
B: 	het zijn E 
A: 	oké 
B: 	ja 
A: 	en hij staan bij mij helemaal nou ja bijna helemaal rechts op het scherm 
A: 	hij staat ongeveer in het midden als je naar de hoogte kijken 
A: 	en er staan bij mij er zullen ja ik denken anderhalf figuurt boven passen en twee eronder 
A: 	ongeveer 
A: 	maar aan de rechterkant hij staan 
B: 	oké 
B: 	dan staan die niet op dezelfde plek 
A: 	nee 
B: 	dat weten ik wel zeker 
A: 	oké 
B: 	oké 
B: 	dit zijn weer dat ding waar zeggen maar twee lepel uit steken zeggen maar als het een kop zullen zijn één en dan met dat raar uitgerekken 
B: 	kubusding aan de rechterkant 
A: 	en dat bolle aan de ander kant 
B: 	een wat 
A: 	dat bolle aan de ander kant 
B: 	nee 
B: 	even denken hoe omschrijf ik dit ? zeggen maar zitten steekt één lepeltje in 
A: 	ja 
B: 	en dan aan de linkerkant opsteken opsteken ook een lepeltje uit zeggen maar 
B: 	dat kunnen natuurlijk niet in het in het echt maar 
A: 	zo 
A: 	ja 
A: 	maar daar zitten nog een uitsteeksel aan die kant 
B: 	ja 
B: 	er zitten vier in totaal 
A: 	ja en aan de ander kant die kubus 
B: 	ja 
A: 	ja 
A: 	nummer elf zijn dat 
B: 	en hij staan boven het midden van vanaf onder zien 
B: 	en dan een beetje links van het midden heel klein beetje 
A: 	ja bij mij staan die ook ongeveer daar 
B: 	dat zijn lastig dan 
A: 	hoeveel ruimte hebben jij 
B: 	rechts zijn zitten direct het plaat 
B: 	en boven ook 
B: 	maar die zitten een klein beetje link 
A: 	zullen er twee plaat boven passen 
B: 	ja 
B: 	maar dan zullen die wel snijden met één met een ander plaat nog 
A: 	oké 
B: 	maar er toepassen wel twee boven 
A: 	en link drie vier 
B: 	ja 
B: 	nee 
A: 	zullen je dat redden 
B: 	nee ik denken het niet 
A: 	hoeveel zullen je wel redden 
B: 	één denken ik 
A: 	één 
B: 	ja 
A: 	oké dan staan die toch inderdaad op een heel ander plek 
A: 	en dit zijn het gek ding met twee lepelt één aan de bovenkant en één aan de linkerkant en de kubus die eruit komen aan de rechterkant 
B: 	ja 
B: 	J 
A: 	en hij staat ongeveer op een kwart vanaf rechts denken ik en ongeveer in het midden tussen boven en beneden 
A: 	en aan de rechterkant zullen ik zeggen dat er nog ruimte zijn voor twee figuurt 
B: 	daar staan die niet daar staan die niet bij mij 
B: 	dit zijn die met vier uitsteeksel waarvan de rechter een uittrekken kubus zijn en de twee lepelt 
A: 	ja nummer negen 
B: 	hij staat ongeveer op een kwart vanaf rechts 
B: 	en op een kwart vanaf onder ook 
A: 	een kwart vanaf rechts en een kwart vanaf 
B: 	ja 
A: 	dus hij staan onder het midden 
B: 	net ja één plaat 
A: 	oké bij mij staan die boven het midden dus niet hetzelfde 
A: 	en dit zijn het plaat met die vier uitsteeksel met twee lepelt één boven één link 
B: 	ja 
B: 	dat zijn B 
A: 	en hij staat ongeveer op een kwart vanaf rechts 
A: 	met aan de onderkant nog ruimte 
B: 	niet hetzelfde 
B: 	kunnen nooit 
B: 	oké dit zijn met die vier uitsteeksel en twee lepelt 
A: 	waar zijn je 
A: 	nummer vier 
B: 	en deze staat Linksboven in de hoek maar dan zitten er nog wel één plaat link ruimte en een half plaat boven 
A: 	ja op dezelfde plek 
