B: 	oké 
B: 	dit object hebben een soort neus aan de aan de linkerkant 
B: 	en een soort nek 
B: 	en achter het het zijn net of er een ondergaan zon achter zijn voor achter zijn hoofd verdwijnen 
A: 	staan het op op een soort van houdert 
B: 	ja ja dat of of tenminste dat vinden ik een soort nek 
A: 	en dan één en dan een soort iets erin 
B: 	ja of 
A: 	aan de bovenkant zo'n soort van flubbel 
B: 	ja dat hebben zo'n raar konijnenoor of zo aan de aan de rechterkant 
A: 	ja 
A: 	oké 
B: 	oké 
A: 	oké ik denken dat ik weten welk het zijn 
A: 	dat zijn bij mij nummer dertien 
A: 	geel knop dan nu toch 
B: 	oké en dan de plaats 
A: 	ja oké 
B: 	het staan in het midden sowieso 
B: 	en dan niet helemaal de onderste rij maar net één erboven de twee van de onderste rij en ver helemaal in het midden 
A: 	dan staan die bij mij op dezelfde plek 
B: 	oké 
A: 	moeten ik dan nu nog een keer op die knop drukken 
B: 	ja geel dan volgens mij 
A: 	ja dezelfde plek 
A: 	ja 
A: 	deze die hebben dat zijn die een die op dat houdert staan 
A: 	met dus een neus aan de linkerkant en een rond iets aan de achterkant 
B: 	ja 
B: 	ja en een konijnenoor 
A: 	ja 
B: 	dat zijn O bij mij 
A: 	en dan staan die oké er zijn als het goed zijn in het midden hebben je een soort van vier ding 
B: 	ja 
A: 	en daarvan zijn het die rechtsboven 
B: 	bij mij zijn het rechtsonder 
A: 	weer een nieuw 
B: 	oké 
B: 	dit zijn die weer op dat blok met die neus en dat konijnenoor en dat rond 
A: 	ja dat zijn acht 
B: 	en het staan helemaal rechtsboven in de hoek 
A: 	ja hetzelfde 
A: 	dit zijn die op dat houder 
A: 	met dat rond erachter 
B: 	dat zijn C 
A: 	en dan staan die de bovenste rij en dan de twee van rechts 
B: 	oké dat zijn anders 
B: 	die op het houder met de neus en het rond 
A: 	even zoeken 
A: 	dat zijn zeven 
B: 	niet helemaal links in onder in de hoek maar dan rechts daarvan 
A: 	bij mij zijn die linksonder in de hoek dus niet gelijk 
A: 	dit zijn die op het houder met dat rond erachter 
B: 	C 
A: 	en die staan bij mij rechtsboven in de hoek of ongeveer 
B: 	nee 
