A: 	top 
B: 	gaan wel goed 
B: 	ja oké 
B: 	het zijn hij hebben een vierkantje aan de voorkant gewoon een plat vierkantje 
A: 	ja we 
A: 	ja 
B: 	en twee van die gebouw aan de of ja die legoding aan de zijkant 
A: 	en dan twee van die 
A: 	ja 
A: 	en nog één antennetje bovenop 
B: 	ja precies 
A: 	ja vogelnes 
A: 	nummer twee 
B: 	oké 
B: 	en hij staat ongeveer in het midden van het linkerveld dus als je het inderdaad weer door de helft doen en dan helemaal onderaan 
A: 	oké nee dat zijn een ander plek wel 
B: 	oké 
A: 	ja 
A: 	deze hebben weer zo'n antennetje bovenop en dan dat vierkantje zo aan de voorkant een beetje tegenaan plakken en die 
A: 	twee legoblok zeggen maar legoblokdingen aan de zijkant 
B: 	ja ja 
B: 	ja 
B: 	dat zijn G bij mij 
A: 	en bij mij zitten die net iets link van het midden 
A: 	en net iets onder de 
B: 	de helft 
B: 	ja 
A: 	ja bijna niet bijna de helft van de helft zeggen maar maar 
B: 	zo 
A: 	beetje tussen de helft en de helft van de helft 
B: 	ja ja ja 
B: 	hebben je ook vier zo rondom het midden laten maar zeggen 
A: 	nee ja soort van 
B: 	of dat niet 
B: 	oké 
B: 	volgens mij zijn het zelfde plek dus ongeveer link net links 
A: 	ja net links van het midden en dan 
B: 	ongeveer de helft van de helft van de helft van de helft 
A: 	ja precies 
B: 	ja 
B: 	ja zelfde plek 
A: 	mooi uitleg 
B: 	weer die twee legoblok 
A: 	ja 
B: 	aan de zijkant met dat vierkant plat 
A: 	met de vierkant plat en het antenne 
B: 	yes 
B: 	yes 
A: 	nummer negen 
B: 	en hij staan net iets link van het midden 
B: 	en ongeveer de helft van de helft onderin 
A: 	ja 
A: 	en staan er bij jou ook nog iets onder 
B: 	ja er staan nog iets onder 
A: 	oké ja dan zijn het denken ik dezelfde plek 
B: 	yes 
B: 	oké 
A: 	oké 
A: 	deze zijn weer met het antenne bovenop en de twee legoblok aan één kant en het vierkantje voorop 
B: 	het vierkant ja 
B: 	dat zijn D bij mij 
A: 	oké 
A: 	net iets link uit het midden 
A: 	en ook net iets boven de helft 
B: 	ja hebben ik ook 
A: 	maar het zijn net een beetje 
B: 	ja het zijn net net niet 
A: 	ja precies 
B: 	maar zelfde plek 
A: 	top 
B: 	yes 
B: 	het zijn weer die twee legoblok 
B: 	met dat vierkant aan de voorkant 
A: 	ja 
A: 	waar 
B: 	en die antenne 
A: 	twee legoblok zeggen je 
B: 	twee legoblok yes 
A: 	ja met de ja nummer één 
B: 	en dat vierkantje 
B: 	oké 
B: 	en hij bekendstaan redelijk op de helft helft zo 
B: 	en net iets rechts van de helft verticaal 
A: 	helft helft 
B: 	dus helft helft zo 
B: 	ja 
A: 	en dan 
B: 	redelijk op de helft helft 
B: 	en dan de helft zo en dan net iets rechts daarvan 
A: 	ik denken dat die bij mij net iets net iets eronder staan 
B: 	oké 
A: 	deze zijn weer met de twee legoblok aan die kant en het vierkantje voorop antennetje 
B: 	yes 
B: 	B bij mij 
A: 	en hij zitten net rechts uit het midden 
A: 	bijna helemaal onderop 
A: 	of ja er zitten niks veel onderop maar qua positie zijn ongeveer half half 
B: 	ja 
A: 	maar er zitten ver niks veel onder 
B: 	ja precies 
B: 	zelfde plek 
