A: 	Alright 
B: 	oké 
A: 	jij 
B: 	deze dit ding staan zeggen maar veel op een driehoek 
B: 	en dan zijn het dat ding waarop die staan zijn een beetje draaien 
B: 	zeggen maar aan de onderkant hebben je als basis zo'n driehoek 
A: 	ja ja ja ja ja ja ja 
A: 	zeggen maar de enig die echt nog zo lang zijn 
B: 	ja 
A: 	oké en dan boven zoiets en dan zo'n vierkan 
B: 	boven blok 
B: 	ja 
A: 	oké 
A: 	dan hebben ik nummer vier 
B: 	hij staan bij mij 
A: 	oeh 
B: 	hij staan rechtsboven maar wel klein stuk van de van de kant af 
A: 	nee van mij even kijken 
A: 	voor jou zijn het dan zeggen maar de veel rechtsboven 
B: 	ja in in het plaat dat het veel rechtsboven staan dan staan die ongeveer zo'n stuk van al hoek af van het scherm 
A: 	oké 
A: 	nee die van mij niet 
A: 	die van mij liggen net een klein beetje veel naar het midden 
A: 	zeggen maar de helft van de helft 
B: 	oké 
A: 	dus dan zijn het niet hetzelfde 
A: 	rood 
A: 	dit zijn die dit kunnen eigenlijk een trofee zijn trouwens 
A: 	weten je met met met dat driehoekplatform zeggen maar en dan 
B: 	ja kloppen dat denken ik ook al ja 
A: 	dat zijn eigenlijk wel jij moeten drukken 
B: 	A 
A: 	en 
B: 	bij mij staan die bij dat ding van het microfoon bijna helemaal tegenaan 
A: 	ja 
B: 	zeggen maar zo'n stuk ervan af 
A: 	en maar dan als als één foto of zijn er nog een foto 
B: 	nee als één 
A: 	oké nee dan niet 
B: 	het zijn weer die beker zeggen maar die op zo'n driehoek staan 
A: 	ja 
A: 	tien 
B: 	bij mij staan die zeggen maar de linkerhoek en het logo en daar staan die tussenin in het midden 
A: 	oké 
B: 	ja jij moeten drukken 
A: 	die die trofee 
A: 	met dat driehoekplatform 
B: 	ja 
B: 	L 
A: 	wat zijn gewoon rechtsboven 
B: 	ja 
B: 	weer die trofee op de driehoek 
A: 	vier 
B: 	zeggen maar dat middel driehoek en dan de Linksonderste 
A: 	ja 
A: 	de trofee met dat driehoekplatform 
B: 	F 
B: 	hij staan bij mij ja dat kunnen je ook weer als nee dat hebben je als vier vierkant 
A: 	oeh 
B: 	ongeveer 
A: 	ja dat kunnen ook ja 
B: 	en dan links bovenin van dat vierkant 
A: 	nee van mij zijn daar rechts 
