B: 	oken ik hebben deze omschrijven als een soort hoog tafel met twee poot 
A: 	die dan weten ik het al meteen en daar staan ook een 
B: 	met een soort vierkant bak er op 
A: 	jajaja inderdaad nou zestien 
B: 	hij zitten eigenlijk gewoon op de op de ja horizontaal lijn en dan de rechter kant 
A: 	nee bij mij zitten hij echt helemaal rechtsboven 
A: 	dus 
B: 	o ok nee dan zitten hij dus niet op dezelfde 
A: 	nee ok 
A: 	die tafel met twee poot 
B: 	ja met vierkant bak er op 
A: 	ja 
B: 	ok P 
A: 	en hij staan zeggen maar gewoon in het midden van het scherm als in als je kijken naar horizontaal en dan aan de rechterkant 
B: 	ja 
A: 	maar niet helemaal rechts maar ok voor rechts 
B: 	ja ja hij staan hij zitten een beetje als je het als je het dus zeggen maar hij staan eigenlijk van de rechterkant van het scherm precies in het midden 
A: 	ja precies 
B: 	dus ja hij zitten een beetje als je het in twee helft opdeelen precies in 
A: 	ja 
A: 	ja kloppen 
A: 	ja inderdaad 
B: 	dan zitten hij denken ik op dezelfde plek 
A: 	ja sowieso 
B: 	ja mogen we zo ook communiceren gewoon goed kijken ja 
A: 	als je goed kijken in mijn bril kunnen je misschien 
B: 	ok tafel met twee poot 
A: 	ja dat weten ik al 
B: 	met vierkant bak 
A: 	o 
A: 	o veertien 
A: 	helemaal in het midden onderin toch 
B: 	helemaal in het midden onderin 
A: 	ja 
A: 	ik 
A: 	ja met die tafel en met twee poot en die blok er op dat blok 
B: 	ja ik zijn hem aan het zoeken o ja N 
A: 	en link bovenste vak onder in het midden 
B: 	ja midden onderin link boven ja 
A: 	ja 
B: 	tafel met twee poot vierkant blok 
A: 	ja ja ja tien 
A: 	in het midden bovenin bij mij 
B: 	helemaal bovenin 
A: 	als in ja helemaal bovenin gewoon in het midden van het heel scherm 
B: 	nee bij mij zitten er nog één ding bovenop 
A: 	nee nee 
B: 	nee dat zijn niet hetzelfde 
A: 	tafel met twee poot 
B: 	ja met vierkant ding erop D 
A: 	en hij zitten rechts bovenste vak aan de rechterkant in het midden ongeveer 
B: 	bij mij zitten hij helemaar rechts bovenin 
A: 	nee nee 
B: 	ok 
