A: 	deze zijn hebben echt een een scherp piramide bovenop 
A: 	met nog een gek soort vierkant driehoekdinge aan de zijkant en 
B: 	ja een soort van kogel of niet 
A: 	ja ik weten niet eens wat het voor moeten stellen maar 
B: 	ja ja die vinden ik ook echt heel raar 
B: 	ja dat zijn J bij mij 
A: 	en hij staan een beetje zo inderdaad als je de rechterhelft nog een keer door de helft zullen doen op het midden en dan helemaal onderaan 
B: 	ja 
B: 	ja me too 
A: 	oké 
B: 	zelfde plek 
B: 	weer met dat soort van piramide op zijn hoofd en die soort van kogel aan de zijkant 
A: 	oké 
A: 	ja 
A: 	inderdaad en dat een piele nog klein kogelpiele aan de ander kant 
B: 	ja 
B: 	ja en een gek hoek 
A: 	ja 
A: 	nummer zes 
B: 	hij staan ja redelijk op de helft van de helft rechts 
A: 	ja 
B: 	en ook ongeveer de helft van de helft beneden 
A: 	van beneden ja precies 
B: 	ja 
A: 	ja bij mij eigenlijk ook dus dat zullen denken ik dezelfde plek zijn 
B: 	oké 
A: 	staan er bij jou nog rechts iets onder ook 
B: 	ja rechts en links staan allebei bij mij nog iets onder 
A: 	ja precies ja inderdaad 
B: 	ja oké 
A: 	oké zelfde plek 
B: 	right 
A: 	dit zijn weer met die puntig piramide aan de bovenkant en dan dat groot blokkie aan deze kant en het klein kogelpiele aan die kant 
B: 	ja 
B: 	ja dinge 
B: 	dat zijn E bij mij 
B: 	die zijn echt 
A: 	en dan zijn die net iets rechts uit het midden en ongeveer de helft van de helft onder 
B: 	oké 
B: 	nee bij mij zijn die wel een stuk veel rechts 
B: 	ander plek 
A: 	top 
B: 	top 
B: 	het zijn weer die piramide op zijn hoofd en dan een soort van kogelachtig aan de zijkant 
A: 	ja 
A: 	ja 
A: 	waar zijn die ? tien 
B: 	hij staan bij mij helemaal onderop 
A: 	ja 
B: 	en iets veel link van de helft van de helft links 
A: 	nee bij mij staan die iets veel rechts en niet dezelfde plek 
B: 	oké oké 
A: 	oké deze hebben weer die piramide bovenop en dan die kogel aan één kant 
B: 	ja dat zijn G 
B: 	nice 
B: 	ik weten ook gelijk wat je bedoelen toen je piramide zeggen 
A: 	en met de 
A: 	er zijn ook geen ander die dat doen hebben 
B: 	nee kloppen 
A: 	even kijken hoor hij staan bijna helemaal links 
A: 	en ook bijna helemaal boven 
B: 	oké ja denken zelfde plek 
B: 	er er zijn nog wel wat ruimte maar 
A: 	oké 
A: 	ja maar er staan ver niks omheen 
B: 	ja precies 
A: 	ja 
B: 	zelfde 
B: 	ander plek 
B: 	piramide op zijn hoofd 
B: 	en de kogel aan de zijkant 
A: 	tien 
B: 	ongeveer helft helft rechts 
A: 	ja 
B: 	net iets veel naar rechts 
A: 	ja 
B: 	en wel onder de helft 
B: 	van het maar nog niet op de helft helft 
B: 	van beneden 
A: 	nee precies 
B: 	wel ertussenin laten ik maar zeggen 
A: 	en hij staan iets rechts van helft helft rechts bij jou 
B: 	ja precies 
B: 	bij mij wel 
A: 	kunnen wel ongeveer kloppen 
A: 	echt duidelijk rechts van de helft of beetje twijfel 
B: 	ja wel redelijk rechts ervan 
B: 	maar zitten die bij jou erop 
A: 	ja ik twijfellen beetje 
A: 	ja het kunnen wel kloppen 
A: 	ja hetzelfde toch wel denken ik 
