B: 	o ja dit doen me een beetje denken aan een juichen poppe of zo die ook een beetje aan het dansen zijn of zo want er zitten 
B: 	onder dat ja gewoon dat bol zeggen maar zitten een draaien iets zeggen maar op een op een driehoekig plateau 
A: 	ja 
B: 	en daarboven zitten een vierkant en link zitten nog een uitstekel en middenop het lichaam zeggen maar zitten ook een hoofd een vierkantje 
B: 	tenminste bij deze zijn alleen dat aan de onderkant vooral heel erg iets uitsteken dat een beetje zo ronddraaien 
A: 	ja 
A: 	ja dat dat zien ik ook wel maar en dan hebben hij aan de bovenkant twee vierkant en een zo'n ding 
B: 	ja 
B: 	ja 
A: 	okan ja ik vinden het een beetje op een omgekeerde hond lijken of zo maar ok bij mij zijn dat vier 
B: 	o ja ok ik snapn inderdaad wel wat je zien ja ja bij mij zijn het C 
A: 	ja toch 
A: 	oken ik moeten klikken toch 
B: 	sorry ja dat zijn waar ook 
B: 	en hij staan rechts bovenin en link iets daarond zitten iets en boven dat ander ding zitten linksboven ook iets 
B: 	en onder dat plaat zelf zitten onder in een wat ja zitten ook nog wat en het zitten helemaal rechts in de hoek 
A: 	nee deze zitten niet helemaal rechts in de hoek dus dan denken ik niet dat het hem zijn dan zijn het rood toch 
B: 	o ok 
B: 	ja 
A: 	ja dit zijn die omgekeerde hond voor jou het juichend poppe 
B: 	even kijken waar die dat zijn bij mij A 
A: 	ok bij mij acht 
B: 	ok 
A: 	hij staan redelijk aan de linkerkant van het scherm 
A: 	en er omheen in een soort van driehoek vorm staan er nog drie en dan zitten hij een beetje in het midden van die driehoek 
B: 	o deze staan wel een o zo ik snapn het wel zitten hij helemaal aan de linkerkant met niks Erboven of eronder 
A: 	nee 
B: 	okan dan ja dan zijn van ja dan zijn het wel dezelfde denken ik dan zijn denken ik wel op dezelfde plek beetje net net iets boven het midden zeggen maar van zo 
A: 	nee 
B: 	niet zeggen maar o ok dan zijn het denken ik niet op dezelfde plek 
A: 	zeggen maar aan de er onder zitten echt direct eronder zitten er nog één 
B: 	o nee dan zijn het niet op dezelfde plek nee even kijken worden dat rood 
A: 	ok nee 
B: 	o dit zijn die een wat jij denken van achterkant een hond en waarbij ik een juichen poppet zien 
A: 	denken ik een hond ? bij iets 
B: 	of wat zijn het dan zijn een dier in ieder geval dat achter aan zij zicht of het achterzicht van iets 
A: 	even kijken je juichend poppe die die omgekeerde hond ja ja nee je hebben helemaal gelijk ja nee je hebben gelijk zijn bij mij tien 
B: 	o of omgekeerde hond dan ja 
B: 	ok bij mij K 
A: 	ok 
B: 	en hij zitten zeggen maar op de onderste rij en dan ja weer beetje één vier deel van links 
A: 	ja bij mij ook 
B: 	ok 
A: 	dit zijn die omgekeerde hond juichend poppe 
B: 	even kijken 
B: 	L bij mij 
A: 	ja bij mij twee 
A: 	snapten niet hoe je daar een juichen poppe in zien 
B: 	ja ik weten niet beetje wel met kort armpjes maar beetje zo ja ik weten niet zijn wel met een beetje fantasie ja 
A: 	ja maar ja dat zijn natuurlijk allemaal op een geven moment dan zien je er gewoon iets in en dan blijven dat ook zo 
B: 	ja 
B: 	ja dan ja dat zijn dan makkelijkst manier om het te onthouden 
A: 	ja 
A: 	bij mij zijn het de zeggen maar de veel rechts in de bovenhoek 
B: 	ja bij mij ook ja dus 
A: 	ok dat zullen wel 
B: 	ja denken het ook ja tenminste kunnen niks veel ver rechtsboven of onder of onder wel trouwens maar rechts ervan 
A: 	nee 
B: 	o dit zijn de omgekeerde hond voor jou en het juichend poppe voor mij 
A: 	even kijken waar die staan o ja zijn vier bij mij 
B: 	ok bij mij E 
B: 	en hij staan ja net iets link van het midden en ook zeggen maar zo best wel in het midden maar dat uitsteeksel zijn wel een beetje naar onder 
A: 	ja staan hij wel op dezelfde plek denken ik 
B: 	ok Chill 
A: 	dit zijn de hond slash juichend poppe 
B: 	o daar F 
A: 	twee 
A: 	hij staan best wel in het midden maar wel iets omhoog maar ja doordat hij zo'n uitsteeksel hebben die uitsteeksel zijn wel echt perfect in het midden zeggen maar 
B: 	o nee dan zijn mijne zijn echt er passen niks veel boven dus ja 
A: 	o bij mij staan er wel één boven 
B: 	ok nee dan zijn hij niet op dezelfde plek nee 
A: 	ok 
