B: 	dit vinden ik best een gek figuur 
B: 	hij hebben een soort vierkant er dwars doorheen bijna bovenin 
B: 	en aan dat vierkant hangen twee stok 
B: 	en op dat vierkant vaststaan nog een soort klein bak 
B: 	het vierkant gaan echt door het centraal figuur heen 
A: 	ja ja ja ja ja 
A: 	ja dat moeten wel nummer zestien zijn 
B: 	hebben je hem 
B: 	en bij mij zitten die eigenlijk precies in het midden 
B: 	en er past nog twee figuur naast 
B: 	krap 
A: 	bij mij zitten die het zijn zo'n verticaal helemaal bovenin je hebben zo'n verticaal 
A: 	veld en dan een soort bak erop en twee eronder 
B: 	wachten ik missen die heel even 
A: 	ja maken niet uit ik hebben nu toch al kliken op zestien maar ik hebben nu helemaal rechts bovenin het figuur waar ik denken dat het zijn zitten echt bijna helemaal rechts bovenin er past bijna niks veel tussen 
B: 	nee ja daar hebben ik hem sowieso niet 
A: 	nee dat gaan we voor niet 
A: 	ik hebben die weer met dat veld er dwars doorheen bijna helemaal bovenin 
A: 	twee ding eronder twee ding Erboven 
B: 	ja met die stok eraan hangend 
A: 	ja ja 
B: 	P 
A: 	staan die precies in het midden en een stuk of twee lengte naar rechts 
B: 	aan de rechterkant over bedoelen je 
A: 	aan de rechterkant past er nog ongeveer één 
B: 	ja en dan oké 
A: 	ja 
B: 	ja dan staan die op dezelfde plek 
B: 	ik hebben met dat vierkant wat er bovenin doorheen gaan waar die twee dinget aan hangen 
A: 	ja dat zijn veertien 
B: 	en bij mij staan die helemaal onderin 
B: 	en net iets van link 
A: 	ja hebben ik ook 
A: 	ik hebben die hoog horizontaal 
A: 	met twee dinget eronder en twee dinget Erboven 
B: 	ja ja 
B: 	dat zijn bij mij N 
A: 	en hij staan iets naar boven van het midden en goed twee naar links 
B: 	ik vinden die die zo beetje in het midden zitten altijd heel erg moeilijk 
A: 	ja 
B: 	passen er nog twee link naast 
A: 	ja 
B: 	oké ja 
B: 	niet veel dan dat 
A: 	nee nee zeker niet veel 
B: 	dan staan die hetzelfde 
B: 	ze gaan weer husselen 
A: 	we zijn nu op twee drie 
A: 	als ik het goed hebben bijhouden 
B: 	god wat een kloteopdracht 
B: 	ik hebben een vierkant zeggen maar door het figuur heen met die twee dinget eraan 
A: 	vierkant door het figuur ja ja ja nou 
B: 	bij mij staan die ergens in het midden 
B: 	als dat helpen met je zoeken 
A: 	ja nummer tien 
B: 	en hij staan net iets boven het midden en als ik moeten zeggen een tikkel naar rechts 
A: 	bij mij staan die echt exact in de midden en er kunnen nog maar één erbof krap 
B: 	staan echt het middel van het voorwerp boven BenQ 
A: 	nou misschien boven de Q 
A: 	zijn veel iets naar rechts 
B: 	echt het de rond kant van het voorwerp 
A: 	ja de rond kant van het voorwerp die staan zo'n beetje boven de Q 
B: 	oké nee bij mij niet 
B: 	nee 
A: 	ik hebben die hoog horizontaal twee eronder twee erbof 
B: 	ja 
B: 	dat zijn D 
A: 	en dan staan die bij mij bijna helemaal rechts en ongeveer net iets boven het midden 
B: 	nee 
