A: 	ok deze hebben aan de zijkant twee identiek balk of ja eigenlijk heel dun vierkant 
A: 	ja eigenlijk gewoon twee precies dezelfde staaf zitten er daar bovenop zitten ja ja zo'n figuur 
B: 	een bak ? of zo ? of 
A: 	ja het lijken heel smal te zijn want hij het lijken ook weinig op een theekop want eigenlijk het heel ding lijken heel smal 
A: 	aan de achterkant hebben hij nog een klein klein staart achtig 
A: 	o 
B: 	kunnen het ik weten niet kunnen het zijn dat het misschien een beetje op een een kruiwagen lijken ? als je als er zeggen maar een wiel aan zullen aanzitten ? of zo 
B: 	ik weten niet ik denken dat ik het associeeren met een kruiwagen maar ik misschien denken jij doen jij dat niet 
A: 	het zullen kunnen alleen ik zien het niet zien je wel echt twee van die staaf zo lopen 
B: 	nee ik denken dat het wel die zijn 
B: 	lopen er zeggen maar als het zijn zo'n balk omheen en daaraan zitten staaf 
A: 	balk omheen 
B: 	zeggen maar aan de linkerkant zitten een balk en aan de rechterkant lopen ook weer een balk ervoor en aan die balk zitten twee staaf 
A: 	ik denken nog niet dezelfde zijn eigenlijk 
A: 	o men want tussen die twee staaf zitten wel nog wat een klein beetje ruimte tussen 
A: 	het steken 
B: 	nee kijken als je dat zeggen maar gewoon dat rond ding hebben wat overal zitten dan lopen er zeggen maar zo'n balk aan die kant langs en aan de voorkant en daaraan zitten twee van die staafjes 
A: 	ja 
B: 	nee ? ok nog een keer 
A: 	nee ok ok je hebben dat komme en ik denken dat het dan voor jou aan deze kant zitten twee van deze 
B: 	ja 
A: 	rechthoeak ze zijn ongeveer zo lang er zitten er twee boven elkaar 
B: 	o ja 
A: 	en er zitten dus een heel klein beetje ruimte tussen en aan de ander kant zitten één staaf die zijn niet per se gelijk aan de twee staaf aan de ander kant 
B: 	ja 
B: 	ja 
B: 	zitten een beetje een hoed op 
A: 	ja 
B: 	ok ja en aan de onderkant zitten nog zo'n dinge okan dan zijn het I 
A: 	ja 
A: 	kijken 
A: 	hij zitten richting de bovenkant van het scherm hij zitten net iets link van het midden 
A: 	er zitten zoveel ruimte boven en midden ja niet heel veel zitten niet heel veel vanaf er zullen nog ongeveer twee à drie plaat link van kunnen 
B: 	ja ok dan zijn het denken ik wel hetzelfde 
B: 	okan ja dit zijn weer dat ding met twee van die dinget en zo'n beetje zo'n hoed daar bovenop 
A: 	ja en aan de ander kant en hij aan de onderkant hebben hij nog zo'n ding 
B: 	ja 
A: 	ok dat zijn twee 
B: 	ja hij zitten aan de linkerkant onder link past nog één plaat en onder ook nog één 
A: 	dat zijn dezelfde 
A: 	dit zijn die we deer die met dat hoed bovenop twee van die staaf aan de rechterkant ja 
B: 	ah ja maar niet die piramide 
A: 	nee het zijn niet de piramide 
B: 	okan dan zijn het M 
A: 	er kunnen geen plaat veel onder hij zitten linkerkant van het scherm zullen heel misschien nog een plaat link van kunnen zitten bijna helemaal onderaan 
B: 	ja dat zijn denken ik wel dezelfde 
B: 	o ja dit zijn met dat zeggen maar hoed geen piramide met twee van die ding die zo steken 
A: 	ja negen 
B: 	hij zitten zeggen maar linksboven maar link ervan toepassen nog wel twee plaat en boven niet veel 
A: 	link links passen twee plaat nog zeker wel ja dat zijn wel dezelfde 
B: 	ja 
A: 	dit zijn weer met dat hoed bovenop niet de piramide en aan de zijkant twee van die balk 
B: 	ja 
B: 	ja dat zijn F 
A: 	hij zitten rechts van het midden niet aan de onderkant van het scherm maar er past ook geen plaat veel onder ja 
B: 	hij zitten wel duidelijk rechts van het midden 
A: 	ja 
B: 	ok en aan de rechterkant passen nog wel drie plaat ongeveer ? ok dat zijn hetzelfde dan 
A: 	ja dat zijn wel dezelfde 
B: 	o dit zijn met dat driehoek niet de piramide maar met die twee dinget 
A: 	ja zes 
B: 	hij zitten link van het midden denken net iets onder maar wel redelijk op het midden 
A: 	ja zijn wel gelijk 
