B: 	ok het plaat hebben een een vlak door de basis laten maar zeggen en daarboven 
A: 	met die bollet drie bollet aan de zijkant of zijn dit een ander o ok nee dan zeggen ik niks 
B: 	nee nee 
B: 	een ander en daar bovenop zitten nog twee spriet en een soort van neus vooraan en dan aan de linkerkant zitten nog een haak 
A: 	ja ik denken dat ik ja ik denken dat ik weten welk je bedoelen 
A: 	ja 
A: 	ja 
A: 	zitten zo'n 
A: 	ja dat zijn nummer zes bij mij 
B: 	ja 
A: 	dus dan zes en dan op geel toch ja 
B: 	ja 
B: 	als je dus weer een kruis maken 
B: 	dan zitten hij in het rechtbovenvak en dan als je in dat vak kijken 
A: 	ja 
B: 	zitten hij Linksboven 
A: 	ja 
A: 	ja zitten hij bij mij ook 
A: 	ja dat zijn het zijn wel handig om het gewoon te verdelen inderdaad in een vierkant en dan dat vierkant weer in een vierkant verdelen en dan zullen hij in het linkerboven vierkant van het klein vierkant zitten 
B: 	ja 
B: 	ja 
A: 	ja ok dus dan zeggen we dat hij op dezelfde plek zitten dus dan zijn het weer geel 
A: 	ja dit zijn die met dat vlak dat er doorheen snijden en die soort twee dinge er bovenop met die 
A: 	glijbaan of die slurf neus hoe je het ook willen noemen die er uitkomen en dan zo'n haak die er uit komen 
B: 	en die haak 
B: 	ja dat zijn voor mij C 
A: 	ok en hij zitten in de rechter Bovenhoek 
A: 	er zullen eigenlijk niks er kunnen niks veel boven maar er zullen nog anderhalf á twee rechts van kunnen 
B: 	ja bij mij ook 
A: 	ok 
B: 	dan doen we geel 
B: 	dit zijn met het 
B: 	zo'n vlak door de beker heen met die twee dinget bovenop zijn kop en één haak en één slurf 
A: 	ja 
A: 	ja jajaja dat zijn nummer dertien 
B: 	en dan liggen hij linksboven in het vlak en dan weer Linksboven niet 
A: 	nee die van mij zitten Linksboven maar dan linksonder 
B: 	ok 
A: 	ja 
A: 	dit zijn die met die met dat plateau erdoor met die twee ding er bovenop en die 
A: 	neus of glijbaan en zo'n haak aan de zijkant 
B: 	ja dat zijn voor mij J 
A: 	J ok 
A: 	en hij liggen in het rechter Ondervak en dan linksonder in de klein vak 
A: 	bijna tegen de verticaal middenlijn van de groot groot vak er kunnen er eigenlijk geen onder 
B: 	liggen hij vrijwel op de middenlijn van de groot ? verticaal 
A: 	ja er tegenaan 
B: 	ja ik vinden het goed genoeg 
A: 	ja ja 
B: 	dit zijn met het blad door het kop heen die twee staaf bovenop die slurf en een haak 
A: 	en een hoek dat zijn nummer negen 
B: 	en hij liggen rechtsboven ? en dan rechtsonder 
A: 	ja die van mij liggen rechtsonder en dan rechtsboven 
B: 	okan ja 
A: 	dit zijn met dat vlak er doorheen met die twee 
A: 	punt er bovenop en die glijbaan Slash slurf die er uit komen en die haak die er rechts uit komen links 
B: 	vlak erdoor 
B: 	ja dat zijn voor mij N 
A: 	en hij liggen rechtsboven tegen de verticaal middenlijn aan past eigenlijk niks veel boven zijn wel wat ruimte boven maar niet genoeg voor een 
B: 	ja verticaal lijn van de groot 
A: 	van het groot vlak ja 
B: 	ja 
B: 	en er pasn niks boven 
A: 	nee 
B: 	ok 
