A: 	deze ik vinden het hier zo'n uitsteeksel een soort van toren omhoog 
A: 	aan zo'n plateau 
B: 	zijn dat die soort van toeter of 
A: 	ja het lijken wel op een toeter inderdaad zeggen maar het zijn een uitsteeksel daar staan de toeter op en dan hebben die ook nog een plateau 
B: 	ja ja dat zijn L 
A: 	oké 
A: 	en hij staan links op drie vier helemaal onderin 
B: 	nee 
A: 	oké 
B: 	staan die bij mij niet hij staan bij mij uiterst link 
A: 	oké nee dan zijn die niet op dezelfde plek denken ik 
B: 	nee dus 
B: 	het zijn die trompetachtige met dat plateau en het dinge waar dat 
A: 	ja ik weten welk je bedoelen 
A: 	ja de die trompet ja dat zijn nummer zeven 
B: 	en die staan zeggen maar links zijn het de boven 
A: 	zijn hoeveel hoe ver link 
A: 	bij mij zijn het echt wel drie vier link 
A: 	hij zijn ook ja ook drie vier ongeveer naar boven zeggen maar 
B: 	ja als je die vier in het midden hebben dan zitten die net boven die links daarvan 
A: 	ja 
A: 	en zitten er nog één boven of niet 
A: 	zijn dat de allerboven 
B: 	nee het zijn zeggen maar deze zitten hier en helemaal aan de ander kant van het scherm zitten er nog één die er net boven zijn 
A: 	oké maar aan de linkerkant zijn dat wel de hoog 
B: 	ja 
A: 	oké dan zijn het niet hetzelfde 
A: 	dit zijn diegene met het plateau en de trompet 
A: 	vinden jij volgens mij of toeter 
B: 	C 
A: 	en die zijn van die acht 
A: 	ja hij staan zeggen maar in het midden een beetje bovenin van die acht wacht die acht zijn bij jou aan die kant op het scherm zijn het zeggen maar zo hebben je die acht en dan zijn het deze 
A: 	dus van de onderste rij de veel rechts 
B: 	nee bij mij staan die zeggen maar je hebben daar die drie 
A: 	ja 
B: 	bij jou daar denken ik ongeveer 
B: 	en daar staan die bij mij in dus dan zullen het niet dezelfde zijn 
A: 	welk drie bedoelen je 
B: 	je hebben die slinger aan de onderkant 
A: 	ja 
B: 	en dat zijn 
A: 	horen die bij die slinger niet bij de acht 
B: 	ja 
A: 	oké dan zijn het hem niet 
B: 	het zijn die toeter met dat plateau 
A: 	ja 
A: 	even zoeken 
A: 	ja één 
B: 	en bij mij zitten die de drie rij en dan de veel links 
A: 	ja 
A: 	dit zijn de met het plateau en de toeter trompet toren 
B: 	A 
A: 	en bij mij zijn die op precies in het midden drie vier op links 
B: 	zeggen maar veel naar de linkerkant of 
A: 	ja 
A: 	ja best wel drie vier naar links 
B: 	oké ja daar zitten die bij mij ook 
B: 	ja 
B: 	het zijn die met die trompet toeterachtig dinge 
A: 	ja even kijken ja dertien 
B: 	en die zitten net rechtsboven van die balk die we net hebben 
A: 	nee bij mij zitten die linksmidd dus dan niet 
