A: 	oké 
A: 	het zijn ja gewoon zo'n komme en dan lijken het net alsof die een neus hebben aan de voorkant 
A: 	en dan door het neus zitten een een een staaf en een 
B: 	zijn het een rond neusje 
A: 	ja dat zijn een rond neusje 
A: 	en dat staaf wat erdoorheen zitten 
B: 	oké 
A: 	aan één uiteinde zitten een cirkelt 
A: 	en dan zeggen maar bovenop zitten nog een klein pluk naar achter 
B: 	ja 
B: 	F 
B: 	ja het zijn F ja 
A: 	oké ik hebben hem dus vanaf het midden van het scherm de voor mij dus rechterhelft en dan daar in het midden 
B: 	ja 
B: 	en hij staan helemaal aan de rechterkant 
A: 	nee 
A: 	exact in het midden van de rechterhelft zeggen maar dus dit het 
B: 	bij mij staan bekendstaan er niks rechts veel van het neusmanne 
B: 	dus hij staan zeggen maar als dit het scherm zijn 
A: 	ja 
B: 	voor jou dan staan die helemaal rechts tegen het scherm 
A: 	nee niet aan de rand 
B: 	oké bij mij wel 
A: 	oké 
A: 	dan zijn het rood 
B: 	dan zijn het rood ja 
B: 	het zijn dat mannne of het bak en het neus 
B: 	met een piercing door het neus en hij hebben zo'n pluk aan de achterkant 
A: 	nummer vijf 
B: 	hij staan bij mij links van het midden en boven het midden maar er vaststaan nog wel één rechts boven 
B: 	en er vaststaan ook nog wel wat link van 
B: 	dus hij zitten een beetje in het midden van Linksboven 
A: 	ik hebben mijne zeggen maar een beetje veel ja bijna aan de rechterkant van Linksboven zeggen maar als dit het midden zijn en dit zijn jou link dan zitten die echt best wel hier 
A: 	voor mij 
B: 	nee bij mij staan die ja bij mij zijn die echt gewoon in het midden van dit stuk van het scherm zeggen maar 
A: 	oké nee dan staan die van mij ver naar rechts 
A: 	dit zijn zeggen maar het komme met het neus met de piercing erin 
A: 	waar dat waar het schijf aan zitten 
B: 	ja 
B: 	letter A 
A: 	en ik hebben die zeggen maar ongeveer in het midden van rechtsonder 
B: 	nee bij mij staan die boven 
B: 	echt duidelijk 
B: 	neuspiercing met het pluk 
A: 	ja 
A: 	nummer vijf 
B: 	rechts van de rand redelijk wat rechts 
B: 	en een klein beetje boven de rand 
B: 	de helft 
B: 	ik bedoelen de helft 
B: 	hij staan sorry 
B: 	staan een beetje rechts van de helft en een heel klein beetje boven de helft 
A: 	ja maar je hebben hebben je ongeveer zo'n stukkie vanaf de zijkant 
B: 	welk vanaf de zijkant van het scherm 
A: 	de de de of vanaf de de rechterkant 
B: 	dus 
A: 	zo'n stukkie 
B: 	zoiets ja 
A: 	bij jou zijn dat 
B: 	redelijk veel bij mij zitten ertussen 
A: 	oké 
B: 	hij zitten echt hij zitten echt maar zo'n stuk van van het midden af zullen ik zeggen 
A: 	nee die bij mij zitten nog echt veel ver naar rechts toe 
B: 	nee 
A: 	de neus met neuspiercing 
A: 	en het pluk 
B: 	ja 
B: 	moeten even zoeken 
B: 	ja 
B: 	letter H 
A: 	en die staan als je die middellijn weer hebben van het scherm en dan onder 
A: 	ongeveer vijfentwintig procent vanaf de onderkant 
A: 	en dan ja net net net ietsje rechts zeggen maar 
B: 	rechts van het midden 
A: 	ja ja 
A: 	en hij staat wel op het midden maar dan zeggen maar wel veel naar rechts uitsteken 
B: 	neen nee totaal niet 
B: 	neen 
A: 	oké 
B: 	ik hebben de verkeerd knop ingedrukken 
A: 	doen je geel 
B: 	ja ik doen geel 
A: 	dat moeten rood zijn 
B: 	nou ja 
B: 	hij hebben een piercing door zijn neus 
A: 	ja 
A: 	nummer vijftien 
B: 	hij staan van het Rechtsbovenblok dat kwart precies in het midden 
A: 	nee 
A: 	en ik hebben hem daar links onder staan 
B: 	nee 
