B: 	ja deze noemen ik driehoekneus met oorbel 
B: 	en hanenkam 
B: 	ja 
B: 	oké 
A: 	je je kunnen ook kort naam bedenken 
B: 	ja 
B: 	hij hij hebben een een driehoekig neus met een staaf daarbovenuit en hij hebben van die en symmetrisch zijn die en hij hebben oorbelal 
B: 	of ja oor die naar beneden hangen 
B: 	even kijken het zijn volgens mij de ja nee er zijn veel symmetrisch 
B: 	en hij hebben een balk bovenop 
B: 	en die die liggen plat 
A: 	ja 
A: 	welk zijn die bij jou 
B: 	N 
A: 	N 
B: 	ja Nico 
A: 	oké 
A: 	N achten 
B: 	hij staan ja zo zo ver als het kunnen eigenlijk precies in het middde 
B: 	iets veel naar links 
B: 	maar geen heel stap 
A: 	ja oké ja die van mij ook 
A: 	oorbel van jou 
B: 	ja ik weten welk het zijn ik moeten hem even zoeken 
A: 	oorbel balk op het hoofd 
A: 	één 
B: 	ja E 
A: 	één 
B: 	E één 
A: 	yes 
A: 	als je een vierkant maken van van het midden staan die in de rechterhoek maar dan net wat hoog dan verrekijker 
A: 	dus kruis van het midden maken rechteronderhoek net wat hoog dan verrekijker en net wat ver naar rechts dan Pinokkio 
B: 	ja 
B: 	ja ik weten niet staan verrekijker op dezelfde plek 
A: 	ja 
B: 	oké even kijken 
B: 	ja 
A: 	maken een kruis van het midden en dan 
B: 	ja ja ja ik hebben een kruis van het midden 
A: 	ja 
B: 	rechts rechts ja rechtsboven staan die bij mij 
A: 	rechtsbof 
B: 	ja 
B: 	ja 
A: 	die die die van mij als je als je een kruis maakt staan die in het rechtsonderkwadrantdinge 
B: 	nee staat niet op dezelfde plek 
B: 	dat moeten ik doen 
A: 	yes 
B: 	dit zijn de die ik oorbel noemen met die driehoek 
A: 	ja ik weten wel ik weten welk je bedoelen 
B: 	dat zijn O bij mij 
A: 	oorbel dus drie ding ja 
A: 	welk zijn het 
B: 	O 
A: 	O 
A: 	O elf 
B: 	midden midden boven 
A: 	midden midden boven nee die die van mij zijn midden en dan inderdaad wat naar naar links 
A: 	oorbel 
B: 	moeten jij 
B: 	even kijken 
A: 	bal een balk op het hoofd 
B: 	ja die balk op het hoofd 
A: 	vier 
B: 	vier 
B: 	E vier 
A: 	net wat onder het midden halverwege van het midden naar links 
B: 	ja 
A: 	kunnen er nog twee naast ruim 
B: 	ja misschien als je goed past nou twee twee ja 
A: 	twee en er kunnen er kunnen er kunnen nog anderhalf onder 
B: 	ja en er staan er ook één onder toch 
A: 	ja ja ja 
B: 	ja ja ja 
B: 	ja zelfde plek moeten wel 
B: 	oké deze dit zijn die met die met die balk op het hoofd die hanenkam en die laaghangend oor 
B: 	ja oorbel 
A: 	jou oorbel 
B: 	ja mijn oorbel in denken ik ja 
A: 	denken je of 
B: 	ja die driehoekig neus 
A: 	ja de omgedraaide driehoek inderdaad met een staaf boven 
A: 	ja 
A: 	oké 
B: 	C 
A: 	C zestien 
B: 	en deze staan in die met die drie zo 
A: 	rechtsonder rechts daarvan 
B: 	ja 
B: 	ja ja ja ja 
A: 	oorbel of die nee sorry ja die oorbel van jou 
B: 	ja die met die met die balk 
A: 	met 
A: 	met een balk op het hoofd ja 
B: 	ja 
B: 	O 
A: 	één 
B: 	O één 
B: 	en die staan helemaal linksonder 
A: 	yes 
A: 	mogen jij 
B: 	ja 
