A: 	deze hebben een hanekam gewoon een driehoek best wel groot er op 
B: 	ja 
A: 	en dan een vierkan wat heel raar aflooppen wat er in gaan zegmaar 
B: 	zijn gewoon prisma 
A: 	ja en dan een punt wat er in gaan en aan de onderkant zitten een rond wat ook een beetje verstpen zitten 
B: 	ja dat zijn J 
A: 	rechtsond twee rij soort van 
B: 	ja en er zitten eigenlijk niks omheen 
A: 	nee maar bovenin zitten er wel twee nog 
B: 	ja in dezelfde rij ja 
B: 	deze hebben zegmaar een driehoek bovenop soort van hanekam jij zeggen net een hamekam dan weten je denken ik welk ik bedoelen 
A: 	ja 
A: 	ja en dan met dat rond schijf wat je half zien half niet 
B: 	ja 
A: 	zes 
A: 	dan zijn het de vier van boven 
B: 	van die vijf 
A: 	van die vijf ja 
B: 	ja 
A: 	dus dan dus niet ok hoe zeggen ik dit ? je hebben rechtond één en daarboven 
B: 	ja 
A: 	ok 
A: 	de hanenkam en dat blok en dat schuif en het punt 
B: 	E 
A: 	bij mij zitten hij in de vier rij en dan helemaal onderin 
B: 	vijf rij onderin dus niet hetzelfde 
B: 	zo met die hanekam dat gek prisma vooraan half rond 
A: 	tien 
B: 	helemaal linksonderin dus de vier rij en dan de één 
A: 	nee bij mij de twee 
A: 	met die hanenkam 
B: 	even kijken 
B: 	en dat half rond linksonderin G 
A: 	helemaal Linksboven 
B: 	ja 
B: 	hanenkam gek prisma aan de voorkant 
A: 	inhaal tien 
A: 	in de eennalaat rij en dan onderaan dus de drie 
B: 	ja 
