B: 	oké deze hebben een soort van neus aan de voorkant zo'n stomp voording en bovenop hebben die één 
B: 	ja één balk rechts en link 
A: 	zo'n raar 
B: 	ja en dan link helemaal links aan de zijkant nog een balk 
A: 	nog één zo'n dinge 
A: 	ja oké 
B: 	ja 
A: 	dan zijn het nummer veertien 
B: 	en hij staan heel iets rechts naast het midden 
B: 	dan heel iets onder de middellijn zeggen maar 
A: 	ja 
A: 	dan zijn die hetzelfde 
B: 	oké 
A: 	ja dit zijn dat ding met twee ding zo bovenop 
A: 	één gewoon zo'n recht balk en die soort kegel die een beetje schuin staan 
B: 	en dan links dat armp 
A: 	ja en dan dat armp en die rond neus vooraan 
B: 	ja 
B: 	ja dat zijn N 
A: 	en die staan bij mij helemaal links en dan iets omhoog van het midden 
B: 	bij mij staan die halverwege links 
B: 	zijn dit nou weer die cactus 
B: 	met dat armp links bovenop een kegel en een balk en voor die neus 
B: 	nee nee dat zijn weer een ander 
B: 	links hebben die zo'n armp met een driehoek 
B: 	en dan bovenop hebben die links een kegel die schuin staan 
A: 	ja ik weten welk het zijn 
A: 	en dan dat balk en dan dat rond ervoor 
B: 	ja 
A: 	ja 
A: 	nummer negen 
B: 	hij staan heel iets naar boven en wel ver naar links 
A: 	ja bij mij staan die helemaal linksboven 
B: 	oké 
A: 	dit zijn dat poppe met dat rond ding voor links één zo'n driehoekarmpje en die kegel en dat recht dinge bovenop zijn hoofd 
B: 	met twee dinge op zijn hoofd 
A: 	ja die kegel die zo'n beetje schuin staan 
B: 	ja 
B: 	ja 
B: 	G 
A: 	en hij staan links van het midden en dan iets naar onder en iets naar links 
B: 	heel klein beetje naar links 
A: 	ja 
B: 	volgens mij zijn die twee geleden met die dat kegel naar links en dat kegel bovenaan dat iets naar links staan en dat balk 
A: 	met dat rond voor 
B: 	ja 
A: 	oké nummer vijf 
B: 	hij staan iets naar boven en iets naar rechts 
B: 	wel redelijk ver maar ook niet zo heel ver 
A: 	bij mij staan die wel best ver 
A: 	ja dat poppe met die schuin kegel op zijn hoofd en dat recht blok 
A: 	en dan nog dat armp link 
B: 	ja J 
A: 	en hij staan halverwege rechts en dan iets boven het midden 
B: 	klein heel klein beetje boven het midden 
A: 	ja 
B: 	ja 
