B: 	oké even zien ja het lijken op een theekopje met één 
B: 	laten maar zeggen een rod 
B: 	een een een een een een rond staaf 
A: 	ja 
B: 	die aan de linkerkant erin opsteken 
B: 	een rond aan de achterkant erop plakken en een 
B: 	een soort ja lepel alleen dan niet een lepelvorm maar de uiteinde van een lepel aan de rechterkant die erin opsteken 
A: 	en een rond links linksboven aan de achterkant een beetje 
B: 	ja 
A: 	dus en de de staaf zeggen maar aan de linkerkant die zijn niet helemaal rond zeggen maar die zijn dat zijn 
B: 	ja 
B: 	die zijn niet rond 
B: 	nee precies 
A: 	ja oké 
B: 	en dan hebben hij onder ook nog een soort steunsel waar die op leunen 
A: 	ja een soort badkuipvormachtig 
B: 	ja 
A: 	ja oké dan dertien 
B: 	hij staan bij mij in het midden van het scherm 
B: 	over de lengte 
B: 	maar over de breedte staan die wel onder het midden 
B: 	zeggen ik het goed 
B: 	nee of nee andersom 
A: 	ja breedte en lengte zijn al twee zo maar ja 
B: 	dit zijn de 
B: 	oké over de hoogte staan die onder het midden 
A: 	ja ja ja 
A: 	daar hebben ik hem ook 
A: 	en hij volgens mij voor mijn gevoel net een klein beetje naar rechts van het midden of zo maar 
B: 	ja dat kunnen 
A: 	maar hij bekendstaan inderdaad wel redelijk in het midden en iets naar onder 
B: 	ja 
B: 	ja 
A: 	ja dan kloppen het dus dat zijn geel 
B: 	top 
A: 	ja de soort volgens mij noemen jij het de theepot met aan de achterkant een half rond met een met een lepeltje er nog eruit of zo 
B: 	ja met een lepeltje en dan aan de linkerkant dat dinge en onderin de badkuip 
A: 	ja 
A: 	precies 
A: 	ja 
B: 	O 
A: 	bij mij staan die even kijken iets veel omhoog 
B: 	van het midden 
A: 	en 
A: 	ja in het midden 
B: 	nee dan nee bij mij staan die onder het midden 
A: 	oké 
A: 	nee oké 
A: 	en weer opnieuw 
B: 	ja nou deze zijn ik weten niet veel hoe we hem hebben noemen maar met dat rond achterop plakken 
B: 	ja ik noemen het theekopje 
A: 	ja ja ja ja 
A: 	rond achterop plakken stengel bovenuit 
B: 	ja 
A: 	ja 
A: 	die blijven we gewoon theekopje houden 
B: 	theekopje 
B: 	prima 
A: 	acht 
B: 	bij mij staan die helemaal rechts bovenin 
A: 	ja bij mij ook 
B: 	oké niet helemaal aan de rechterkant van het maar er staan niks bij 
A: 	ja maar er staan niks 
A: 	ja precies 
A: 	het theekopje met dat ja gewoon het normaal theekopje 
A: 	dus niet die met die driehoek eronder maar 
B: 	ja ja ja met dat rond achterop plakken 
A: 	ja precies 
B: 	C 
A: 	rechtsbovenkwadrant 
A: 	helemaal bovenin eigenlijk 
A: 	of ja hij zullen nog veel naar boven kunnen maar überhaupt zitten daar niks bij mij veel 
B: 	ja daar staan niks ja 
A: 	en dan in het midden qua breedte van dat kwadrant 
B: 	nee 
B: 	nee 
A: 	nee 
B: 	nee 
B: 	de bij mij zitten die dan aan de linkerkant van die ja er staan drie op een rij neem ik aan 
A: 	ja 
B: 	ja zijn het de linker dan 
A: 	bij mij zitten die in het midden 
B: 	nee 
B: 	dit zijn het gewoon het theekopje 
B: 	het normaal theekopje met dat rond achterop plakken 
A: 	het normaal theekopje 
A: 	even kijken ik zitten naar de indiaan te 
A: 	ah ja 
A: 	de indiaan en dat theeko lijken best wel beetje veel op elkaar dus af en toe 
B: 	alleen de indiaan hebben een neus en het theekopje niet 
A: 	ja kloppen 
B: 	ja 
A: 	ja alleen die hebben een ander neus die hebben hem de ander kant op 
A: 	zo zien ik het soms af en toe 
B: 	ja oké dat kunnen ook 
A: 	maar ja ik ik hebben nu weer de goed dus 
B: 	ja 
B: 	ja ik ik zullen zo zeggen ik drinken zo laten maar zeggen 
B: 	als een als een mongool 
A: 	ja oké maar oké zeven 
B: 	en dan staan die in het linksonderkwadrant 
B: 	in het midden qua breedte en dan onder het midden 
B: 	in de hoogte 
A: 	in het midden qua breedte 
B: 	ja 
A: 	nee bij nee 
A: 	het theekopje 
A: 	gewoon het normaal theekopje 
B: 	ja met het rond achterop 
A: 	ja precies 
B: 	C 
A: 	en bij mij staan die helemaal boven 
B: 	nee 
B: 	nee 
A: 	oké 
B: 	bij mij staan die in het midden van het bovenste kwadrant 
