B: 	oké ik hebben het vierkantje 
B: 	ik hebben eigenlijk al poppet of afbeelding hebben ik eigenlijk een beetje gebruiken alsof het gezicht zijn 
A: 	ja 
B: 	dus waar het rood vierkantje nu omheen staan zijn voor mij de Pinokkio zonder arm 
B: 	het zijn een nou ja blauw kop zeggen maar 
A: 	ja 
B: 	met naar links kijken 
A: 	naar links kijken 
B: 	met een lang 
B: 	voor mij naar links 
A: 	ja 
B: 	je hebben namelijk ook naar rechts kijken en dat noemen ik dan de ding met met arm ja de Pinokkio met arm en je hebben Pinokkio zonder arm 
A: 	met die arm 
A: 	ja 
A: 	ja 
B: 	het beeld of de afbeelding hebben aan de linkerkant een rond vlak 
A: 	linkerkant een 
B: 	en op het hoofd zeggen maar een soort van haartje zitten 
A: 	oké wachten even 
A: 	aan de linkerkant een rond vlak 
B: 	je hebben er dus twee die op elkaar lijken en het zijn degeen dus zonder arm 
B: 	voor mij dan 
A: 	ja wachten even ik kijken even 
A: 	twee haart en zijn één haartje een rechthoek en de ander een soort van kegeltje 
B: 	er zijn maar één haart zitten erop 
A: 	één haartje 
A: 	ja ik weten al welk het zijn 
B: 	ja 
A: 	het zijn Numero dertien 
B: 	mijn afbeelding zitten eigenlijk redelijk in het midden 
B: 	stellen dat je dit zijn lastig dan ik denken 
A: 	bij mij ook 
A: 	wat welk staan ernaast 
B: 	ja dat hoeven niet per se zo te zijn hè ? jou ding kunnen anders zijn dan 
A: 	ja maar als dat als dat niet het geval zijn dan kunnen ik dus 
B: 	de aan de rechterkant staan één poppe aan de linkerkant eigenlijk heel weinig aan de rechterkant staan een poppe dat de ander kant opkijken met een ovaal neus een 
A: 	zo'n zo'n best wel dik neus en een kegel 
B: 	ja 
B: 	ja inderdaad 
A: 	en een rechthoek 
B: 	ja die inderdaad 
A: 	ja oké 
A: 	dan staan die op punt dertien 
A: 	en dan zijn het dus dan kloppen die dus dus dat zijn geel 
B: 	denken je wel ja 
A: 	ja 
B: 	oké goed zo 
A: 	dit noemen ik gewoon eigenlijk gewoon het simpel theekopje omdat er een soort van kegeltje in steken waardoor het lijken alsof er een lepeltje insteeken 
A: 	en er zitten en er zitten een soort van blad nog aan de ja 
B: 	ja 
B: 	Pinokkio zonder arm 
A: 	ja 
B: 	hij kijken naar links 
A: 	hij kijken naar links hij hebben zo'n blad een soort van nog rechts van zich 
B: 	ja 
B: 	ja dan met een wel een uitstulpsel als een neus toch 
A: 	ja en dan en 
B: 	je hebben een twee variant daarvan die met veel veel 
A: 	en daaronder zitten ook nog een soort van ja een blok 
B: 	ja 
A: 	ja ik weten niet het zijn niet echt een figuur wat ik kunnen duiden 
