B: 	ik noemen hem eerder met de slurf het zijn een beker waar een soort een soort draaien bocht uit komen met een driehoek eronder 
A: 	een driehoek door een gedraai gedraaide bocht die 
A: 	ja 
A: 	dat zijn zitten er ook nog drie stuk boven 
B: 	ja 
A: 	ja dat zijn vier 
B: 	hij staan helemaal rechts bovenin bij mij 
A: 	helemaal rechts bovenin helemaal in de hoek 
B: 	ja er zitten ver niks veel tussen het scherm of Erboven 
B: 	ik denken dat die ongeveer één figuurt van zichzelf verwijderen zijn van de rechterkant 
A: 	ja 
B: 	en van de bovenkant ongeveer de helft van het figuurt verwijderen zijn 
A: 	oké nee dat zijn niet bij mij zijn het niet hetzelfde dan 
A: 	dan dus rood 
A: 	en ja weer een mokje met drie ding erop en dan soort gaan een soort van spiraal naar beneden naar de driehoek 
B: 	ja 
A: 	een soort van een soort van uitsteeksel 
B: 	oké 
B: 	dat zijn A 
A: 	en hij zitten aan de linkerkant 
A: 	in het midden van de linkerkant eigenlijk niet in het midden maar ook niet helemaal tegen het scherm aan 
A: 	dus ik denken dat hij 
B: 	nee bij mij zitten die vrij tegen het scherm aan 
B: 	past bij mij niet nog één figuurt naast 
A: 	nee dan kloppen die niet 
B: 	zitten die niet op dezelfde plek 
B: 	oké dit zijn het kop met de slurf die draaien lopen en eindigen in een driehoek 
A: 	ah ja 
A: 	dat zijn tien 
A: 	en waar liggen die 
B: 	hij zitten aan de linkerkant van het scherm 
A: 	ja 
B: 	helemaal onderin 
A: 	kunnen hij nog naar beneden 
B: 	helemaal helemaal beneden 
A: 	kunnen niet veel naar beneden 
B: 	hij kunnen niet veel naar beneden 
A: 	kunnen die wel naar links 
B: 	twee keer 
A: 	oké kloppen die 
A: 	ik hebben zo ik hebben de beetje spaghetti weten je wel die cirkelspaghetti hoe noemen je dat ook alweer 
A: 	spaghetti hoe noemen je hem hoe moeten hoe moeten ik het noemen tenminste hij zijn er zitten een verlenging onder met een driehoek eronder 
A: 	hoe noemen je die spaghetti ook alweer 
A: 	ik kunnen hem ik kunnen hem nee maar er zitten een er zitten een vierkant er zitten een er zitten een kop en daar zitten een vierkant op een klein vierkant en een groot vierkant naast 
A: 	en er zitten een uitsteeksel aan en daaronder zitten een soort van het maken een soort van cirkel 
A: 	tenminste het maken een knik 
B: 	eronder zitten een cirkel 
A: 	het zijn geen cirkel maar maar het zijn geen cirkel maar het zijn een rechthoek die soort van draaien 
A: 	en dan daaronder zitten een driehoek 
A: 	die op de grond zitten 
B: 	ja die slurf 
A: 	ja die slurf maar hoe noemen je hoe noemen je dat ook alweer een soort van van spaghetti die dezelfde vorm maken als spaghetti 
A: 	of macaroni 
A: 	macarconivorm 
A: 	die die die verlenging naar de driehoek 
B: 	ja ik weten niet het zijn gewoon Spiraalachtig 
A: 	hoe noemen je dat ook alweer 
A: 	ja spiraal zijn een goed woord denken ik om het te onthouden 
B: 	dat zijn L 
A: 	oké dus die met de spiraal zitten dus zo van zitten link 
B: 	zitten die naast die met die bollet 
A: 	welk bollet 
B: 	naast die met het kop met drie bollet aan de zijkant 
A: 	er zitten nog een kop tussen bij mij 
B: 	nou dan zijn dan kloppen dat niet maar zitten die op dezelfde plek ? want oké dus dat zijn het in ieder geval niet 
A: 	nee 
B: 	maar bij mij zitten die rechts bovenin 
A: 	rechts bovenin 
A: 	jawel bij mij ook wel rechts bovenin maar hij kunnen nog niet hij kunnen niet één keer naar boven hij kunnen wel één keer naar de rechterkant 
B: 	zitten niet op dezelfde plek 
A: 	oké 
B: 	dit zijn die met de spiraalvorm en de driehoek 
A: 	ah ja even kijken waar zitten die dan 
A: 	vier 
B: 	aan de linkerkant van het scherm 
A: 	ja 
B: 	maar wel tegen tegen het midden aan 
A: 	ja kloppen 
B: 	qua hoogte ook ongeveer het midden iets laag 
A: 	ja 
A: 	oké 
B: 	en aan de rechterkant staan het figuurt met de paddenstoel 
B: 	ik weten niet of dat van belang zijn 
A: 	nee bij mij niet 
B: 	nee 
A: 	zitten die bij jou diegene 
B: 	maar hij zijn de de de plek kunnen wel 
A: 	de ligging zijn wel goed 
B: 	de ligging zijn goed ja 
A: 	ja 
A: 	ja weer de spiraal met driehoek 
B: 	ja 
A: 	op de bodem 
B: 	dat zijn F 
A: 	en hij zitten rechterkant 
A: 	heel dicht bij in de buurt van de middenhoek van de middellijn 
A: 	eigenlijk gewoon op de middellijn eigenlijk 
A: 	en hij kunnen nog één keer omhoog en er zijn daarboven zitten een 
B: 	rechterkant zeggen je 
A: 	ja rechterkant 
