A: 	ja dit vinden ik ook een beetje een raar ding het zijn een soort van weer zo'n soort beker die dan een soort van ja dienblaad hebben aan de rechterkant 
A: 	link een cilinder die gedeeltelijk zijn openmaken en een soort schoorsteenachtig ding wat daar weer uitspringen 
B: 	ja 
A: 	en dat schoorsteending zijn boven bred dan het beneden zijn 
B: 	ja ja ja ik hebben het de omgekeerde pion noemen 
A: 	ja ja dat zijn een makkelijker inderdaad dat zijn echt inderdaad hoe het eruitziet 
B: 	oké nee top dan hebben we dan zijn dat L 
A: 	ja en hij staan bij mij in het linkeronderkwadrant 
A: 	en dan wat veel naar onder en iets veel naar rechts 
B: 	nee 
B: 	nee nee nee bij mij staan die iets veel naar boven en naar links 
A: 	oké 
B: 	dus dat zijn niet dezelfde plek 
A: 	nee 
B: 	oké dit zijn met de omgekeerde pion 
A: 	ja de die ik de schoorsteen hebben noemen 
B: 	ja inderdaad en en dan rechts dat half of ja doorgesneden cilinder 
A: 	ja 
A: 	ja precies 
B: 	ja 
A: 	ja dan zijn dat zeven 
B: 	oké en hij staan bij mij in het Linkerbovenkwadrant in het midden helemaal rechts 
A: 	even kijken als ik er een beetje een kwadrant van maken 
A: 	helemaal rechts dus echt bijna tegen de middellijn van het heel scherm 
B: 	bijna het plaatsen geen past geen plaat veel tussen maar er zitten nog wel ruimte tussen dat wel 
B: 	en hij staan ook iets naar boven zien ik nu niet helemaal precies in het midden maar iets naar boven 
A: 	ja bij mij zijn die wat veel in het midden van het linkerbovenkwadrant dus niet zozeer echt zeggen maar tegen de rand van het midden van het scherm zeggen maar 
B: 	oké dan hebben we denken ik niet 
A: 	dan zijn het ander plek 
B: 	ja 
A: 	dit zijn degeen met de omgekeerde pion zeggen maar en een soort van ja rechts en link cilinder die uitsteken 
B: 	ja 
B: 	C 
A: 	en hij staan bij mij ja best wel in het in de middellijn 
A: 	maar dan wel boven 
B: 	nee welk kwadrant zullen je hem geven 
A: 	ja dat zijn echt een beetje zo de rand van het denk net rechterbovenkwadrant maar hij staan zo in het midden dat ik hem zeggen maar echt door het plaat heen zullen moeten halen 
B: 	nee nee nee die hebben ik niet 
A: 	oké 
B: 	dit zijn de omgekeerde pion 
A: 	ja even kijken 
A: 	ja met dan weer zo'n cilinder met een hap eruit zeggen maar 
A: 	dat zijn één 
B: 	hij staan bij mij in het ja linkerscherm ongeveer in het midden 
B: 	maar dan wel iets naar onder 
B: 	ja er kunnen net geen plaat links naast denken ik 
A: 	dus van het linkerscherm best wel in het midden maar dan net iets naar links en net iets naar onder 
B: 	ja ook weer net iets naar onder ja ja ja 
B: 	maar niet heel veel 
A: 	nee precies 
B: 	kunnen anderhalf plaat onder denken ik 
A: 	ja ja dat zijn zijn ik wel redelijk met je eens ja 
A: 	ja ik denken dat dat dezelfde plek zijn 
B: 	oké 
A: 	dit zijn weer die pion omgekeerd met de twee cilinder waarbij de een heel cilinder daar zijn een hap uit zeggen maar 
B: 	ja ja ja dat zijn A 
A: 	en die staan bij mij linkerhelft van het scherm en dan eigenlijk best wel heel erg mooi in het midden 
B: 	ja bij mij ook 
B: 	dit zijn de omgedraaien pion 
A: 	yes even kijken waar je zijn 
A: 	ja dat zijn dertien 
B: 	en hij staan linkeronderkwadrant 
B: 	ongeveer in het midden eigenlijk 
A: 	oké dus je zullen niet zeggen van het zijn een twijfelgeval tussen Linkeronderkwadrant en Linkerbovenkwadrant 
B: 	nee nee nee zeker linkeronder 
A: 	nee 
