A: 	zijn twee driehoek of nee geen geen driehoek zijn twee rui tegen elkaar 
A: 	en daar komen zeggen maar een beetje soort van of er zitten een bliksemschicht lijken het wel doorheen of een beetje een golfachtig iets 
A: 	en die hebben ook nog voor hebben die twee armp zo 
A: 	en onder nog één ja hoe noemen je dat ? ik weten niet hoe dat precies heten beneden 
B: 	ja 
B: 	ja 
A: 	zo ik zeggen 
B: 	dus zeggen maar dus ja die driehoek die staan bovenop 
A: 	ja boven staan zeggen maar eigenlijk als je heel goed kijken dan zijn het twee driehoek of twee rui tegen elkaar 
B: 	ja 
A: 	en dan gaan er zo'n bliksemschicht of iets gaan er dwars doorheen zeggen maar 
B: 	ja ja ja 
B: 	ja en dan aan de zijkant staan nog aan de linkerkant ja je hebben zo'n lang ding en dan nog één ook weer zo'n soort bliksemschicht toch 
A: 	nee beneden hebben die nee sorry 
A: 	dat zijn dat en dan beneden hebben die zeggen maar lijken het een beetje op twee armp lijken het 
A: 	en dan helemaal beneden gaan die iets lijken het net soort van staartachtig iets 
B: 	ja ja 
B: 	ja 
B: 	dan zijn het ja 
A: 	oké toch oké 
B: 	M 
A: 	hij staan ja tussen de twee en de drie van link 
A: 	en zo goed als in het ja tussen de twee drie van links en dan qua hoogte ongeveer in het ja 
A: 	even denken hoor twee drie link ja ongeveer wel in het midden qua hoogte 
A: 	en qua breedte iets veel naar links rond het tussen de twee en de drie ongeveer in 
B: 	ja 
A: 	eerder drie dan twee 
B: 	het zijn zeggen maar die een die Pippi Langkous die staan nog rechts 
A: 	bij mij staan die link 
B: 	ja 
B: 	maar deze ja ik zitten even te denken ja 
A: 	ja 
B: 	staan er nog één ding boven zeggen maar 
A: 	ja die Pippi Langkous die staan boven 
A: 	maar die staan bij mij Linksboven 
B: 	ah oké 
A: 	niet rechtsboven 
B: 	ja ja ja 
B: 	maar deze zijn ook links toch 
A: 	sorry 
B: 	ja 
A: 	deze zijn iets rechts 
A: 	die Pippi Langkous staan iets link boven en die zijn iets rechter rechts 
B: 	oké 
B: 	dan kloppen het niet 
A: 	oké 
B: 	en dit zijn 
B: 	ja dat zijn die met die twee ja ruiten zeggen maar met een piercing of zo'n ja zo'n bliksemschicht erdoorheen zeggen maar 
A: 	ik weten welk je bedoelen even kijken ja en dan die twee armp en been zo van ja 
B: 	ja 
A: 	negen 
B: 	ja bij mij staan die helemaal onder en dan beetje linksmidden 
A: 	linksmidden helemaal onder ja 
B: 	ja 
A: 	glijbaan 
B: 	glijbaan 
B: 	ah 
B: 	I 
A: 	hij staan ongeveer de twee van links en de twee van boven 
B: 	ja dat zullen wel kunnen 
B: 	er kunnen nog wel iets boven zeggen maar maar het zijn wel krap 
A: 	ja er kunnen nog iets 
B: 	of past het makkelijk 
A: 	nou makkelijk zijn overdreven maar er past nog wel iets boven 
A: 	en aan de zijkant past nog wel iets veel 
A: 	maar er passen wel één zeggen misschien anderhalf maximaal maar 
B: 	ja 
B: 	ja 
B: 	dan denken ik dat het wel kloppen 
B: 	ja dat zijn die met die ruit 
A: 	die met die glijbaan zijn dat ? met die twee ruiten hierboven 
B: 	ruiten en de bliksemschicht erdoorheen 
A: 	ja kloppen ja 
A: 	en dat omschrijven we een beetje volgens mij ook als glijbaan ja kloppen 
B: 	ja 
A: 	bik bliksemschicht erdoorheen en twee armp 
B: 	ja ja ja 
A: 	ja 
A: 	elf 
B: 	bij mij staan die ja boven links maar er kunnen wel makkelijk nog iets of anderhalf ding bij zeggen maar aan de linkerkant 
B: 	boven worden wel wat lastig 
A: 	boven misschien als één een half of zo dat kunnen er nog wel 
B: 	ja ja ja 
A: 	ja ik denken hetzelfde 
A: 	dit zijn die driehoek boven of die glijbaan hoe je het ook willen omschrijven 
A: 	driehoek boven met die bliksemschicht 
B: 	ja 
B: 	d 
A: 	hij staan links van links een beetje in het midden en nou er zullen beneden zullen nog een half misschien kunnen maar veel ook niet 
B: 	ja 
A: 	en als je dan links ongeveer als je link weer in twee delen ongeveer in het midden en dan beneden zullen er nog een heel klein stuk bij kunnen 
B: 	nee ik denken dan dat dat niet zo zijn 
B: 	ja wat zijn dit ? die ruit met de bliksemschicht 
A: 	die ruit met ja 
A: 	veertien 
B: 	en bij mij staan die ja links 
B: 	in het midden 
A: 	en echt in het midden midden link 
B: 	ja ongeveer ja gewoon wel helemaal links maar dan in het midden 
A: 	helemaal links 
A: 	nee bij mij staan er nog helemaal heel veel ding naast 
B: 	ja 
A: 	nee dat kunnen niet 
