A: 	ja oké 
B: 	nou ja het zijn een beetje een een vorm van een glaas en dan zitten er twee blok op 
B: 	en een soort van Lvormig uitsteeksel 
A: 	twee blok erop 
B: 	een een glas met een voe 
B: 	met twee blok erop 
A: 	ja ik zien er één met twee blok erop hebben zeggen maar de onderkant een soort van draai erin zitten 
B: 	ja 
A: 	ja oké 
A: 	en dan inderdaad een een driehoek die er onderin zitten 
B: 	ja 
A: 	oké dat zijn vier voor mij dan 
B: 	ja 
B: 	C 
B: 	hij staan bij mij in de veel in de veel rechtsbovenhoek 
B: 	bij jou ook 
A: 	nou bij mij staan die niet helemaal rechtsboven in de hoek want daar staan iets ander bij mij zitten die veel naar het midden toe 
B: 	oké 
B: 	nee dan zijn die hier niet gelijk 
A: 	dus dat kloppen niet helemaal 
B: 	nee 
A: 	deze hebben een gedraaide onderkant en de driehoek eronder 
B: 	ja dat zijn A 
A: 	ja 
A: 	en die twee blok 
B: 	ja 
A: 	en bij mij staan die ongeveer in het midden van de linkerkant 
B: 	ja bij mij ook 
A: 	en net iets onder het midden 
B: 	nou en bij mij net iets boven dus 
A: 	oké 
B: 	het zijn weer die een in de vorm van het glas 
B: 	met de blok erop 
B: 	de driehoekig standaard 
A: 	ja en de en de gedraaide 
B: 	draaien ja 
A: 	ja draaien ding oké dat zijn tien 
B: 	oké 
B: 	en bij mij staan die onderin 
B: 	link onderin 
B: 	in het midden van link 
B: 	bij jou ook 
A: 	ja oké 
B: 	oké 
A: 	yes 
A: 	dat kloppen 
A: 	oké dit zijn weer de draaien onderkant met de driehoek eronder 
B: 	ja 
B: 	L 
A: 	yes 
A: 	en staan ja echt helemaal rechts 
A: 	en ongeveer in het midden van de bovenkant 
B: 	zijn het het veel zijn die bij jou de veel rechtsboven plaatsen 
A: 	ja 
A: 	ja ja 
B: 	oké bij mij ook 
B: 	het glaas met de draaien onderkant 
B: 	en het driehoek aan de onderkant 
A: 	yes 
A: 	oké dat zijn vier 
B: 	en hij staan in het midden 
B: 	maar dan iets naar onder 
A: 	oké dus niet 
B: 	link link link van het midden en dan iets daaronder 
A: 	link van het midden wel 
B: 	ja 
A: 	oké 
A: 	en dan iets daaronder ja dat kloppen 
A: 	deze dit zijn weer die met de draaien onderkant en de en de blok erop 
B: 	draaien onderkant F 
A: 	en iets rechts van het midden 
A: 	en een stuk boven het midden 
B: 	nee oké bij mij staan die juist aan de linkerkant 
A: 	oké 
B: 	dus dat worden hem niet 
