A: 	bij mij ook 
A: 	deze mok hebben een heel een heel groot uitsteeksel aan de links kant dus eerst zitten er een soort van balk uit en dan opsteken er zo'n ik vinden het een pylon op zijn kop 
B: 	ja een een een een soort beiteldinge 
A: 	die staan erbovenop en dan nog een 
A: 	ja 
B: 	ja 
A: 	en dan nog een recht aan de rechterkant een muntstuk wat er een beetje zo uit opsteken 
B: 	een muntstuk op zo'n een soort van dienblad zoals wat je serveren 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	ja 
B: 	dat zijn bij mij L 
A: 	en hij zitten bij mij in het linkerondervlak 
A: 	en dan in het midden onder van dat linkerondervlak 
B: 	midden onder 
B: 	nee bij mij zitten die echt tegen de bovenlijn aan zeggen maar in het linkerondervlak 
A: 	oké 
A: 	nee 
A: 	dan bij mij echt heel zeg ik niet 
B: 	dan zijn het niet dezelfde plek 
A: 	nee 
B: 	dit zijn de mok met heel veel uitsteeksel die hebben aan de rechterkant het dienblad 
B: 	en aan de linkerkant hebben die de beitel die met het die bezig zijn met het armp 
A: 	ja die pylon op zijn kop 
B: 	die pylon ja 
A: 	ja nummer zeven 
B: 	ja 
B: 	die zitten bij mij aan de linkerkant 
B: 	en dan in het bovenste vlak 
B: 	en dan toch wel weer een beetje bij de middellijn zeggen maar het er zijn echt zo'n vak vlak boven in het in het linkervlak zeggen maar wat leeg zijn alles zitten echt zeggen maar nu naar onderen 
A: 	ja 
A: 	ja dat hebben ik ook 
A: 	dus als dit de middellijn zijn 
B: 	ja 
A: 	zitten die link van de middellijn en boven de middellijn van van qua hoogte zeggen maar 
B: 	ja 
A: 	ja 
B: 	ja 
B: 	er zitten er nog wel er zitten er nog wel denken ik één er zitten denken ik nog wel één ook hoe leg ik dit uit 
A: 	ja die nog veel naar naar de middellijn zitten 
B: 	die die hij zitten wel echt zeggen maar richting richting de middellijn 
A: 	de middellijn die het scherm in twee verdeellen 
B: 	ja 
B: 	de middellijn die het scherm in twee verdeellen daar zitten hij echt wel 
A: 	verticaal zeggen maar 
B: 	ja 
B: 	daar zitten die bijna tegenaan 
B: 	horizontaal zitten die wel een stuk boven 
A: 	ja nee dan zijn het bij mij denken ik ander kijken als ik hem verticaal door het midden deel dan zitten die er niet tegenaan dan zitten die wel echt duidelijk naar links 
B: 	ja hij zitten wel hij zitten wel hij zitten wel duidelijk aan links maar hij zitten wel zeggen maar veel die kant op dan dat die die kant op zitten aan die kant hebben ik echt een flink stuk over 
A: 	ja dat wel hij zitten wel iets ver naar het midden dan van de buitenkant af 
B: 	ja ja ja 
A: 	oké 
B: 	een flink stuk naar het midden 
A: 	ja ja 
A: 	en redelijk boven de middellijn horizontaal 
B: 	redelijk boven de middellijn ja 
A: 	ja nou zelfde plek denken ik 
B: 	denken het ook 
A: 	deze zijn met die pylon op zijn kop 
A: 	die op dat armp steunen en het dienblad 
B: 	ja dat zijn bij mij C 
A: 	en hij zitten bij mij als je hem verticaal doormidden delen zitten die iets rechts van het midden maar de lijn raken nog wel die pylon denken ik 
A: 	en horizontaal zitten die iets boven het midden 
B: 	nee ander plek 
A: 	oké 
B: 	bij mij zitten die echt rechtsonder in het vlak tegen het kruisje aan 
A: 	oké 
A: 	nee 
B: 	dit zijn die met het dienblad 
B: 	en de pylon 
A: 	ja 
A: 	met het dienblad en die pylon dat zijn nummer één 
B: 	en die zitten bij mij links van het midden en de horizontaal Middelijn lopen misschien denken ik net door de pylon heen 
A: 	ja dat zijn dezelfde plek 
A: 	dit zijn het dienblad met die pylon omgekeerd 
B: 	ja 
B: 	dat zijn bij mij A 
A: 	en dan zitten die in het links vak 
A: 	en horizontaal zitten die net iets onder 
B: 	gaan die door de pylon heen 
A: 	en die pylon kruisen 
A: 	die pylon kruisen de middellijn ja 
A: 	ja 
B: 	ja 
A: 	en er zitten niet veel figuur omheen 
B: 	nee 
A: 	één echt ver linksboven en dan hebben je er nog twee die eronder zitten 
B: 	ja 
A: 	ja 
B: 	dus hebben ze gewoon drie of vier ding omgedraaien 
A: 	ja 
B: 	voor de rest zijn die wel hetzelfde 
A: 	top 
B: 	die met het dienblad 
B: 	die staan bij mij van de figuur die we net hebben staan die er precies iets boven 
B: 	rechts iets boven 
A: 	ja met die pylon 
B: 	ja 
A: 	ja 
A: 	dertien 
B: 	en die zitten dus bij dat de de hamer zitten die er net iets rechts van 
A: 	ja 
A: 	je hebben zeggen maar drie figuur aan de links kant 
B: 	ja één die ver bovenin zitten 
A: 	en dan 
A: 	ja 
B: 	één die er net iets rechts onder zitten en dan dat maken zeggen maar een soort L 
B: 	samen 
B: 	een soort hoek 
A: 	nou niet echt bij mij 
B: 	zo 
A: 	oké dat dienbladen we hebben het over 
B: 	ja ja ja die 
A: 	die zitten bij mij die kruisen bij mij de horizontaal lijn 
B: 	nee nee nee nee nee die staan echt in het midden van het linksondervlak 
A: 	oké 
A: 	een ander plek 
A: 	nee 
A: 	ja dan snapen ik jou L 
A: 	nee dan zijn het een ander 
