B: 	deze hebben drie uitsteeksel en aan de voorkant een bol 
B: 	de links zijn een driehoek en de bovenste een vierkant en de ander een beetje een gek vorm 
A: 	ja 
A: 	ja ook een beetje een soort van langgerekte ruit met een tuu eronder of zo 
B: 	ja 
A: 	ja 
B: 	die ja 
A: 	oké dat zijn nummer veertien 
A: 	ja die staan echt op een random plek 
B: 	beetje onderaan 
A: 	ja 
B: 	of ja niet helemaal onderaan maar in ieder geval onder het midden 
B: 	net onder het midden 
A: 	ja er passen sowieso makkelijk nog wel een best wel groot figuurt onder 
B: 	ja 
B: 	en net rechts van het midden 
A: 	ja 
A: 	ja 
A: 	ik denken als je inderdaad zo een beetje de roos zien zeggen maar dat die dan net rechtsonder ervan staan 
B: 	ja 
A: 	oké 
A: 	nou dat lijken me wel dezelfde dan geel 
B: 	ja 
A: 	deze hebben die bol aan de voorkant en dan die rechthoek bovenop 
A: 	met nog die raar vorm daar links van en aan de linkerkant steken dat driehoek uit dat langwerpig driehoek zeggen maar 
B: 	ja 
B: 	dat zijn bij mij N 
A: 	en hij staan links best wel in zijn één 
A: 	passen nog twee boven maar geen één veel naast 
A: 	hij staan net iets boven van het midden 
B: 	nee bij mij passen er wel nog aan al kant naast 
B: 	en die staan er ook 
B: 	hij staan net onder het midden denken ik maar bijna in het midden 
B: 	van boven naar beneden 
A: 	ja nee die van mij staan denken ik wel echt boven het midden 
A: 	ja 
A: 	ik denken dat dat een ander zijn 
B: 	oké 
B: 	dan doen ik rood 
B: 	deze hebben drie uitsteeksel 
B: 	en een bolle aan de voorkant een vierkantje bovenop en links driehoek en het ruitje met een bobbel eraan 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	en die staan bij mij links helemaal boven in de hoek 
B: 	nee bij mij staan die veel richting het midden denken ik 
A: 	ik hebben zeggen maar er staan er staan een soort van schuin lijn van vier figuur staan er zo onder maar voor de rest staan die wel echt in zijn één zo 
A: 	best wel links bovenin 
B: 	en bij mij staan die van boven naar beneden wel bijna in het midden 
B: 	net iets Erboven 
A: 	nee dan 
B: 	past één figuurt link van 
A: 	ja dat denken maar ik denken dat we dezelfde zeggen maar qua links rechts denken ik dat we op dezelfde linksschaal zitten maar dat ik dan 
B: 	die bovenste 
A: 	die daarboven hebben want bij jou staan er nog één boven dan 
B: 	ja 
B: 	ja 
A: 	ja en bij mij niet 
A: 	nee 
B: 	oké 
A: 	dus niet dezelfde plek 
A: 	ik hebben nu die een met die bol aan de voorkant en dan links dat uitstekend langwerpig driehoekding en dan dat driehoektuu 
B: 	ja 
A: 	en dan weer die plat rechthoek 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	en die staan net links van het midden en een beetje naar onder 
A: 	ja 
A: 	hij zeggen maar als je zo de soort van roos in het scherm zullen tekenen staan die ertegenaan denken ik 
B: 	ja 
B: 	aan beide kant 
A: 	ja 
A: 	ja 
B: 	oké 
B: 	dit zijn met dat driehoek aan de linkerkant en nog twee ding bovenop en de bol aan de rechterkant 
B: 	er zitten een plat rechthoek bovenop en het ruitje met iets eraan aan de bovenkant 
A: 	even zoeken hoor 
A: 	bedoelen je weer met die uitdijen kubus aan de ruit 
B: 	nee 
B: 	aan de linkerkant zijn een uitstekend driehoek 
B: 	die zo ja 
B: 	en aan de rechterkant een bol 
A: 	ja ja met die gewoon dat dat uitstekend klein driehoek en dan dat pluimp en die plat rechthoek zeggen maar 
B: 	ja 
A: 	ja 
A: 	nummer vijf 
A: 	en die staan best wel heel erg naar rechts er staan er nog maar één iets veel naar rechts 
A: 	en dan iets boven het midden 
B: 	nee bij mij staan er nog één nog wel vijf veel naar rechts dus 
A: 	oké 
A: 	dat zijn niet hetzelfde dan 
A: 	dit zijn die een met dat uitstekend driehoek aan de linkerkant bovenop dat pluimp en die rechthoek en dan die bol ervoor 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	en die staan van boven naar beneden ongeveer in het midden en dan rechts van het midden 
A: 	nee deze staat niet in het midden 
A: 	van boven naar beneden deze staat veel op een kwart ongeveer 
B: 	oké 
