A: 	oké 
A: 	er staan nu één of een rood vierkant om 
A: 	ja er zijn een een bol aan de bovenkant 
A: 	boven op het kop 
A: 	en er staan voor het kop iets naar de rechterkant van van ons zien 
A: 	staan één ja een rechthoekig ding zeggen maar 
A: 	en het zijn hij hebben een soort van soort van arm zeggen maar aan de zijkant zitten 
B: 	zijn het D 
A: 	zullen kunnen 
B: 	ja bij mij heten die D dus 
A: 	ja 
A: 	oké 
A: 	ja en qua locatie staan die iets link van het midden 
A: 	en helemaal onderaan het aan het scherm 
B: 	ja bij mij ook 
A: 	oké 
B: 	oké 
B: 	nou 
B: 	nu hebben we weer een kop 
B: 	het balle zitten erbovenop 
B: 	met die twee armpjes die eruit staken en die balk ervoor 
A: 	even kijken 
A: 	dat die hebben we al eerder met dat 
B: 	met het balle erop 
B: 	ja 
A: 	ja oké dat zijn vijftien voor mij 
B: 	oké 
B: 	en bij mij staan die helemaal rechts onderin 
A: 	oké bij mij staan die wel helemaal onderin maar ongeveer in het midden van de rechterkant 
B: 	oké 
B: 	oké dan kloppen het niet 
A: 	dus dat kloppen niet 
A: 	nee oké 
A: 	dit zijn die met de bol erop 
A: 	en dat dat die rechthoek ervoor en die twee armp 
B: 	oké dat zijn L 
A: 	oké 
A: 	en hij staan een stuk links van de van het midden 
A: 	en ook weer ongeveer in het midden van de bovenkant van het scherm 
A: 	ongeveer 
B: 	ja 
B: 	inderdaad bij mij ook 
A: 	ja 
B: 	het zijn weer het bolle aan de bovenkant 
B: 	met de twee armp en de balk ervoor 
A: 	ja oké dat zijn zes 
B: 	en hij staan bij mij ongeveer op het midden 
B: 	en dan in het midden van rechts 
A: 	oké nee bij mij zitten die wel duidelijk onder de onder het midden 
B: 	oké 
A: 	dus dat kloppen niet 
A: 	oké dit zijn weer het bolle erop de twee armp aan de zijkant en de blok ervoor 
B: 	zijn J 
A: 	en zitten net als je de rechterkant van het scherm hebben 
A: 	net iets rechts van het midden daarvan 
B: 	ja 
A: 	en dan ongeveer in het midden qua hoogte net iets hoog dan het midden 
B: 	op de middellijn 
A: 	ja 
B: 	oké 
B: 	ja 
B: 	dus op de middellijn 
A: 	ja 
B: 	oké 
B: 	twee armp ballet en de balk ervoor 
B: 	en het balle erop 
A: 	ja ja 
A: 	drie zijn dat 
B: 	hij staan bij mij net iets onder het midden en uiterst rechts 
A: 	yes 
