B: 	ik hebben het wijnglas 
A: 	het wijnglas 
B: 	het staan op zo'n soort van standaard met een gedraaide 
A: 	met een driehoek onderaan 
B: 	ja 
A: 	ja bij mij zijn dat nummer vier 
B: 	en hij staan aan de rechterkant van het scherm 
B: 	boven 
B: 	er past er rechts nog één naast maar er past er geen veel boven 
A: 	dan staan die bij mij niet op dezelfde plek 
B: 	oké 
A: 	ik hebben weer dat wijnglas wat je daarstraks zeggen 
B: 	ja 
B: 	waarom zien ik hem nou gewoon niet ? daar zijn die 
B: 	dat zijn A 
A: 	en bij mij staan die een beetje in het midden van de linkerkant 
A: 	en ik denken dat die wel op de middellijn staan 
B: 	dus in het midden van het de linkerhelft 
A: 	ja 
B: 	oké nee daar staan die bij mij niet bij mij staan die echt link 
B: 	ik hebben het wijnglas 
A: 	nummer tien zijn dat bij mij 
B: 	en hij staan helemaal aan de onderkant 
B: 	en dan in het midden van de linkerhelft 
A: 	ja hebben ik ook 
A: 	ik hebben die wijnbeker 
B: 	oké 
B: 	dat zijn L 
A: 	bij mij staan die helemaal rechts van het scherm en ook wel helemaal boven er zullen niks veel boven of naast passen 
B: 	ik zullen er net één rechts van kunnen plaatsen denken ik als je geen ruimte overhouden 
A: 	een 
A: 	ja dan houden je geen ruimte veel over maar het zullen dan wel kunnen inderdaad 
B: 	ja oké maar hij past er niet hij zijn redelijk lang dus hij past er niet veel boven inderdaad 
A: 	nee kloppen 
B: 	nee oké 
B: 	ik hebben het wijnglas 
A: 	nummer vier 
A: 	ja 
B: 	en hij staan links van de middellijn net 
B: 	en ja vrij net iets onder de middellijn denken ik 
A: 	ja hebben ik ook denken ik 
A: 	sorry ik hebben de het wijnglas 
B: 	dat zijn F 
A: 	bij mij staan die net iets boven de middellijn 
A: 	of ja wel boven de middellijn 
B: 	gewoon helemaal erboven zeggen maar 
B: 	ook het onderstukje 
A: 	ja ik denken het wel 
B: 	past er nog één boven 
A: 	ja makkelijk 
B: 	nee 
