B: 	goed de volgen als we het weer over koffiekop hebben het hebben een aan de linkerkant een soort van twee arm 
B: 	het lijken een beetje robotachtig arm 
B: 	een beetje blurry lijn 
B: 	en aan de voorkant een beetje rechts staan een een een vierkant vlak 
B: 	en daarbovenop zien je een soort spijker die dan aan de bovenkant van het koffiekopje erin zitten 
A: 	ja 
A: 	ja 
A: 	ja dat zijn bij mij nummer twee 
A: 	die zijn wel duidelijk 
B: 	nou bij mij staan die in ieder geval helemaal weer onderaan aan het scherm 
A: 	ja nee 
B: 	maar dan het Linkerkwadrant 
B: 	nee 
A: 	wel in het linkerkwadrant maar niet onderaan 
B: 	nee dan zijn het ander plek 
A: 	nee 
A: 	dan hebben we de 
A: 	hoe noemen je die net ook alweer ? het koffiekopje met een vierkant rechtopstaand aan de voorkant 
A: 	aan de linkerkant steken er twee bred worden blok aan 
B: 	ja 
B: 	met die spijker ook 
A: 	met de spijker ding aan de bovenkant 
B: 	ja 
B: 	dat zijn letter G 
A: 	yes 
A: 	van de vier in het midden zullen die in het kwadrant linksonder staan 
B: 	ja dat zijn bij mij ook 
A: 	mooi 
B: 	ja dit zijn dat ding met een een vierkant plaat aan de voorkant 
B: 	twee arm 
B: 	met een beetje van die blurry 
A: 	de de robotarom 
B: 	ja de robotarom 
A: 	met de spijker 
B: 	met de spijker 
A: 	ja 
A: 	nummer negen 
B: 	deze staat bij mij wel de middellijn zullen hem doorkruisen als je hem verticaal tekenen 
B: 	en hij staan daar echt ja ik denken dat die net niet helemaal midden daarop staan 
B: 	hij staan onder de onderste helft 
B: 	en er staan nog een plaat onder 
B: 	dus op de verticaal lijn staan nog een plaat daaronder 
A: 	ja 
A: 	ja ik zullen hem iets link uit het midden noemen 
A: 	qua verticaal 
B: 	ja 
B: 	misschien schampen die hem net 
A: 	ja 
B: 	ja 
A: 	oké hetzelfde 
B: 	ja 
A: 	de robotarom 
A: 	de spijker 
B: 	ja 
B: 	dat zijn letter D 
A: 	en die staan nou hij zullen het veel in het kwadrant Linksboven staan maar hij staan ook wel heel erg tegen het midden van het midden aan 
B: 	in het midden 
B: 	en Linksboven zijn het veel 
A: 	daar zullen die het veel nog in vallen 
A: 	alhoewel hij staan echt ook 
B: 	hij staan best wel in het midden toch 
A: 	midden 
B: 	ja dan zullen het wel hetzelfde zijn 
A: 	ja hij staan echt in het midden 
A: 	ja 
B: 	robotarom met de spijker in het hoofd 
B: 	en een vierkant vlak 
A: 	robotarom 
A: 	robotarom ja hebbes 
A: 	nummer één 
B: 	hij staan de horizontaal middellijn zullen hem doorkruisen 
A: 	nee 
A: 	no way 
B: 	no way 
A: 	nee 
B: 	nee dan zullen het hem niet zijn 
A: 	kwadrant rechtsboven 
A: 	bijna in het midden daarvan 
B: 	nee 
B: 	nee 
A: 	de robotarom 
B: 	waar staan die 
B: 	ja 
B: 	letter B 
A: 	kwadrant rechtsonder 
B: 	ja 
A: 	en vrij dicht tegen het midden aan 
B: 	ja 
A: 	en vrij laag 
B: 	zullen niks veel onder passen 
A: 	niks onder passen nee 
B: 	nee dat zijn hem 
