B: 	nou dit zijn een kop daar zijn komen een komen een soort komen twee blokkentorent uit 
B: 	zitten een soort van spijkertje op en een vierkant ertegenaan plakken 
A: 	even kijken 
A: 	kunnen je het nog een keer 
B: 	nou ja je hebben dus het kop 
B: 	er zitten een vierkant tegenaan plakken 
A: 	ja ja 
B: 	en een spijker 
A: 	ja 
B: 	bovenop 
A: 	ja 
A: 	en dan inderdaad aan de linkerkant die twee blokkentorens dat zien ik nu 
B: 	ja 
B: 	blokkentorens ja 
A: 	ja twee zijn dat 
B: 	ja 
B: 	en bij mij zitten die inderdaad links van het midden en helemaal onderin 
A: 	oké 
A: 	ja bij mij als in zitten die link van het midden bij jou vlak naast het midden of 
B: 	hij zitten veel hij zitten dicht bij het midden dan dat die bij de linkerkant zitten 
A: 	oké bij mij zitten die echt helemaal links dus dat dus niet kloppen niet locatie 
B: 	oké 
A: 	ja oké zelfde plek 
A: 	oké dit zijn die met een vierkant ervoor 
A: 	en aan de linkerkant die twee blokkentoren die ertegenaan staan en die spijker erbovenop 
B: 	ja 
B: 	dat zijn G 
A: 	oké 
A: 	en hij staan bij mij echt net iets link van het midden 
A: 	en net iets onder onder de onder het midden zeggen maar 
B: 	bij mij ook 
A: 	yes 
A: 	oké 
B: 	het zijn weer die een met het spijkert erop en het vierkantje ertegenaan plakken 
B: 	en de blokkentoren 
A: 	yes oké dat zijn negen 
B: 	en hij staan bij mij net onder de middellijn 
B: 	en dan iets ook van de middellijn iets net iets naar links 
A: 	oké en een zeggen maar er staan net nog één één dinge één kop eronder zeggen maar 
B: 	ja ja 
A: 	ja oké dan kloppen dat wel 
A: 	ja 
A: 	oké dit zijn die met het vierkant aan de voorkant 
A: 	de twee blokkentorens link en die spijker 
B: 	ja 
B: 	d 
A: 	yes 
A: 	en staat net iets link van het midden 
A: 	en net iets boven boven het midden 
B: 	ja bij mij ook 
B: 	het zijn weer de de spijker het het plat vierkant en de blokkentorens 
A: 	even kijken ja 
A: 	dat zijn één 
B: 	en hij staan net iets rechts van het midden 
B: 	en dan ook ja qua hoogte ook in het midden 
A: 	ja bij mij staan die wel ook best redelijk dicht bij het midden van de rechterkant 
B: 	ja 
A: 	oké 
A: 	ja nee dan kloppen dat wel 
B: 	ja kloppen het 
A: 	vierkant aan de voorkant de twee blokkentorens link en het spijkert erop 
B: 	even zoeken 
B: 	B 
A: 	yes 
A: 	en net iets rechts van het midden 
A: 	en best wel aan de onderkant 
B: 	ja bij mij ook 
