B: 	hij staan op een soort van ovaal ding met een rond schijf erachter 
A: 	of 
B: 	afhangen erachter 
B: 	en er opsteken één ja een rond ding links uit 
B: 	en een soort van lepel Erbovenin staan 
A: 	lepel Erbovenin 
A: 	ja en en dat ovaal ding dat zitten dan door dat rond heen 
B: 	ja precies 
A: 	ja dan moeten ik het nu gewoon zeggen toch 
B: 	ja 
A: 	één 
A: 	en dan moeten we uitkomen of of of die op dezelfde plek staan 
B: 	ja 
A: 	bij mij staan die als je de scherm zeggen maar in twee kant optillen staan die in het midden van de rechterkant 
B: 	beetje onder boven of 
A: 	hij 
A: 	nee echt zeggen maar als je het scherm in twee zullen echt ongeveer in het midden 
B: 	nee dan staan die bij mij hij staan bij mij zeggen maar echt in het midden en dan onderaan 
A: 	oké dan dan zijn het rood 
B: 	dus dan zijn die anders 
B: 	ja 
A: 	ja deze zijn één van degeen die het weinig opvallen het zijn een kop met een soort er zitten nog iets onder een soort van houder of zo er zitten aan de linkerkant 
B: 	oeh zijn verschuiven 
A: 	komen er nog iets van een een een schroef of een potlood of zo uit en hij hebben aan de achterkant een rond en daarboven hebben hij ook nog zo'n friebel 
A: 	kunnen je daar wat mee 
B: 	zijn het er één die we al hebben hebben toevallig 
A: 	hij zijn misschien wel maar hij zijn in ieder geval de enig die ook wat aan de onderkant hebben in plaats van een bord of zo zijn het echt gewoon een soort van houder 
B: 	dat ovaal ding weer waar die op staan of zijn dat weer een ander 
A: 	ja ja een soort houdert zijn het inderdaad en dan hebben die aan dus aan de 
B: 	linkerkant een soort van potlood en een soort van lepeltje erin 
A: 	potlood eruit 
A: 	ja ja 
B: 	ja 
B: 	O 
A: 	bij mij zitten die ongeveer naast de scheidslijn in het midden maar dan aan de rechterkant 
B: 	ja en dan een beetje onderaan 
B: 	net iets onder het midden 
A: 	nou bij mij zijn iets veel naar boven volgens mij 
B: 	dan zullen het een ander zijn 
A: 	ja 
B: 	dit zijn weer met dat potlood dat eruit steken een rond schijf aan de achterkant en hij staan weer op zo'n oor ovaal ding 
A: 	even kijken 
B: 	dat zijn de enig waar dat ovaal ding doorheen opsteken 
A: 	ja precies ja dat zijn acht 
B: 	ja 
B: 	staan bij mij helemaal in zijn één rechts bovenaan in de hoek 
A: 	ja ik vinden het ook ik vinden het vrij sneu 
A: 	dit zijn die een met dat potlood aan de rechterkant 
A: 	hij zitten op dat ja op dat houder en nog een lepeltje boven en een cirkel aan de achterkant 
B: 	potlood aan de linkerkant 
A: 	ja 
B: 	ja 
B: 	C 
B: 	hij zitten bij mij net iets rechts van de scheidslijn bovenaan 
A: 	net iets rechts ja bij mij zitten die veel in het midden van het rechterscherm 
B: 	oké dan zijn het een ander 
B: 	ja dit zijn weer dat ding dat op zo'n ding staan met een potlood links en een rond schijf achter 
A: 	ja even kijken waar die ah daar zijn die 
B: 	en een lepel erin 
A: 	dit zijn zeven 
B: 	en die staan bij mij links in het midden of ja eigenlijk helemaal onderaan 
A: 	nee bij mij staan die in de hoek echt 
B: 	oké nee dat zijn anders 
A: 	dit zijn die in het houdert zitten een potlood aan de linkerkant en ja bord en een lepeltje 
B: 	ja 
B: 	C 
A: 	hij zitten bij mij aan de rechterkant ook iets aan de rechter kant van de rechterkant en vooral helemaal boven 
B: 	helemaal boven 
A: 	ja 
B: 	oké dat zijn hem niet 
