A: 	oké 
A: 	ik zullen dit stuk beschrijven als een soort van kop met een 
A: 	rond handva waar een soort van staaf doorheen zijn steken 
B: 	ja 
B: 	ik ik denken dat het een neuspiercing zijn maar 
A: 	oké 
B: 	kunnen dat of zeggen maar het zijn zo 
A: 	en er zitten ook nog weer zo'n soort van konijnenoor aan vast maar die zitten aan de achterkant 
B: 	ja aan de achterkant 
B: 	ja oké dan weten ik welk dat zijn 
A: 	ja 
B: 	dat zijn F bij mij 
A: 	oké en dan staan die een beetje aan de rechterkant op het scherm bij mij 
A: 	ja 
A: 	niet volledig rechts 
A: 	en dan zeggen maar van boven naar beneden staan die in het midden 
B: 	oké 
B: 	bij mij staan die wel helemaal rechts 
A: 	oké 
B: 	zeggen maar in de ja dus ik denken want er staan niks veel 
A: 	er staan bij mij nog iets daarnaast aan de rechterkant dus 
B: 	ja 
B: 	ja dat hebben ik niet 
A: 	oké 
B: 	oké dan druk ik rood 
B: 	dit ja dat zijn die neuspiercing 
B: 	of die ja 
A: 	ja dat die staaf erdoorheen even zoeken hoor ja dit zijn vijf 
B: 	en hij staan 
A: 	sowieso niet gelijk 
B: 	ja dan hebben we weer die drie die drie zo en dan zijn het de bovenste van die drie 
A: 	ja die zijn dus omgewisseld dus niet gelijk 
A: 	dit zijn die met de neuspiercing 
B: 	ja dat zijn A 
A: 	en die staan bij mij het veel rechtsonder in de hoek 
A: 	zeggen maar die het veel neigen daarnaartoe 
B: 	nee 
B: 	dat zijn anders 
B: 	dit zijn de neuspiercing 
A: 	dat zijn vijf 
B: 	en hij staan en aan de rechterkant van het scherm hebben je een soort driehoek 
A: 	ja 
B: 	en dan zijn het de de linker lijn naar beneden de middel 
B: 	snapan je wat ik bedoelen 
A: 	de linkerlijn naar beneden de middel 
B: 	of de of naar boven de linkerlijn 
A: 	ja ik ik snapen hem denken ik 
A: 	zijn het hetzelfde als zeggen maar het zijn ongeveer het midden van het scherm 
B: 	ja 
A: 	en dan niet de veel rechter daarvan maar die link daarvan 
B: 	ja zo hebben ik het ook kunnen uitleggen ja 
A: 	dat zijn welk hebben we ook alweer 
B: 	de de neuspiercing 
A: 	ja oké dat zijn niet gelijk bij mij staan die helemaal rechts 
B: 	oké 
A: 	de neuspiercing 
B: 	ja dat zijn H 
A: 	die staan dan onderin hebben je er net rechts van het midden hebben je er drie staan 
A: 	en daar de veel linker van 
B: 	ja 
B: 	dit zijn de neuspiercing 
A: 	dat zijn vijftien 
B: 	en driehoek rechtsboven de linker 
A: 	dat zijn niet gelijk 
