A: 	deze hebben twee ruit bovenop waar een 
A: 	vierkant staaf doorheen gaan 
B: 	ja 
A: 	en aan de onderkant hebben die een soort ja zwanenhals 
B: 	ja ik zien hem 
B: 	ja ik ik zien hem 
B: 	ja ook weer van die blok die steeds groot worden erbovenop 
A: 	ja 
B: 	ja 
B: 	even kijken een beetje verwarren met die letter hoe ze staan en dat zijn dan voor mij M 
A: 	hij staan voor mij links 
A: 	en dan net onder bijna door de horizontaal lijn 
B: 	nee bij mij staan die Erboven 
B: 	wel links maar boven dus dan worden die rood 
B: 	even kijken we hebben het nu over de het figuurt met de twee plat driehoekjes boven aan de achterkant met die twee groot worden 
B: 	vierkant die eruit komen steken 
A: 	ja 
A: 	ik hebben hem 
B: 	het haak aan de onderkant 
A: 	dat zijn negen voor mij 
B: 	en die vinden we aan de linkerkant onderste vak 
B: 	en dan eigenlijk in het onderste vak rechts tegen de scheidingslijn aan 
B: 	nou er zullen nog wel iets tussen passen 
A: 	ja maar het zijn wel duidelijk de onder 
B: 	ja ja 
A: 	ja precies nee dan hebben we dezelfde 
A: 	dit zijn die met de ruit erbovenop die doorboren worden door de groot worden vierkant 
B: 	ja 
B: 	daar ja 
B: 	ja 
B: 	dat zijn voor mij H 
A: 	die zitten voor mij linksboven en redelijk in het midden van dat vak 
B: 	ja ja 
B: 	rechts daarvan hebben je de korfbal paal iets rechts daarboven van 
A: 	dat daar zitten die bij mij toevallig ook ja 
B: 	ja 
B: 	dan hebben we denken ik ook wel dezelfde ja 
B: 	dit zijn weer de dubbel driehoek aan de bovenkant met links en rechts de vierkant 
A: 	yes 
A: 	dat zijn elf voor mij 
B: 	en die zitten voor mij links bovenin en links daarvan zijn helemaal niks veel 
A: 	ja 
A: 	nee ja precies 
A: 	dit zijn die met de ruit erbovenop die doorboren worden door die groot worden vierkant 
B: 	d 
A: 	hij staan voor mij in het linkerondervak 
A: 	en redelijk in het midden van het linkerondervak 
B: 	zeggen je redelijk in het midden 
A: 	ja 
B: 	nee bij mij staan helemaal links onderin 
A: 	nee 
B: 	hebben we niet hetzelfde 
B: 	linksonder in het vak ja dit zijn met die twee driehoek en de groot worden vierkant link en rechts 
A: 	even ja dat zijn veertien voor mij 
B: 	en die staan eigenlijk helemaal aan de linkerkant 
B: 	en de horizontaal lijn die doorkruissen hem zeker weten 
A: 	nee 
A: 	nee dat daar komen die van mij niet in de buurt 
