A: 	ja ik vinden dit een beetje op een hond lijken of zo die opspringen 
A: 	dus zo'n ruit bovenop twee zo'n rui heel erg naast elkaar met twee van die ding aan de zijkant ik denken dat 
B: 	en twee blok 
A: 	ja van die blok 
B: 	en onderaan hebben die nog een soort van poo of zo 
A: 	ja zo'n poo staart en dan voor nog twee zo'n ding 
B: 	ja dan weten ik het 
B: 	ja 
B: 	dan zijn het M 
A: 	en hij staan als je vanaf het middenpunt kijken link 
A: 	en dan iets onder het midden maar wel echt tussen links en rechts in 
B: 	bij mij staan die iets boven het midden 
A: 	oké dan zijn die anders 
B: 	dan zijn het niet hetzelfde 
B: 	dit vinden jij op die hond lijken 
A: 	ja ja ik weten hem 
A: 	nummer negen 
B: 	hij staan helemaal onderaan en dan iets naar links niet zo ver 
A: 	ja dat hebben ik ook 
A: 	dit zijn dat hond 
A: 	het opspringen hond 
B: 	even kijken waar die staan ja nummer of H 
A: 	en hij staan links van het midden en dan stuk naar boven 
A: 	en dan tussen 
B: 	ja en halverwege link zeggen maar 
A: 	ja 
B: 	ja 
B: 	dat zijn het hond 
A: 	ja 
A: 	nummer elf 
B: 	hij staan bijna helemaal bovenaan en dan redelijk ver naar links 
A: 	ja 
A: 	niet helemaal in die hoek toch maar wel 
B: 	ja 
A: 	ja 
B: 	wel redelijk ver ja 
A: 	het hond 
B: 	even kijken 
B: 	ja D 
A: 	en die staan bij mij redelijk onderaan en dan halverwege link 
B: 	bij mij staan die heel ver naar links 
B: 	de hond 
A: 	nummer veertien 
B: 	hij staan qua hoogte precies in het midden en dan bijna helemaal naar links 
A: 	nee bij mij niet 
