B: 	oké ik hebben ja het één wat ik zien zijn een beetje vogelachtig hij hebben bovenop een rechthoek 
A: 	ja 
B: 	aan de zijkant 
A: 	een soort vleugel aan de zijkant ja 
B: 	ja 
B: 	en dan aan de voorkant die 
A: 	zo'n soort neus of een bek en 
B: 	ja met dat steelt erbovenop 
A: 	ja ja 
B: 	ja 
A: 	ik hebben ook zo'n associatie 
A: 	dat zijn acht 
B: 	oké 
B: 	hij staan bij mij ongeveer in het midden en dan ook op bij de breedte op het midden lengte ik weten niet zeker 
B: 	en dan eigenlijk staan eigenlijk ongeveer in het midden alleen dan net iets link naar boven 
A: 	ja dat hebben ik ook 
A: 	echt bijna helemaal in het midden en dan net iets naar links en iets naar boven 
B: 	ja 
A: 	dus dan zullen het op dezelfde plek zijn 
A: 	oké dit zijn die jij de vogel noemen en ik janen ik een beetje pinguïn want die hebben een beetje aan de zijkant van dat soort vleugelt en een raar bek 
B: 	ja ja 
B: 	ja ja ik hebben hem ik hebben hem 
B: 	dat zijn E 
A: 	hij staan bij mij ook weer vrijwel in het midden alleen dan net iets veel rechtsond dus dan van het rechteronderkwadrant zijn het helemaal Linksboven 
B: 	nee nee dan hebben we niet hetzelfde 
B: 	dit zijn de Pinguïn vogel 
A: 	ja 
A: 	even kijken waar die staan 
A: 	ja dat zijn één 
B: 	bij mij staan die ongeveer helemaal bovenin in het scherm en dan eigenlijk in het midden 
A: 	ja 
A: 	het bovenste plaat 
B: 	bovenste plaat in het midden 
A: 	ja er kunnen niks veel boven 
B: 	nee 
A: 	nee 
A: 	ander plek 
A: 	dit zijn de pinguïn of de vogel zeggen maar 
B: 	ja 
B: 	ja dat zijn E 
A: 	en hij staan bij mij in het linkeronderkwadrant 
A: 	wel net want hij staan best wel heel erg richting boven 
A: 	en ja een beetje en ver een beetje in het midden misschien iets veel naar rechts maar vooral zeggen maar linkeronderkwadrant en dan 
A: 	wat veel naar boven er passen aan de linkerkant passen er ongeveer anderhalf plaat tussen en aan de onderkant ook ongeveer 
B: 	ook anderhalf ja ik denken dat we dezelfde plek hebben dan 
A: 	ja 
B: 	dit zijn de vogel 
A: 	ja 
B: 	Pinguïn vogel 
A: 	even kijken dat zijn zestien 
B: 	en hij staan bij mij rechteronderkwadrant 
B: 	het onderste plaat helemaal onderin eigenlijk alleen dan wat naar ongeveer in het midden maar wat naar links 
A: 	ja 
A: 	hebben ik ook 
A: 	dit zijn de pinguïn of de vogel zeggen maar 
B: 	ja dat zijn O bij mij 
A: 	en die staan bij mij helemaal links onderin 
A: 	waarbij er dan zeggen maar links naast nog iets van een ja half plaat kunnen 
A: 	onder kunnen helemaal niks veel 
B: 	ja dat hebben ik ook 
