A: 	ik hebben er nu eigenlijk één met twee soort uithangbordjes aan de rechterkant 
A: 	en zo'n soort ja het zijn eigenlijk gewoon twee bord boven elkaar lijken het wel 
A: 	en erop staan ook nog zo'n soort hoe noemen je dat ? zo'n soort 
A: 	ja zo'n vierhoek zo'n ja het lijken een soort lampenkop ik weten niet hoe je dat zeggen 
A: 	maar het zijn echt twee bord aan de rechterkant die er hangen en nog zo'n 
A: 	staaf een beetje linksonder en één in het midden links 
B: 	moeten ik even goed kijken 
B: 	wachten ik denken dat ik dus je hebben inderdaad dan echt gewoon twee staf die uitsteken aan de rechterkant en dan 
A: 	en aan de linkerkant zo'n nog zo'n zo'n dinge en daarbovenop zo'n soort lampenkop of ik weten niet hoe je dat uitleggen 
B: 	nog één ja 
B: 	en dan inderdaad rechtsonder hebben je nog een soort van staart zitten zeggen maar 
A: 	ja 
B: 	oké dat zijn bij mij dan I 
A: 	bij mij zitten die ja net iets link van het midden en ongeveer op één vier qua hoogte 
B: 	ja dat zijn bij mij volgens mij ook wel 
B: 	ja net iets link van het midden of 
A: 	ja wel een stuk ik denken wel zeg maar ongeveer ja een plaat of zo van het midden 
B: 	ja oké 
A: 	of net iets weinig misschien 
B: 	en dan ongeveer één vier van boven dan 
A: 	ja 
B: 	ja dan staan die wel op dezelfde plek 
B: 	ik hebben nu die een met aan de rechterkant weer twee van die staaf zeggen maar 
B: 	en dan aan de bovenkant zijn hebben je weer die lampenkap zeggen maar 
A: 	ja 
B: 	en dan aan de eronder dan ook weer zo'n staart zeggen maar en dan nog aan de 
A: 	ja die 
A: 	en in het midden nog zo'n dinge aan de link 
B: 	ja 
A: 	ja 
A: 	bij mij nummer twee 
B: 	en bij mij staan die zeggen maar links onderin maar er kunnen daaronder kunnen nog best wel een plaat en er 
A: 	naast kunnen er ook nog wel één 
B: 	ernaast kunnen ook nog wel ruim een plaat 
A: 	ja bij mij ook 
A: 	ja 
A: 	ik denken dat die gewoon op de eronder kunnen nog een plaat en daarnaast kunnen ook nog wel een plaat zeker 
B: 	ja 
A: 	oké ja 
A: 	dan staan die op dezelfde plek 
A: 	ik hebben nu met die uithangbord noemen ik net met zo'n lampenkop erop 
A: 	bij mij staan die link onderin ongeveer ik weten niet of die bij jou ook daar ook staan 
B: 	even kijken 
A: 	zo'n staaf eronder 
B: 	met die uithangbordje 
A: 	ja die twee bord aan de rechterkant 
B: 	die en weer dat dat staart zeggen maar ook 
A: 	ja die staart aan de ander kant aan de linkerkant inderdaad eronder 
B: 	ja oké 
B: 	dat zijn bij mij M 
A: 	bij mij staan die kunnen er zullen er net nog één plaat link naast kunnen 
B: 	ja 
A: 	hij staan wel helemaal onderin 
B: 	ja daar staan die bij mij ook 
B: 	nou hebben we weer die twee uithangbordjes met die lampenkap erbovenop en dat staart zeggen maar aan de linkerkant 
A: 	ja 
A: 	ja 
A: 	nummer negen zijn dat bij mij 
B: 	en bij mij staan die ja helemaal bovenin maar er kunnen dus nog wel een plaat Erboven 
A: 	krap krap boven ja 
B: 	en ja er kunnen echt wel nog twee tot drie plaat dan inderdaad aan de linkerkant 
A: 	ja bij mij ja zullen er twee ongeveer op één drie staan die bij mij 
B: 	er staan nog links 
B: 	ja er staan links wel nog een plaat ernaast 
A: 	en er zullen er sowieso nog één naast kunnen 
B: 	ja 
A: 	oké dan staan die op dezelfde plek 
A: 	ik hebben nu die een met die of ja noemen ik net zo met die lampenkap erboven staan bij mij ongeveer midden 
B: 	met die 
B: 	ja 
B: 	bij mij zijn dat F 
A: 	hij staan bij mij ongeveer ja rechts van het midden wel 
A: 	en hij staan best wel onderin zeggen maar hij zijn één van die drie plaat die we net hebben 
B: 	ja 
A: 	die middel daarvan zeggen maar 
B: 	ja bij mij zijn dat ook de middel van die drie plaat dus 
A: 	het staan wel iets rechts van het midden en ja best wel vrij eigenlijk bijna onderaan wel 
B: 	ja 
B: 	ja dan zijn het zijn het dezelfde plek denken ik 
B: 	die twee uithangborde en die lampenkap aan de bovenkant zeggen maar 
A: 	ja 
A: 	nummer zes zijn dat bij mij 
B: 	en qua hoogte zijn die ongeveer op het ja op het midden eigenlijk wel en dan zeggen maar als je weer dan de middellijn nemen dan staan die er 
B: 	link van 
A: 	net iets link 
B: 	ja 
A: 	oké 
A: 	ik denken het wel bij mij staan die heel iets onder het midden zullen je hem kunnen zien zeggen maar 
B: 	inderdaad 
A: 	of ja wel ongeveer op het midden en dan net iets link van het ja staan die op dezelfde plek 
B: 	ja 
