B: 	ik hebben hem deze keer in principe lijken het een soort plaat te hebben over in het midden van het kelkvormig dinge of in het midden van de 
B: 	mokvormig basisvorm 
B: 	dan hebben je twee uitsteeksel aan de bovenkant en een soort hoekuitsteeksel en dan nog een cilindervormig ding 
A: 	ja 
A: 	dat zijn hier nummer zestien 
A: 	ik denken trouwens eigenlijk dat we bij die twee moeten zeggen waar die dan staan 
B: 	denken het 
A: 	denken je niet 
B: 	volgens mij niet toch 
A: 	omdat we de één keer moeten zeggen welk het zijn en de twee keer dat we uit moeten zoeken of die op dezelfde plek op het scherm staan dat denken ik ineens 
B: 	of hier wel 
B: 	shit 
B: 	en dan zijn het nu de bedoeling dat we dat wel 
A: 	nu 
A: 	dat we nu uitzoeken waar die bij jou staan en of die bij mij dan hetzelfde zijn 
B: 	waar die zeggen maar waar die bij mij staan 
A: 	ja 
B: 	bij mij staan die in principe aan de rechterkant van het scherm 
B: 	als je het scherm in twee helft verdeelen de rechterkant en dan aan de linkerkant zelfde object bovenaan 
A: 	ja dat zijn hetzelfde hier 
B: 	ja 
A: 	dit zijn de koffiemok die twee klein staafjes aan de bovenkant hebben die even groot zijn 
B: 	ja 
A: 	er zitten ook een vierkant schot omheen 
B: 	ja dan weten ik wel dat zijn denken ik C met een cilinder en dan een hoek aan de 
A: 	ja 
B: 	ja C 
A: 	ja 
A: 	en die staan in het vlak rechtsboven en dan eigenlijk een beetje middenin 
B: 	bij mij staan die 
A: 	of nou ja net een beetje links van het midden misschien 
B: 	veel link van het midden ja C 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	ik hebben degeen waarbij op een drie van de basisvorm een soort vierkant zitten 
B: 	daarboven zijn een soort uitstekend cilinder 
B: 	en dan twee van die gelijk klein balkjes boven en dan rechts of link nog een hoekig handvat 
A: 	ja 
A: 	dat zijn hier nummer dertien 
B: 	en bij mij staan die dan geheel boven in de linkerkant van het scherm 
B: 	er zullen niks nog links kunnen 
A: 	ja dat zijn hier ander 
A: 	dit zijn de mok waar een plateau aan vastzitten eigenlijk aan de onderkant 
A: 	en er komen twee gelijk stokjes aan de bovenkant uit 
A: 	link komen een soort van tetrisblokje uit en aan de voorkant een lang rond vorm 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	oké 
A: 	die zitten heel gemeen eigenlijk op de verticaal middellijn onderin 
B: 	ja rechterkant toch 
A: 	ja net een beetje 
B: 	ja 
A: 	ja 
B: 	ik hebben degeen met op een drie dus dat dat soort plateau dat het doorklieven en dan links 
B: 	de het uitsteeksel met een hoek erin en boven die twee klein blok en dan voor 
A: 	ja 
A: 	nummer negen 
B: 	bij mij staan die rechts bovenste kwart en dan aan de op de lijn van de horizontaal scheiding 
A: 	kijken 
A: 	ja het bovenste kwart zijn het kwart rechtsbof 
B: 	ja 
A: 	oké hij staan bij mij veel rechtsonder 
A: 	dit zijn de mok waarbij er twee dezelfde stokjes aan de bovenkant uit komen 
A: 	aan de onderkant zo'n vierkant plateau zitten 
B: 	ja 
A: 	link zo'n tetrisblok uit komen en een rond aan de voorkant 
B: 	yes N 
A: 	en die zitten eigenlijk op de verticaal lijn boven richting het scherm 
B: 	ja 
