A: 	ik noemen deze eigenlijk de serveerster met een trompet het zijn een soort van poppe die hebben een hand en daar zitten een soort van ding steken eruit 
B: 	ja 
A: 	en dan aan in de ander hand zitten een soort van dienblad 
B: 	wat grappig ja 
B: 	ik noemen dat de spijker in de arm 
A: 	ja kunnen ook 
B: 	dus een plateau inderdaad en aan de linkerkant zitten een uittulpsel met daarin weer wat 
A: 	ja 
B: 	dan gaan het om L 
A: 	en bij mij staan die aan de linkerkant in het midden helemaal onderaan 
B: 	aan de linkerkant helemaal onderaan bij mij kunnen er nog één eronder staan 
A: 	nee bij mij echt niet 
B: 	dan staan die niet op dezelfde plek 
B: 	dit zijn jou dienblad met spijker 
B: 	met trompet zeggen maar 
A: 	oeh wachten even moeten ik even weer zoeken waar die staan 
A: 	ah ja ik hebben hem 
A: 	dat zijn Numero zeven 
B: 	bij mij staan die eigenlijk helemaal bovenaan 
A: 	nee bij mij niet helemaal bovenaan kunnen er iets boven bij jou 
B: 	als je 
B: 	nee eigenlijk niet misschien een half zeggen maar maar 
A: 	nee dan 
A: 	nee dan dan staan die niet op dezelfde plek 
B: 	nee 
A: 	dit gaan over de serveer serveerder met de trompet 
B: 	jou serveerster of mijn serveerster 
A: 	nee mijn serveerder met de trompet 
B: 	gaan het om 
A: 	of met de spijker 
B: 	gaan het om C 
A: 	hij staan bij mij eigenlijk vrijwel in het midden als je door door het midden een lijn zullen trekken dan zullen je hem eigenlijk gewoon raken 
B: 	met vanuit Q zullen je een lijn trekken of vanuit tussen E N 
A: 	nou eigenlijk van elk letter wel dan zullen je hem raken 
A: 	tenminste het armp wel 
A: 	en hij staan en er kunnen er nog één boven 
B: 	nee dan staan die niet op dezelfde plek 
A: 	oké 
B: 	bij mij kunnen er nog nou vier boven 
A: 	nou in ieder geval hij staat dus niet op dezelfde plek 
B: 	ja dus rood 
A: 	ja 
B: 	dit zijn de serveerster met de trompet slash spijker 
A: 	dat zijn Numero één 
B: 	staan aan de linkerkant bij mij 
A: 	ja 
A: 	ja 
B: 	zeggen maar als je de rood pin neemt dan vallen die net daaronder 
A: 	ja 
B: 	er zijn iets ruimte kunnen niet echt veel ja misschien een klein maar eigenlijk ook niet veel 
B: 	ongeveer drie vingerlengte ruimte zitten er aan de linkerkant 
A: 	ja hij hij vallen bij mij aan de linkerkant 
B: 	ja 
A: 	eigenlijk in het midden van de linkerkant qua als als je de als je de verticaal as nemen 
A: 	en dan daar net onder denken ik 
A: 	dus ik denken dat die dezelfde plek staan 
B: 	je zeggen verticaal bedoelen je horizontaal zeggen maar zo horizontaal 
A: 	verticaal 
A: 	in het midden 
B: 	aan de linkerkant 
A: 	ja 
B: 	ja bij mij ook 
A: 	oké dan staan die op dezelfde plek 
B: 	dus dan moeten jij 
A: 	de de serveerder met de trompet 
B: 	dat gaan dan om a 
A: 	hij staan bij mij aan de linkerkant eigenlijk in het midden van de linkerkant 
A: 	precies eigenlijk 
B: 	bij mij zullen die alleen aan de linkerkant precies in het midden zitten als je de lijn vanaf B omhoogtrekt en niet vanaf E N 
A: 	ja ja ja oké 
B: 	oké dus je trekken hem van B omhoog 
A: 	ja ja dan dan 
A: 	ja dan ja ja ja 
B: 	en de rood pin raken net het bovenste stuk van de trompet hij hij schampen er net overheen 
A: 	ja 
A: 	ja net 
B: 	oké dan zullen die op dezelfde plek staan denken ik 
A: 	ja 
B: 	dit gaan om de spijker serveerster 
A: 	serveerster even kijken ja Numero dertien 
B: 	trompet 
B: 	zeggen maar eronder kunnen nog wat hij staan aan de linkerkant 
A: 	ja bij mij kunnen onder echt nog wel twee 
B: 	bij mij maar één 
A: 	oké dan staan die niet op dezelfde plek 
