B: 	ja 
B: 	deze hebben twee van die staart met ja ik vinden het op diamant lijken maar 
A: 	die en hij staan op zo'n vierkant vlak 
B: 	ja 
B: 	ja ja 
A: 	en hij hebben een rond met een tui 
B: 	ja ja ja 
A: 	dan zijn dat nummer vijf 
B: 	poeh die zijn lastig 
B: 	hij staan zeggen maar ongeveer op de drie rij van links denken ik 
B: 	en dan ja iets veel naar beneden toe maar bijna op de helft 
A: 	oké ja bij mij staan die links en dan soort van twee rij en boven de helft dus dan staan die niet op dezelfde plek 
B: 	nee oké 
A: 	dus dan zijn het rood 
B: 	ja 
A: 	die diamant drie diamant aan de en dan op het vierkant met het rond 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
A: 	en hij staan helemaal rechtsonder 
A: 	echt in de hoek van het scherm 
B: 	helemaal rechts 
A: 	helemaal rechtsonder 
B: 	nee dan staan ze niet op dezelfde plek 
B: 	dit zijn weer die met die twee staart van die diaman die op die plaat staan 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	en hij staat ongeveer op de middellijn als je van boven naar onder kijken maar dan iets naar beneden 
B: 	en dan de drie rij van links 
A: 	bij mij staan die zeggen maar wel een beetje op de middellijn maar dan wat veel link van het midden zeggen maar 
B: 	ja 
A: 	maar wel 
B: 	wat ik net zeggen die drie wat zo op de middellijn 
A: 	ja 
B: 	daar zijn het nu bij mij de middel van 
A: 	ja daar zijn het bij mij nu de rechts van 
B: 	oké 
A: 	dus die zijn niet 
A: 	de drie diamant aan beide kant op het vierkant 
B: 	ja 
B: 	dat zijn P 
A: 	en hij staan iets rechts van het midden zeggen maar van boven naar onder en hij zitten dan 
A: 	ja hij staan bij mij de rechtsboven zijn niet veel echt rechtsboven en dan zijn het zeggen maar het twee wat waar dat wijnglas staan 
A: 	bij jou ook 
A: 	dan staan die zeggen maar in het verlengen daarvan en dan zitten er nog één naar links en dan zitten er nog één dinge tussen 
B: 	oké bij mij zijn dat de middel van die drie 
A: 	oké ja dan zijn die niet hetzelfde 
B: 	dus niet dezelfde 
B: 	dit zijn dat diamant staar 
B: 	op het vierkant 
A: 	op op het bord en de ronje 
B: 	ja 
A: 	dat zijn nummer negen 
B: 	en hij staan in het midden bovenaan 
A: 	midden bovenaan 
B: 	ja 
A: 	daar staan bij nee nee hij staan bij mij net boven het midden dus dan zijn het rood 
A: 	de diamant 
A: 	drie link drie rechts op het plaat 
B: 	ja 
B: 	dat zijn L 
A: 	en dan hebben we de middellijn en dan staan die daar wat link van maar wel aan in de bovenste vlak zeggen maar 
B: 	nee bij mij staan die rechts van de middellijn 
A: 	waar die waar die deur staan zeggen maar 
B: 	ja 
A: 	daarboven wel een figuur ertussen maar daarboven staan die bij mij 
B: 	nee bij mij staan die echt rechts dus niet op dezelfde plek 
A: 	oké 
