A: 	dit zijn net diegene die ik beschrijven met die bowlingkegel op zijn kop 
A: 	en zo'n ander bowlingkegel naar de linkerkant 
A: 	en aan de achterkant zitten een soort worm 
A: 	en aan de rechterkant zitten een soort wolkenkrabber 
B: 	ja dan hebben ik hem 
B: 	dat zijn bij mij E 
A: 	en hij staan in het midden horizontaal 
B: 	positie 
A: 	en dan één naar rechts nog één naar rechts en dan nog één naar rechts 
B: 	nee mijn staan niet in het midden 
B: 	dit zijn die met heel veel uitsteeksel dus hij hebben bovenop een een rondachtig cilinder 
B: 	ook naar voren links 
B: 	en dan hebben die nog aan de zijkant zo'n blok die steeds groot worden 
A: 	ja 
B: 	en aan de achterkant nog zo'n pijp 
A: 	ja 
A: 	dat zijn nummer elf 
B: 	positie als je echt in het midden midden staan en dan echt een heel klein beetje naar Linksboven 
A: 	ja 
A: 	hebben je ook vanaf het midden echt vier eromheen staan zeggen maar 
B: 	ja ja 
A: 	oké 
B: 	ja volgens mij hebben we wel dezelfde positie allemaal en zijn er een paar verwisselen 
A: 	denken het ook en ik hebben aan de rechterkant één zo'n sliert naar beneden 
B: 	ja ja ja ja 
A: 	en aan de linkerkant ook één die zo schuin lopen en dan nog één 
B: 	ja en daar staan er nog één los 
A: 	oké 
B: 	oké dan hebben we dat hetzelfde 
B: 	deze staan dus in in het midden en dan iets Linksboven 
A: 	oké 
A: 	dit zijn die een raar weer met die kegel aan de bovenkant kegel aan de linkerkant dat blokjesding aan de rechterkant en die pijp aan de achterkant 
B: 	een een pijp aan de achterkant 
A: 	kegel bovenop 
B: 	ja ja ja heel die uitsteeksel 
A: 	ja met die vier 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	en die staan in het midden één naar rechts 
B: 	één 
A: 	ja ik denken twee naar rechts 
B: 	ja oké en dan zien ik wel waar die zullen moeten staan maar staan die bij mij niet 
B: 	rood 
B: 	dit zijn met die vier uitsteeksel dus die uitlaat linksachter 
B: 	kegel bovenop 
B: 	kegel linksvoor en een blokkig ding rechtsvoor 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	het zijn de veel rechtsonder 
B: 	maar het zijn eigenlijk rechtsonder vrij leeg dus het zijn 
A: 	nee dat zijn hem niet 
B: 	oké 
A: 	dit zijn die een met die raar kegel en het pijp en de blok 
B: 	ja dat zijn B 
B: 	die staan niet op dezelfde plek want dit bij mij staan die het veel rechts die jij waar jij straks dat die plaat die doormidd halen zijn 
A: 	nee als je de veel rechter hebben en dan de onderste en dan één naar linksonder 
B: 	ja nee dat zijn niet 
A: 	nee 
B: 	de vier lang uitsteeksel dus de twee kegel de pijp aan de achterkant en de blok aan de voorkant 
A: 	ja 
A: 	zijn nummer vier 
B: 	staan helemaal linksboven 
A: 	ja 
