A: 	ik vinden het lijken op een gieter 
A: 	maar dan een heel lelijk gieter je hebben gewoon dat bakkie en aan de een kant of ja aan beide kant steken een soort zeshoekig staaf uit en aan de een kant zijn die vrij kort aan de ander kant lang 
A: 	en dan aan beide uiteind zitten een bolle 
A: 	en dan bovenop zitten er nog een soort kleppie waar dan ook weer zo'n soort vierkant stok uit opsteken 
B: 	ja 
A: 	naar beneden 
B: 	letter K 
A: 	bij mij staan die linksboven ik hebben er ver niks veel ver in de hoek staan 
B: 	ja 
B: 	hij staan niet echt aan de super erg aan de zijkant maar wel voor de begrip van de vormp aan de zijkant 
A: 	ja 
A: 	hij staat niet in de rand maar wel echt in in de hoek van het figuur 
B: 	nee 
B: 	ja 
B: 	ja 
A: 	ing 
B: 	het zijn een bak 
B: 	hij hebben twee uitsteeksel hier die zeshoekig zijn 
B: 	aan het einde zitten een half cirkel half bollet zitten erop 
B: 	en achter hebben die nog zo'n platformp jij vinden het op een gek gieter lijken 
A: 	ja 
A: 	nummer negen 
B: 	hij staan bij mij rechts van het midden en boven van het midden 
A: 	ja maar er zitten nog wel ik hebben er één nog boven staan 
B: 	ik hebben er ook nog één boven staan en ik hebben er niks van rechts staan 
A: 	nee oké 
A: 	dan zijn het wel ongeveer dezelfde plek 
B: 	oké 
A: 	dit zijn wat ik dus vinden lijken op die gieter met dus die twee zeshoekig dinget en één zijn iets lang en dan die twee bollet aan de uiteind daarvan 
B: 	ja 
B: 	ja 
A: 	en dan een klepje erop 
B: 	ja 
A: 	aan de zijkant 
B: 	dat hebben twee van die ding ja 
B: 	letter F 
A: 	als je de linkerhelft hebben en dan zeggen maar een soort middellijn 
A: 	en dan daar exact het midden van 
B: 	nee 
B: 	bij mij staan die als je hier hebben zeggen maar echt heel erg tegen de de rand van deze rand aan en ook heel erg tegen deze rand aan dus hij staan net iets 
B: 	link van het midden en net iets boven van het midden 
B: 	heel klein beetje 
A: 	nee die van mij zullen dan eerder net iets onder het midden zijn dus ik denken dat het dan wel een ander plek zijn 
B: 	ja 
B: 	jij vinden het op een gieter lijken 
B: 	met die drie met de zeshoek die eruit komen met zo'n klein bolle eraan 
A: 	yes 
A: 	nummer drie 
B: 	hij staan bij mij redelijk onderaan er zitten zo'n stuk tussen of tussen het scherm en de onderkant 
B: 	het figuur aan de onderkant 
B: 	en hij staan links van het midden 
B: 	maar niet heel erg veel 
B: 	ja zo'n stuk 
A: 	nou bij mij zitten die zeggen maar als enig naast de rand 
A: 	maar wel van de rand af maar 
B: 	nee 
B: 	nee 
A: 	oké 
A: 	zeggen maar dat gieterdinge 
B: 	ja 
A: 	met die twee staaf waar de bollet aan zitten 
B: 	ja 
B: 	letter L 
A: 	en die staan als je het midden van het scherm hebben heel iets naar rechtsonder 
B: 	nee 
B: 	bij mij staan die echt heel erg veel naar rechts 
B: 	echt nog rechts van de vijfenzeventig procent 
A: 	nee hebben ik echt niet 
A: 	ik hebben hem bijna in het midden 
B: 	de gieter 
A: 	nummer vijf 
B: 	sorry 
B: 	hij staan onder het midden 
B: 	maar wel qua links en rechts bijna in het midden ik zullen zeggen heel klein beetje rechts van het midden 
B: 	en qua hoog en laag ongeveer in het midden van de onderste helft 
A: 	ja dat hebben ik ook wel 
