B: 	dit zijn gewoon een kop 
B: 	en hij hebben een soort van hanenkam bovenop 
B: 	en zo'n hij lijken een potlood vast te vasthouden 
A: 	even kijken 
A: 	een hanenkam 
B: 	een vierkant blok staan bovenop 
A: 	ja 
A: 	en hij en hij hebben hier zo'n soort neus 
A: 	zo'n 
B: 	ja aan de zijkant zitten nog een soort van neus 
A: 	ja 
B: 	en voor hebben die 
A: 	ja zo'n hand zo hier naar boven en daar zitten dan nog een rond in 
B: 	ja nog zo'n 
B: 	ja dat zijn hem 
A: 	oké dat zijn nummer acht 
B: 	en hij zitten nou ja ongeveer op het in het midden van het scherm echt 
A: 	ja centrum centrum en dan iets naar links 
B: 	ja 
A: 	ja 
A: 	oké 
A: 	die die dat potlood vasthouden en dat blok bovenop 
B: 	ja 
B: 	dat zijn E 
A: 	en dan centrum centrum en dan iets veel naar rechts iets veel naar onder 
B: 	nee 
B: 	ik hebben dan met dat potlood 
A: 	ja dat zijn nummer één 
B: 	en dan bovenaan midden midden 
A: 	ja hebben ik ook 
A: 	die met dat penne en dat blok bovenop 
B: 	ja 
B: 	dat zijn E 
A: 	en dan staan die eigenlijk centrum centrum en dan iets naar links en ook iets laag maar niet heel veel 
B: 	staan die niet op dezelfde 
B: 	met de potlood 
A: 	ja dat zijn nummer zestien 
B: 	en die staan bij mij onderaan 
A: 	ja 
B: 	en dan ongeveer vanaf het midden vijfentwintig procent naar rechts 
A: 	ja hij staan daar bij mij ook maar ik zullen niet vijfentwintig procent zeggen 
A: 	eerder eerder tien of 
B: 	misschien twintig procent 
B: 	dat kunnen ook 
A: 	ja ja ik denken dat we ja gaan we gewoon wagen 
A: 	die met dat potlood en die die balk bovenop 
B: 	ja dat zijn O 
A: 	die staan bijna links in de hoek 
A: 	en dan zitten die iets ver van het 
B: 	onderin 
A: 	ja 
A: 	dan zitten die iets ver van de linkerkant af dan dat die van de bovenaf af zitten 
B: 	ja 
