A: 	en 
B: 	even kijken 
B: 	er zitten aan de linkerkant zitten twee kubus die weer klein worden naar binnen 
A: 	ja 
B: 	daar zijn er maar één van 
A: 	en zitten 
B: 	bovenop zitten een soort paddenstoel 
A: 	ja zitten er ook een vierkant vlak voor 
B: 	ja 
A: 	ja oké ja 
A: 	dat zijn twee 
B: 	aan de linkerkant van het scherm zitten die onderin 
B: 	en hij zitten een beetje als je de linkerkant van het scherm pakken zitten die in het midden onderin 
A: 	ja 
A: 	midden onderin 
A: 	en zitten er ook een een plaat boven die met de twee uitsteeksel die die rui zijn twee 
A: 	er zijn twee ruitvormig uitsteeksel daarboven 
B: 	nee 
B: 	maar het misgaan ook veel om de positionering volgens mij niet per se te opzicht van ander 
A: 	ja maar het zijn makkelijk voor mij als ik soort van weten in in de verhouding 
B: 	ja ja 
B: 	maar volgens mij alles wat eromheen zitten ik denken niet dat het daar heel veel mee te maken hebben 
B: 	die ik denken dat die ook allemaal random kunnen zijn 
A: 	maken het niet uit waar die staan dan daarmee oké dan zijn die ja hij staan links 
B: 	ja 
B: 	ik denken veel gewoon aan de linkerkant van het scherm 
A: 	hij staan links in het scherm ja en hij kunnen daarna nog best wel naar beneden hebben ze wat ruimte nog voor naar beneden om naar beneden te meegaan 
B: 	hoe vaak past die daar in 
A: 	wel ook wel anderhalf keer misschien twee keer zelfs 
B: 	nou dan zitten die daar bij mij nee daar zitten die bij mij niet bij mij zitten die echt helemaal onderin 
A: 	helemaal onderin oké nee 
B: 	ja 
A: 	dan zijn die dan zijn die niet goed 
A: 	er zitten een vierkant vlak voor er zitten een paddenstoel op 
A: 	en een vierhoek die steeds klein worden 
B: 	dat zijn nummer G 
A: 	vierkant 
A: 	ja 
B: 	letter G ik zeggen de heel tijd nummer 
A: 	maken niet uit we snappen het even kijken hoor hij zitten links maar dan in het midden van links en hij kunnen nog 
A: 	op zijn weinig twee keer naar beneden anderhalf keer naar beneden 
A: 	één keer naar beneden eigenlijk 
B: 	oké sorry ik zijn ik zijn het even kwijt we zijn naar die met die paddenstoel 
A: 	ja 
B: 	linkerkant zeggen je 
B: 	nog ver 
A: 	echt midden link midden link 
A: 	precies in het midden eigenlijk 
B: 	nee daar zitten die bij mij niet 
B: 	dit zijn die met het paddenstoel 
A: 	ah met de plaat aan de voorkant 
B: 	ja 
A: 	oké 
A: 	dat zijn negen 
A: 	en 
B: 	hij zitten aan de linkerkant van het midden 
A: 	ja 
B: 	en er zitten zo'n ja acht centimeter onder 
B: 	hij past er zelf één keer onder 
A: 	oké hij past er wel een keer onder 
A: 	en hij zitten heel ver weg van de linkerkant af toch 
B: 	ja 
A: 	oké 
B: 	hij zitten tegen de middellijn aan 
A: 	ja 
A: 	en hij past er één keer onder ja 
A: 	dan zijn die wel goed 
A: 	en er zijn een plaat voor 
A: 	aan de voorkant en er zitten een paddenstoel op 
B: 	dat zijn D 
A: 	heel delicaat 
A: 	zitten hij zitten in het midden veel richting link met de twee telescoopjes eraan die gaan 
A: 	richting links maar hij zitten echt in het midden midden 
A: 	hij zitten op de hoogte van de rood hangert 
B: 	ja oké ja ja 
B: 	ja ik denken niet dat we dat erbij mogen nemen 
B: 	maar hij zitten wel in het midden aan de linkerkant zo ja 
A: 	ja 
B: 	nou dat zullen wel goed zijn 
B: 	dat zijn die met de paddenstoel 
A: 	ach de paddenstoel 
A: 	en de plaat 
A: 	dat zijn één 
B: 	en hij zitten aan de rechterkant van het midden 
B: 	maar wel tegen de middellijn aan 
B: 	en qua hoogte ook in het midden 
A: 	van het midden 
A: 	midden midden dus 
B: 	qua qua hoogte zitten die in het midden 
A: 	ja 
B: 	en hij zitten tegen de middellijn aan aan de rechterkant 
A: 	midden aan oké 
A: 	en zitten die kunnen die op zijn weinig nog één keer naar één keer naar het midden verschuiven denken je 
B: 	nee 
B: 	te dichtbij 
A: 	nee 
A: 	zijn die te dichtbij 
A: 	oké 
B: 	ja 
A: 	en zitten er ook iets in de buurt wat ik kunnen herkennen dan 
B: 	ja daar daar aan de linkerkant dus aan de aan de linkerkant van het scherm 
A: 	ja 
B: 	hangen die met de spiraal met de driehoek eronder 
A: 	nee dat kloppen helemaal niet 
A: 	zitten een plaat voor er zitten een paddenstoel op 
B: 	ja 
B: 	en dat zijn B 
A: 	en hij zitten aan de rechterkant 
A: 	beneden 
A: 	tegen de middellijn aan 
B: 	kunnen die ongeveer nog een half keer naar beneden 
A: 	nou ja op zich wel 
A: 	ja 
B: 	ja dat zijn wel goed 
