A: 	oké dit zijn die een met dat soort van tui aan de onderkant en dan hebben je aan de bovenkant hebben je die vierhoekjes met die stok eruit 
B: 	ja 
B: 	met die steeds groot worden vierkant toch 
A: 	ja en dan en dan voor de controle ook nog zo'n soort van handva beetje vooraan en dan ook nog één 
B: 	wat je 
A: 	maar dat dat tui aan de onderkant dan weten je wel welk ik bedoelen 
B: 	ja 
B: 	dat zijn M bij mij 
A: 	en hij staan even denken hoe ik dat 
A: 	iets zeggen maar als je de middellijn hebben van van links en rechts dan staan die iets daaronder 
A: 	en de drie rij van links ongeveer 
B: 	nee dan staan die niet op dezelfde plek 
A: 	waar staan die bij jou dan 
B: 	Linksboven ergens 
A: 	oké 
B: 	in ieder geval boven 
A: 	boven die nou ja oké dan dan zijn dat duidelijk 
B: 	ja 
B: 	dit zijn die met zo'n met dat staart van jou 
B: 	hoe hoe noemen je dat 
B: 	dat met dat vierkant op het beker met daar die twee schroef uit 
A: 	ja en het schoorsteen 
B: 	ja 
A: 	ja dat zijn nummer 
B: 	nee wachten het schoorsteen 
A: 	ja paddenstoel 
A: 	die vierkant die steeds groot worden 
A: 	twee daarvan aan de linkerkant en die vierkant die er 
B: 	nee nee wachten dat zijn een ander 
B: 	hij lijken er wel heel veel op of ja 
A: 	oké 
B: 	maar dit zijn die met aan de onderkant hebben die zo'n uitsteeksel 
B: 	zo'n zo'n 
A: 	dat tui en dan zitten er dat dat dat ruitje zitten aan de bovenkant met die vierkan 
B: 	ja dat woord zoeken ik 
B: 	ja 
B: 	ja ja ja 
A: 	en dan aan de rechterkant oké dat zijn nummer negen 
B: 	en hij staan helemaal onderaan en dan één plek van het midden af naar links zullen ik zeggen 
A: 	ja iets veel maar ik denken dat hetzelfde zijn dus dat zijn geel 
B: 	twee plek misschien 
A: 	bij mij zijn het het kop met het tui aan de onderkant en 
A: 	aan de bovenkant die vierkant die steeds groot worden die in de ruit zitten 
B: 	ja 
B: 	ja 
B: 	dat zijn H 
A: 	en hij oeh pardon hij staan zo ja ze hebben het druk maken met al die tekent bij mij daar 
A: 	even kijken als je kijken vanaf de middellijn dan staan die er zeggen maar een heel figuurt boven en als je kijken van de 
A: 	van wacht even dat zijn niet heel handig hoe ik je dat uitlegen 
B: 	ja 
A: 	even hij staan zeggen maar ongeveer Linksboven maar wel halverwege het midden en helemaal linksboven daar staan die ongeveer 
A: 	als je die lijn doortreken 
B: 	zeggen maar als je die die drie weer hebben 
B: 	dan staan die bij mij boven die middel 
A: 	ja 
A: 	juist 
B: 	ja 
B: 	oké dan staan ze op dezelfde plek 
B: 	dit zijn die met dat staart eronder 
B: 	dus aan de onderkant van het top het kop 
A: 	dat 
A: 	dat tui met die vierhoek en die aan de bovenkant 
B: 	ja dat woord vergeten ik steeds 
B: 	ja 
A: 	nummer elf 
B: 	en hij staan Linksboven maar er zijn nog wel 
A: 	twee die aan de 
B: 	veel naar links staan maar die staan laag 
A: 	ja dan staan die op dezelfde plek 
A: 	het kop met het tui aan de onderkant en het het ruitje met de vierkant 
B: 	ja 
B: 	vierkant 
B: 	dat zijn D 
A: 	en op de rij van vijf aan de onderkant zijn die de éénnalinks bij mij 
B: 	nee bij mij staan die helemaal links onderaan 
A: 	oké 
B: 	dat zijn niet hetzelfde 
B: 	dit zijn die met het tui beneden 
B: 	en die vier dat die ruit waar die vierkant uit komen 
A: 	ja 
A: 	nummer veertien 
B: 	en hij staan links in het midden 
A: 	link in het midden 
B: 	ja 
A: 	niet in die rij van vier die we net onderaan 
B: 	nee 
A: 	dan zijn het niet 
