B: 	dit 
B: 	ja dit dit hebben ik beschrijven volgens mij als een soort persoon met een dik neus voor en die alsof die een soort dartpijl achter in zijn hoofd hebben krijgen 
A: 	met die dansen been 
B: 	nee 
B: 	hij hebben geen been volgens mij 
A: 	oké 
B: 	of dan zitten zijn been op een gek plek maar 
B: 	tenminste hij hebben één oor en dat zijn een gevouwen oor 
A: 	een dartpijl 
A: 	ja 
B: 	en dan dan boven op zijn hoofd zijn er een soort lineaal en een soort ja of pijl of één of een soort vervormen 
B: 	ding dat erin opsteken 
B: 	en voor hebben die dus een groot ronde neus 
A: 	groot rond neus 
A: 	en dan achterin een zo'n beetje zo'n ja zo'n met zo van een ruitvorm zeggen maar 
A: 	en dan nog een klein stuk eronder en dan hebben hij ook nog een soort van rechthoekig ding ernaast 
B: 	ja 
B: 	ja ja die 
A: 	oké 
A: 	ja dat zijn veertien 
B: 	en hij staan ja 
B: 	ja niet in het midden sowieso iets rechts van dat midden 
B: 	ja 
B: 	ja rechts van het midden en dan ook op de twee rij van onderen soort van 
A: 	ja ik denken dat die hetzelfde staan 
A: 	er staan er dan één zeggen maar een soort van echt in het midden en dan staan hij daar net rechts naast 
B: 	ja ja kloppen 
A: 	die oké dat zijn dezelfde plek 
A: 	dit zijn die met de rond neus en de dartpijl achter op zijn hoofd 
B: 	waar staan die 
B: 	ja 
B: 	dat zijn N 
A: 	en dat zijn bij mij helemaal de veel links 
B: 	nee bij mij ander 
B: 	met de dartpijl in het hoofd 
A: 	dat zijn negen 
B: 	en van de linkerkant de drie boven elkaar de middel 
A: 	dat zijn niet gelijk 
A: 	dit zijn de rond neus en dartpijl in zijn achterhoofd 
B: 	ja dat zijn G 
A: 	die staan niet helemaal midden van het midden maar daar dan net onder en heel iets link 
B: 	ja 
B: 	dat staan dan staan er alleen zeggen maar rechts 
A: 	net rechtsonder staan er nog één 
B: 	ja ja ja 
A: 	en aan de linkerkant nog twee 
B: 	ja dat zijn hetzelfde 
B: 	dartpijl 
A: 	vijf 
B: 	dit zijn dit zijn de twee rij van boven 
B: 	en dan de middel van die drie 
A: 	oké dat zijn niet gelijk 
A: 	dat zijn die met de dartpijl 
B: 	ja dat zijn J 
A: 	en die staan rechts 
A: 	en boven en je hebben dus rechtsboven hebben je er eigenlijk een soort van drie in een driehoek zeggen maar 
A: 	en daarvan dan de linker 
B: 	nee dat zijn ongelijk 
