A: 	oké dit zijn dat bakkie en dan hebben je een soort aan de zijkant zitten er een soort buis maar daar zitten een soort hapje uit het zijn van het lijken een beetje op een soort Pacman maar dan een buisje en daarin zitten een soort groot spijker 
B: 	ja duidelijk 
A: 	en aan de ander kant zitten zo'n uitvormplateau wat rond zijn 
B: 	ja 
B: 	het zijn letter L 
A: 	hij staan zeggen maar in de linkeronderhelft 
A: 	en dan daarvan het midden maar wel onderaan 
B: 	ja 
B: 	redelijk dicht tegen het midden aan qua onder en boven 
A: 	nee bij mij staan die wel vrij onderaan de rand 
B: 	mij raken die de rand echt bij zo'n stuk nog niet 
A: 	dan staan die wel een stuk hoog dan die van mij denken ik 
B: 	oké 
B: 	hij hebben een Pacmannetje en dan een spijker erin 
A: 	ja 
A: 	met dat tafel 
B: 	ja met dat tafel 
A: 	nummer zeven 
B: 	hij staan links van het midden maar wel bijna bovenaan 
B: 	of helemaal bovenaan 
B: 	er staan niks veel boven 
B: 	staan bijna tegen de rand aan 
A: 	nee bij mij zitten die nog wel echt van de rand af 
A: 	er staan ver niks veel boven maar 
B: 	oké 
A: 	rood 
A: 	oké dit zijn dus zeggen maar dat komme waar die Pacman met die spijker erin uitsteken en het bijzettafel 
B: 	ja 
B: 	letter C 
A: 	en hij zitten als je het midden van het scherm hebben en dan de bovenste helft 
B: 	ja 
A: 	ongeveer in het midden 
A: 	heel heel iets ver naar rechts daarvan 
B: 	nee 
B: 	bij mij staan die net van net een klein beetje rechts van de rand 
A: 	de zijrand 
B: 	de die rand 
A: 	ja dan hebben we wel echt ander plek 
B: 	oké 
B: 	het zijn de Pacman met de spijker en het platformp 
A: 	yes 
A: 	nummer één 
B: 	hij staan qua onder en boven pittig midden van het midden 
B: 	en hij staan links van het midden 
B: 	en dan ik zullen zeggen een klein beetje link van het midden van de linkerkant 
B: 	en hij staat dus qua boven en onder ongeveer in het midden van het midden 
A: 	oké 
A: 	ja 
B: 	zullen ik zeggen misschien een heel klein beetje naar onder maar 
A: 	ja 
A: 	ja 
A: 	en dan zitten die nog wel zeggen maar een stukkie van de rand af 
B: 	stukkie 
A: 	ja 
A: 	dan denken ik wel dat het dezelfde plek zijn 
A: 	even kijken komme met Pacman met de spijker en het bijzettafel 
B: 	ja letter A 
A: 	en die staan als je zeggen maar de horizontaal middellijn van het scherm hebben en dan daar ongeveer op maar dan in de linkerhelft van het scherm 
B: 	hij staan bij mij in het midden van het midden van het midden qua hoog en laag 
B: 	dus echt in het midden echt zeggen maar 
A: 	echt centraal scherm 
B: 	ja gewoon in 
A: 	oké nee ik hebben hem echt linkerhelft wel staan 
B: 	nee maar qua qua hoog en laag 
A: 	ja ook ja oké dus gewoon de linkerhelft en dan 
B: 	maar hij staan niet ik denken niet dat die op de lijn staan ik denken dat die echt in het midden van het midden staan 
B: 	hij staan niet hij staan niet hoog dan de middellijn qua hoog en laag 
A: 	zo bedoelen je ja nee dat denken ik dan ook 
B: 	hij hij staan hier zeggen maar 
A: 	ja 
A: 	maar wel de linkerhelft van het scherm 
B: 	ja wel de linkerhelft van het scherm ik zullen zeggen hoe heten het ? dertig procent ongeveer 
A: 	ja zoiets 
B: 	yes 
A: 	denken dat het wel hetzelfde zijn 
B: 	zijn het ja 
B: 	het zijn het Pacman met een spijker 
A: 	nummer dertien 
B: 	hij staan in het midden van linksonder 
A: 	ik hebben hem zeggen maar echt exact op de middellijn van het scherm 
A: 	maar wel links 
B: 	nee 
B: 	nee bij mij staan die als boven honderd zijn en onder nul op vijfentwintig procent 
A: 	nee nee ik hebben hem echt in het midden 
A: 	rood 
