B: 	okan ja deze hebben aan de bovenkant een balk aan de linkerkant een beetje soort van 
B: 	ja tui of zo en aan de rechterkant ja zitten er ook een vlak en daar zitten dan nog weer een 
B: 	balk op hij zijn zeggen maar alles zitten wel heel dicht tegen het object aan 
A: 	ok hoe hoe zien die balk aan de bovenkant er uit ? zitten er één op de bovenkant 
B: 	ja liggen ja die zijn zeggen maar net iets klein dan dat rond ding zelf 
A: 	ok en zijn het ding wat aan de voorkant zijn het steken er wel aan allebei de kant een klein beetje iets uit 
B: 	ja 
A: 	en hij zijn wel echt heel compact toch 
B: 	ja 
A: 	ok dat zijn acht 
B: 	ja die zitten ik denken heel iets link van het midden en net iets veel naar boven denken ik maar wel redelijk in het midden 
A: 	ja ik dat zijn dezelfde denken ik 
A: 	o ja ik haaten dit ding er zitten een balk bovenop het kop en er zitten zo'n V aan de voorkant 
A: 	aan de zijkant hebben hij een soort vin of zo die ook een beetje rond lopen 
B: 	een balk bovenop 
A: 	ja 
B: 	zijn hij zeggen maar die heel compact of niet ok 
A: 	ja ja ja 
B: 	zeggen maar die balk erop en aan de linkerkant hebben hij zoiets en aan de rechterkant en er zitten nog een staaf op 
A: 	ja 
B: 	okan dan zijn het E 
A: 	hij zitten net iets rechts van het midden en net iets onder het midden dus eigenlijk beetje link in de hoek van het midden 
B: 	nee deze zitten boven het midden 
A: 	ok 
B: 	okan ja dit zijn die compact met dat blok bovenop 
A: 	ja dat zijn één 
B: 	o ja hij zitten helemaal boven tegen de rand aan eigenlijk gewoon in het midden 
A: 	okan ja dat zijn dezelfde 
A: 	dit zijn de heel compact 
B: 	ja 
B: 	dat zijn E 
A: 	hij zitten zeggen maar horizontaal zien iets onder het midden ja dan zitten hij ongeveer 
A: 	anderhalf twee plaat van de zijkant af kunnen nog anderhalf plaat onder zeggen maar 
B: 	ok dat zijn wel dezelfde 
B: 	ok dit zijn die compact 
A: 	ja dat zijn zestien 
B: 	hij zitten wel helemaal tegen de onderkant aan maar rechts past nog wel twee plaat 
A: 	ja 
A: 	dit zijn die heel compact 
A: 	bij mij staan hij linksonder 
B: 	ja 
A: 	kunnen onder zeker geen plaat veel want daar staan hij wel echt wel redelijk tegen de rand maar link van ook niet veel past ook geen plaat 
B: 	nee maar er zijn nog wel iets ruimte ok 
A: 	ja 
