B: 	ja ik vinden dit echt op een wijnglas lijken vaststaan ook op zo'n statief 
B: 	met die driehoek 
A: 	met die driehoek 
B: 	die zo'n beetje draaien zijn 
A: 	en dan drie dinget 
B: 	ja 
A: 	twee vierkant en een 
A: 	oké dat zijn nummer vier 
B: 	en hij staan bij mij rechtsboven in de hoek 
A: 	helemaal rechtsboven 
B: 	ja niet als in helemaal tegen de rand van het scherm aan maar er staan niks rechts van het ding en ook nieks boven dat ding 
A: 	ja bij mij staan er wel staan er wel ding rechts en boven het ding 
A: 	staan die hij staan niet helemaal rechtsboven maar zeggen maar een beetje in het midden van de rechterkant en in het midden van van boven 
B: 	nee hij staan wel echt rechtsboven zo zullen ik zo zullen ik het wel noemen 
A: 	echt rechtsboven dan 
A: 	ja dan denken ik niet dat die op dezelfde plek staan dus dan druk ik op rood 
A: 	dit zijn jou wijnglas die met die driehoek en dat en die twee vierkant en 
B: 	ja 
B: 	ja 
B: 	dat zijn A 
A: 	en hij staan zeggen maar ja hoe leg je dat uit ? je hebben de middellijn en dan zitten die zeggen maar ongeveer in het midden van link 
A: 	en dan iets onder de ja echt een beetje half op die middellijn en dan een beetje 
B: 	hij zitten niet helemaal links toch 
A: 	nee maar een beetje halverwege de linkerkant en ja niet helemaal onderaan niet helemaal links 
B: 	ja dan 
B: 	hij staan bij mij helemaal links dus ik denken niet dat het dezelfde plek zijn 
A: 	zullen die 
A: 	oké dan zijn het niet hetzelfde 
B: 	dit zijn het wijnglas weer 
B: 	met dat driehoek statiefje 
A: 	waar staan die 
A: 	we we zijn er zo snel weer ah ja daar 
A: 	nummer tien 
B: 	en hij staan helemaal onderaan en dan twee naar rechts denken ik 
A: 	in het midden van helemaal onderaan 
B: 	ja en dan 
A: 	wel links 
B: 	link maar dan twee of zo naar rechts 
A: 	zeggen maar in het midden van de heel linkerbalk 
B: 	van de kant af 
B: 	in het midden van het midden zullen ik zeggen ja 
A: 	ja 
B: 	ja 
A: 	dan staan die op dezelfde plek 
A: 	ja ik moeten zeggen 
B: 	ja 
A: 	het wijnglas 
B: 	oké 
B: 	dat zijn L 
A: 	en rechtsboven 
B: 	dat kloppen 
B: 	het wijnglas 
A: 	ja vier 
B: 	en hij staan iets link onder de middellijn maar wel echt in het midden zullen ik zeggen 
A: 	ja er staan dan één ding net boven en één ding net rechts daarvan 
B: 	ja 
A: 	ja dan staan die op dezelfde plek 
A: 	het wijnglas 
B: 	dat zijn F 
A: 	en hij staat bijna precies in het midden zeggen maar de deur die we net hebben daar staan die dan rechts van en ietsje daarboven van 
A: 	dus je hebben een middelpunt 
B: 	als je die rij van vier hebben 
A: 	ja 
B: 	dan hebben je die deur die daarboven staan 
A: 	ja 
B: 	en daar staan die bij mij recht boven 
A: 	boven de deur 
B: 	beetje link zelfs ja 
A: 	boven de deur 
B: 	ja 
A: 	dan staan die niet op dezelfde plek 
B: 	nee 
B: 	oké 
