A: 	deze hebben een soort van omgekeerde pion uitsteken aan de linkerkant 
A: 	en aan de rechterkant een soort van rond tafeltje 
B: 	ja 
B: 	een soort dienblad of zo 
A: 	ja 
B: 	ja 
B: 	dat zijn L bij mij 
A: 	denken het 
A: 	die staan bij mij helemaal op de onderste rij en dan de veel links daarvan dus 
B: 	nee die zijn bij mij ander 
B: 	dit zijn die omgekeeren pion in zijn 
A: 	het misgaan wel makkelijk nu 
B: 	ja 
A: 	ja oké dat zijn zeven 
B: 	en hij staat niet op de helemaal bovenste rij maar net één daaronder en dan links van het midden 
A: 	ja oké dan gaan ik het toch even nog herhalen want ik weten niet zeker of hetzelfde zijn 
A: 	ik spreken eerder over die drie die boven elkaar zitten 
A: 	zeggen maar 
A: 	aan de linkerkant je hebben er één helemaal links dan zitten er daarnaast drie een soort van boven elkaar 
B: 	ja 
A: 	bij mij zijn het daarvan de boven 
B: 	nee dan zijn het bij mij nog één gaan nog een beetje zo 
A: 	ja rechts daarboven van oké dat zijn niet gelijk 
B: 	ja 
A: 	dit zijn die met de omgekeerde pion 
B: 	ja dat zijn C bij mij 
A: 	en die staan ja bovenste helft van het scherm en dan net iets rechts van het midden 
B: 	oké nee dat zijn 
A: 	er staan eigenlijk niks boven of onder 
B: 	ja nee bij mij zitten die de onderste helft van het scherm 
A: 	zeggen 
A: 	oké 
B: 	dit zijn de omgekeerde pion 
A: 	ja 
A: 	dat zijn één 
B: 	en die staan die rij hebben je twee boven elkaar 
B: 	en dan de boven 
A: 	ja 
A: 	dat zijn gelijk 
A: 	dit zijn die met de omgekeerde pion 
A: 	en 
B: 	dat zijn A 
A: 	dan staan die niet helemaal links maar net daarnaast en dan in het midden van het scherm dus de bovenste van die twee 
B: 	ja 
B: 	dit zijn de pion 
A: 	dat zijn dertien 
B: 	die staan rechts schuin boven waar we net hebben 
A: 	dus niet helemaal de veel linker zeggen maar 
B: 	nee 
A: 	oké dan zijn het dus niet gelijk 
