B: 	ok dit hebben een vierkant vlak aan de voorkant en er zitten een soort van spijker achtig dinge op 
B: 	en aan de linkerkant zitten twee van die ja blok die steeds klein worden 
A: 	ja ok dat zijn twee 
B: 	helemaal aan de onderkant links en er past nog één blok ongeveer naast 
A: 	en er kunnen onder niks veel 
B: 	nee 
A: 	ok dat zijn niet dezelfde 
A: 	deze hebben het vierkant aan de voorkant hebben een spijker aan de bovenkant en twee met die vierkantjes die uitlopen 
B: 	ja dat zijn G 
A: 	hij zitten net iets link van het midden eigenlijk ook net iets onder het midden er zullen eigenlijk één anderhalf plaat onder kunnen 
B: 	dat zijn wel dezelfde 
B: 	okan ja dit zijn ook weer met een soort van spijker aan de bovenkant niet dezelfde en dan met die vierkantjes die steeds klein worden en een vierkant vlak ervoor 
A: 	ok dat zijn negen 
B: 	ja er zitten nog één plaat onder en hij zitten denken ik heel iets link van het midden 
A: 	dat zijn dezelfde 
A: 	deze hebben dat die spijker aan de bovenkant vierkant aan de voorkant en ja die twee vierkant die klein worden 
B: 	twee van die vierkant aan de zijkant die klein worden 
A: 	ja en die dat groot vierkant aan de voorkant 
B: 	ja dat zijn D 
A: 	ja hij zitten wel in het midden ik denken net iets boven het midden 
B: 	ja dat zijn ook dezelfde 
B: 	ja dit zijn met die spijker en dat vierkant vlak voor en die twee ding die zo klein worden 
A: 	ja ja zijn één 
B: 	hij zitten iets rechts van het midden maar ik denken wel redelijk in het midden 
A: 	nee 
A: 	zijn met de spijker met een vierkant aan de voorkant en dan die vierkant die klein worden 
B: 	ja dat zijn B 
A: 	staan rechts van het midden kunnen geen plaat veel onder 
B: 	passen er nog drie plaat naast ongeveer ? ok dat zijn wel dezelfde 
A: 	ja 
