B: 	oké deze hebben een een schijf door het midden van het kop 
A: 	oké ja 
B: 	even kijken dat zijn er twee 
A: 	ja het zijn er twee 
B: 	hij hebben een de onderste de onder 
A: 	de onder 
A: 	en dan met die lang die cilinder die zo eruit steken 
B: 	ja 
B: 	ja een beetje schuin cilinder 
A: 	ja en dan twee van die ding erop en dan 
B: 	twee punt Erboven 
A: 	ja 
B: 	ja 
A: 	oké dan zijn dat nummer zes 
B: 	oké 
B: 	bij mij staan die bovenaan en een beetje rechts dus de bovenste echt de de bovenste van allemaal 
A: 	ja 
B: 	en dan een beetje rechts 
A: 	ja dat hebben ik ook 
B: 	oké 
A: 	maar er zijn nog wel op zich het zijn niet meteen helemaal bovenaan het scherm er zijn nog wel een stuk klein stuk ruimte over 
B: 	ja ja ja maar er zijn geen enkel die ander die geen ander die hoog zijn 
A: 	ja oké 
A: 	nee nee precies 
A: 	oké 
A: 	dit zijn die een met dat dat die schijf recht doorheen aan de onderkant 
A: 	met die raar slurf aan de voorkant 
B: 	ja oké ja 
A: 	met die twee dinget ook zo op dat 
B: 	ja C 
A: 	en die staan bij mij rechts 
A: 	en dan best wel in het midden 
A: 	en dan er kunnen niks veel boven hij zijn niet helemaal tegen de rand aan maar er kunnen niks veel boven 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij ook 
B: 	dit zijn die een met die raar cilinderneus met een vlak door het kop 
B: 	met twee punt bovenaan 
A: 	ja met die slurf 
B: 	ja 
A: 	ja 
B: 	slurf oké 
A: 	dat zijn dertien 
B: 	staan helemaal linksboven 
A: 	nee bij mij staan die links wel maar heel best wel dicht bij het midden nog 
B: 	oké dan zijn anders 
A: 	dit zijn dat kop met dat ding er gewoon recht doorheen die bal die plaat en dan die raar slurf eraan 
B: 	ja 
B: 	ja J 
A: 	en dan staan die van het midden een klein beetje naar rechts toe 
A: 	en dan helemaal onderaan er passen net als met die vorig er passen zo weinig ongeveer onder hebben ik 
B: 	ja 
B: 	ja bij mij ook 
B: 	mooi 
B: 	met de slurf 
B: 	en het vlak erdoorheen 
A: 	ja 
A: 	nummer negen 
B: 	en dan staan die helemaal naar rechts er zullen er een half tussen passen rechts 
B: 	en een beetje naar boven 
A: 	bij mij staan die net een klein beetje naar beneden toe 
B: 	nee 
A: 	met die slurf met dat ding erdoorheen 
B: 	ja 
B: 	dat zijn N 
A: 	hij zijn net iets rechts van het midden 
A: 	en boven past er niks veel 
B: 	ja bij mij ook 
