A: 	oké 
A: 	Bekervormpje 
A: 	er zitten een bal op de bovenkant 
B: 	oké 
A: 	je zien 
B: 	dan zijn het D 
B: 	de staaf ervoor 
A: 	ja kloppen 
B: 	d 
A: 	oké hij zitten linkerkant beneden in het midden 
B: 	ja 
B: 	dan hebben we denken ik ook weer dezelfde 
A: 	want er zitten ook een echt zo 
B: 	het zijn echt een bol hij liggen erop 
A: 	ja 
B: 	midden 
A: 	er zitten ook twee dinge naast het zijn een symmetrisch twee 
B: 	aan de linkerkant en dan richting midden 
B: 	ja 
B: 	dan zijn die ook hetzelfde 
B: 	oké 
B: 	het er zitten een bal op 
B: 	dat zijn er eigenlijk maar één 
A: 	er zitten een bal op en er zitten een balk voor 
B: 	ja 
A: 	oké ja 
A: 	dat zijn vijftien 
B: 	en hij zitten helemaal rechts onderin 
A: 	helemaal in de hoek of 
B: 	helemaal in de hoek 
B: 	past aan de onderkant en de kant ernaast niks veel bij 
A: 	oké nee dat kloppen niet 
A: 	er zitten een bal op 
A: 	en een balk ervoor 
B: 	dat zijn L 
A: 	ja 
A: 	hij zitten aan hij zitten aan de linkerkant 
A: 	en hij zullen nog één keer omhoog kunnen misschien anderhalf net 
B: 	nou dat kunnen die bij mij niet 
A: 	half keer 
B: 	waar de bal op liggen 
A: 	waar de bal op liggen 
A: 	ja 
A: 	en zo'n balk ervoor 
B: 	ja 
A: 	oké 
A: 	dat zijn zes 
B: 	hij zitten precies op de middellijn van het scherm 
B: 	qua hoogte 
B: 	aan de rechterkant 
B: 	en daar weer het midden van 
B: 	dus het midden van de rechterkant 
B: 	precies in het midden van het scherm 
A: 	oké dus hij kunnen hij hebben genoeg ruimte voor naar boven en genoeg ruimte naar rechts 
B: 	ja 
A: 	ik geloven het wel 
A: 	er zitten een bal op met een staaf dun balk balk ervoor 
B: 	dat zijn J 
A: 	ja 
A: 	en hij zitten rechtsmidid 
A: 	bij de rood 
B: 	en die mogen niet mee 
B: 	ja gewoon precies midden van rechts 
A: 	ja midden midden precies 
B: 	ja 
B: 	dat zijn goed 
B: 	dit zijn die waar de bal op liggen 
A: 	ja oké er zijn maar één bal 
A: 	dat zijn drie de balk toch ervoor 
B: 	ja 
A: 	oké 
A: 	dubbel checken 
B: 	rechterkant 
A: 	rechterkant 
B: 	dicht tegen de schermrand aan 
A: 	niet kunnen niet nog niet één keer niet één keer 
B: 	nee 
B: 	nee ook niet een half keer 
A: 	ja dat kloppen 
