A: 	ja het zijn allemaal bekert maar het zijn een beker met een een handvat en hij hebben een soort van lepeltje hebben die vast in de hand 
A: 	en er steken ook een zo iets erbovenuit 
B: 	iets erbovenuit 
A: 	zeggen maar hij staan zeggen maar zo en dan een stengel en dan het lijken een beetje op een lepeltje het zijn niet helemaal een lepeltje het kunnen ook een soort van een een teken van een voet zijn 
B: 	teken van een voet 
A: 	en hij hebben zeggen maar één één zo'n streep Erboven zeggen maar zo'n kuis 
B: 	ja 
B: 	één zo'n streep Erboven dat zijn eigenlijk ook aan de zijkant hetzelfde 
A: 	nee aan de zijkant zijn dat anders 
B: 	hebben die zo hebben het zeggen maar zo'n kuifje Erboven 
A: 	ja één zo'n kuifje Erboven zo'n heel zo'n klein 
B: 	ja 
B: 	en zijn het dan zo ja zo'n eigenlijk dat het net lijken of dat er een neus zijn met een neuspiercing 
A: 	ja kunnen ook ja ja kloppen zitten ik ook aan te kunnen ook ja 
B: 	ja oké 
B: 	ja 
B: 	oké ja 
B: 	dan hebben ik hem 
B: 	F 
A: 	hij staan in één van de ja 
A: 	kaal staat die in het midden en horizontaal staan die voor mij veel naar rechts 
B: 	oké dan denken ik bij mij staan die helemaal rechts dus dan zullen het wel niet dus 
A: 	oké 
A: 	nee echt niet er zitten nog echt best wel veel ruimte tussen 
B: 	ja 
B: 	ja 
B: 	oké dan zijn dat niet goed dat zijn rood toch 
B: 	en dit zijn weer die met dat kuifje en dan met die neus met zo'n ding erdoorheen 
A: 	ja die piercing wat jij zeggen 
B: 	ja 
A: 	vijf 
B: 	en bij mij staan die ja link gewoon midden link zeggen maar en dan een beetje veel naar boven vanaf het midden 
A: 	ongeveer op op twee denken je van boven 
B: 	ja ja 
A: 	dit zijn de neuspiercing 
B: 	de neuspiercing dat zijn A 
A: 	en hij staan de twee van boven de twee van rechts ongeveer 
B: 	nee bij mij staan die echt in het midden 
A: 	nee 
B: 	de neuspiercing 
A: 	ja 
A: 	vijf 
B: 	in het midden qua hoogte en dan veel ja twee ja naar rechts één naar rechts of twee 
A: 	en er zullen misschien nog één dinge tussen kunnen 
B: 	ja 
A: 	maar 
B: 	tenminste naar naar naar het midden toe ja 
A: 	ja precies 
B: 	ja 
A: 	naar maar niet veel naar het beeldscherm toe zullen niks veel 
B: 	naar het beeldscherm toe daar kunnen nog best wel veel ik denken dat het drie of zo zijn 
A: 	nee dan zijn die nee 
A: 	de neuspiercing 
B: 	waar zijn 
B: 	even kijken waar daar 
B: 	H 
A: 	hij staan van het midden iets veel naar rechts maar zijn ook behoorlijk naar beneden er zullen beneden nog wel een half de 
A: 	kunnen maar niet ook veel niet veel denken ik 
B: 	ja 
B: 	de neuspiercing 
A: 	ja 
A: 	vijftien 
B: 	en ja hij staan ja wel naar boven rechtsbof 
B: 	maar er zullen best nog wel iets zeggen maar ook diagonaal nog wel iets bij kunnen staan 
A: 	oké nee 
