A: 	jij hebben het vierkant geloven ik 
B: 	ja 
B: 	ja dan moeten jij 
A: 	nee jij moeten dan gaan mij gaan vertellen welk het 
B: 	ja tuurlijk sorry 
A: 	maken niet uit 
B: 	nou het zijn hij hebben een cilinder aan de linkerkant zitten 
A: 	zeggen het maar 
A: 	cilinder aan de linkerkant 
B: 	ja en dan achter aan de achterkant hebben die het lijken een rond zitten 
B: 	maar je zien maar de helft 
A: 	en een soort sprie eruit 
B: 	ja 
A: 	ja 
A: 	ik hebben die zelf omschrijven als een soort glas met een schijf citroen erop 
A: 	omdat het een beetje zo lijken kunnen ik hem daarmee vergelijken 
B: 	ja 
A: 	ja 
B: 	ja kunnen wel 
A: 	nou dan dan hebben ik hem 
A: 	dan zijn het dertien 
B: 	oké hij staat ongeveer in het midden maar dan wat naar onder 
A: 	als die op dezelfde plek staan maar 
B: 	ja hoe gaan je dit uitleggen ? 
A: 	hoe hebben je hem omschrijven 
B: 	wat zeggen je 
A: 	hoe hebben je hem omschrijven 
A: 	misschien zijn dat nog een hint 
A: 	zeggen maar eerder maar ja misschien als je dat niet veel weten dan zijn het ook niet erg hoor maar 
B: 	ja ik hebben letterlijk opschreven cilinder aan de linkerkant 
A: 	ja 
A: 	maar dat zijn ook één met cilinder aan de linkerkant 
A: 	kunnen je 
B: 	ja linksonder van mij staan een 
B: 	ja zo'n ding met het lijken een beetje twee van die arm één cilindertje rechts cilindertje link die buigen zijn en aan de voorkant zitten een recht 
A: 	een recht paal 
B: 	ja 
A: 	en de 
B: 	die staan linksonder van mijn plaat 
B: 	en rechts van mijn plaat staan een 
A: 	alleen dan ja ik weten niet of het voor mij op dezelfde plek staan dat zijn een beetje een risico natuurlijk 
A: 	want het plaat waar dus het vierkant om staan kunnen je daar nog iets veel over zeggen dan alleen de cilinder van 
B: 	zeggen maar maar het zijn toch hetzelfde plaat die we net hebben beschrijven 
A: 	zijn het en dan moeten we nu de plaats aangeven 
B: 	ja 
B: 	ja ja ja ja 
A: 	want je hebben geen vierkant nu 
B: 	jawel 
B: 	ik hebben nu het vierkant dus ik moeten jou nu uit gaan leggen waar mijn plaat staan en of jou 
A: 	maar die staan op dezelfde of op dezelfde ah sorry 
B: 	ja 
A: 	ik denken dat dat een ander ronde zullen zijn 
B: 	nee nee nee nee 
B: 	dus we moeten nu kijken of jou dertien dan waarschijnlijk op dezelfde plek staan als mijn 
A: 	ja 
A: 	ja 
A: 	ja precies 
A: 	ja dat zijn diegene waar je net omschrijven met die soort arm en dat die paal ervoor 
A: 	die staan voor mij links eronder 
B: 	ja bij mij ook 
A: 	en er rechts naast staat zo'n ding met een soort van een neus 
B: 	ja 
A: 	en en ik omschrijven het als een soort vulp die erin zitten 
B: 	ja 
A: 	ja en dan maar beetje midden onder in het scherm 
B: 	ja ja 
B: 	het zijn zeggen maar net niet in het midden iets daaronder en dan ongeveer ja in het midden 
A: 	wel in het midden in de breedte zeggen maar 
B: 	ja ja 
A: 	ja ik denken dat we dan dezelfde plek hebben 
B: 	oké 
A: 	oké dit zijn wat ik die met het citroenschijfjé noemen zeggen maar dus een soort met zo'n soort cilinder die er nog uit opsteken en een soort ja bijna een soort staaf er nog bovenin 
B: 	ja 
B: 	O 
A: 	en hij staan bij mij net rechterbovenkwadrant want hij staan heel erg in het midden 
A: 	van van het heel scherm zeggen maar 
A: 	dus in het rechterbovenkwadrant staan die heel erg naar linksonder 
B: 	nee bij mij staan die rechteronderkwadrant linksboven 
B: 	dus niet dezelfde plek 
A: 	nee 
B: 	ja 
B: 	sorry 
A: 	maken niet uit 
B: 	dat zijn met het citroenschijfjé 
B: 	en dan links de cilinder en daarbovenop weer zo'n pipetjeachtig achter 
A: 	ja ik hebben hem 
A: 	dat zijn acht 
B: 	en bij mij zitten die naar of ik weten niet of jij dat ook hebben maar van al plaat zijn dat de uitschieter rechts bovenin 
A: 	ja 
B: 	hij zitten dus ook in het rechterbovenkwadrant en dan wat veel naar rechtsboven past rechts nog wel een plaat tussen denken ik maar boven daarboven zitten kunnen geen plaat veel tussen 
A: 	zelfde plek 
B: 	ja 
A: 	dit zijn de citroenschijf zeggen maar 
A: 	met het stok erin 
B: 	even zoeken 
B: 	ja met links de cilinder 
A: 	ja precies 
B: 	C 
A: 	en waar staan die 
B: 	moeten jij zeggen 
A: 	sorry ik zijn even helemaal weer eruit 
A: 	ja 
A: 	rechterbovenkwadrant 
B: 	ja 
A: 	en dan in best wel in het midden daarvan 
A: 	even kijken ja van het of als je dan vanuit het midden dan zijn het net iets veel link iets veel boven maar best wel heel erg in het midden van het kwadrant lijken me 
B: 	ja dan hebben we als het goed zijn die ander want hiervoor zijn het omgedraaien dat plateau zijn voor mij omgekeerd we hebben in ieder geval ander plek die van mij staan veel naar links 
A: 	oké 
B: 	en die van jou ongeveer in het midden 
A: 	ja want als je van die drie boven nu boven in het rechterbovenkwadrant dan zijn het de middel zeggen maar 
B: 	ja bij mij zijn het nu links 
A: 	ja 
B: 	toestraks zijn het omgekeerd 
A: 	ja precies 
B: 	dit zijn de citroen citroenschijfje 
A: 	ja precies dat zijn zeven 
B: 	staan bij mij linkeronderkwadrant 
B: 	ongeveer in het midden maar dan wat naar rechts 
A: 	nee ander plek 
B: 	oké 
A: 	dit zijn de Citroenschijf en het staaf wat er nog in zitten 
B: 	ja dat zijn C 
A: 	en die staan bij mij helemaal bovenaan 
A: 	en dan van het rechtersdeel van het scherm zijn het zeggen maar een beetje midden rechts 
B: 	ja past er nog een plaat boven 
A: 	nee 
B: 	nee hebben we niet dezelfde 
