A: 	okan ja deze doen mij een beetje denken aan iemand met een neuspiercing dus je hebben zeggen maar aan de voorkant hebben hij zo'n cirkel en daar zitten een soort balk doorheen 
B: 	o 
B: 	ik denken dat ik weten welk je bedoelen dat zijn bij mij F 
A: 	ok bij mij één 
B: 	dan moeten ik op de geel drukken 
A: 	ja 
B: 	yes 
A: 	ok bij mij staan hij een beetje aan de rechterkant van het scherm 
A: 	en ook een beetje in het midden en er staan alleen rechts staan er één naast en boven staan er ook één 
B: 	o bij mij staan er alleen link één naast dus dan zijn hij denken ik niet dezelfde dus dan de rood 
A: 	ok 
A: 	nee 
B: 	dit zijn de een met de neuspiercing 
A: 	o ja bij mij zijn dat vijf 
B: 	ok bij mij D 
A: 	o ik moeten klikken toch 
B: 	o of o 
A: 	jij hebben het vierkant toch 
B: 	ja 
A: 	dan moeten ik klikken 
B: 	oepsie o wat dom 
A: 	maken niet uit 
B: 	ok hij staan denken ik weer een beetje op één vier en 
B: 	rechts een beetje zo rechts schuin zitten zitten iets en een beetje link zo er 
A: 	boven of onder 
B: 	er boven ja en een 
A: 	o nee bij mij zitten er niks boven 
B: 	ok nee dan staan hij denken ik niet op dezelfde plek 
A: 	nee dat denken ik ook niet 
A: 	dit zijn die neuspiercing 
B: 	even kijken o daar A 
B: 	ik weten niet welk ok ja 
A: 	ja vier 
A: 	ja 
A: 	ja sorry 
B: 	maken niet uit 
B: 	ja deze zitten een beetje zo op het midden en 
A: 	ja 
A: 	nu gaan jij hem ook weer omschijven ja nu zijn we in de war 
B: 	o ja Hoezo o wat stom gaan maar omschrijven 
B: 	ja 
A: 	maar zeggen maar hij zitten niet per se rechts onderin de hoek maar als je het vergelijken met al ander zijn hij wel de veel rechts onderin de hoek 
B: 	o nee dan zijn het echt een ander plek ja 
A: 	okan ja 
B: 	o dit zijn de neuspiercing 
A: 	o even zoeken waar hij zijn ja zijn vijf bij mij 
B: 	ok 
B: 	o jij moeten klikken 
B: 	en hij zitten zeggen maar 
B: 	ja iets een beetje van één vier van rechts in het midden en dan net boven zeggen maar de helft zo 
B: 	en er zitten zeggen maar linksonder zitten er niet echt wat maar daarboven daar omheen zeggen maar wel 
A: 	beetje schuin link onder zitten bij mij wel wat 
B: 	ja 
B: 	ja 
B: 	o dan ja nee bij mij zitten dat echt gewoon helemaal onderin pas weer 
A: 	bij jou niet 
A: 	dan kunnen hij natuurlijk nog wel steeds op dezelfde plek staan 
B: 	dat zijn waar 
B: 	ik denken dat er vanaf rechts zeggen maar nog twee poppet tussen kunnen 
A: 	o nee dan denken ik niet dat hij bij mij zullen er denken maar één passen 
B: 	o maar ook zeggen maar ondanks die ander poppet 
A: 	staan er nog poppet rechts van 
B: 	ja 
A: 	o nee bij mij niet 
B: 	o o ok 
A: 	ok nee dan zullen hij wel niet op dezelfde plek staan 
B: 	nee 
A: 	dit zijn de neuspiercing 
B: 	even kijken waar die o daar H 
A: 	bij mij zes o 
B: 	ja je drukken automatisch 
A: 	ja 
A: 	hij staan wel in het midden van zeggen maar verticaal maar van Horizontaal staan hij redelijk naar onder toe 
B: 	o ok op zeggen maar een beetje één vier van onder 
A: 	ja ongeveer 
B: 	ok 
A: 	er past er zeggen maar nog één onder 
B: 	maar best wel ruim of krap 
B: 	tenminste in hebben er rechts ernaast heel dichtbij hebben ik dat twitterpoppe en die zullen zeggen maar misschien precies passen maar 
A: 	ja 
A: 	ja ja het zullen precies passen maar zijn wel een beetje krap zeggen maar 
B: 	ja ja ok 
A: 	oken ik denken wel dat hij op dezelfde plek staan want dat hebben ik ook 
B: 	ja denken het ook 
B: 	dit zijn de neuspiercing 
A: 	ja zijn vijftien bij mij 
B: 	ok bij mij I 
B: 	en hij zitten zeggen maar ja denken ik weer op een kwart vanaf rechts en Erboven zullen nog wel één passen ah 
A: 	o nee bij mij zullen er echt nog drie passen boven 
B: 	o nee dan zijn hij niet hetzelfde 
