A: 	oké ik hebben nu één bovenop zitten een driehoek waarvan het top eraf zijn snijden 
A: 	en rechts zitten twee staven zeggen maar twee rechthoeak 
B: 	ja 
A: 	en link zitten een staaf met twee puntig uiteindes en nog een soort van uitstekend buis 
B: 	ja 
B: 	dat zijn bij mij I 
B: 	en hij staan een beetje beetje linksboven maar van het midden zeggen maar 
A: 	ja 
A: 	ja 
A: 	maar wel best wel veel boven maar nog best wel wat naar het midden 
B: 	ja 
A: 	en er past er nog makkelijk één boven wel 
B: 	ja 
B: 	er passen er makkelijk één boven en als je een streep door het midden zullen doen dan past er niet nog één link van het midden 
A: 	denken ik 
A: 	nee nee 
A: 	en ik hebben dan best wel veel ruimte eromheen maar rechtsonder in de hoek zitten dan dichtstbijzijnde figuurtje 
B: 	ja 
A: 	ja 
A: 	oké dat zijn wel dezelfde denken ik 
B: 	oké 
B: 	deze hebben twee rechthoek aan de rechterkant en bovenop een afgehaken piramide 
B: 	en links een staaf met twee punt en linksonder nog een soort buis die uitsteken 
A: 	ja ik hebben hem denken ik 
A: 	ja dus zeggen maar links zijn die staaf met die twee punt 
B: 	ja 
A: 	en bovenop de afgekapte piramide 
B: 	ja 
A: 	en rechts de twee ding 
A: 	ja 
B: 	ja 
A: 	oké die zijn dan nummer twee 
A: 	en die staan een beetje zeggen maar het linksonderste kwadrant 
A: 	daar staan die in het midden van 
B: 	ja 
B: 	ja bij mij ook 
A: 	dus er toepassen er één heel groot of twee klein onder en links ervan 
B: 	ja 
A: 	ja oké 
A: 	dit zijn die een met die afgehaken piramide bovenop en rechts die twee rechthoeak en link die 
A: 	rechthoek met die twee puntig uiteind en nog zo'n buisje zeggen maar daaruit 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij M 
B: 	en hij staan linksonder 
B: 	er past er wel nog één link van maar onder niet 
A: 	ja 
B: 	net niet 
A: 	ja 
A: 	dat zijn wel hetzelfde denken ik 
B: 	oké 
B: 	dit zijn met die afgekapte piramide aan de bovenkant 
B: 	rechts twee rechthoeak en links het streep met pijlt 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	en er staan er één dicht links naast op maar niks veel boven 
A: 	en beetje op bijna op een kwart ongeveer 
B: 	ja 
B: 	ja 
A: 	dit zijn die een met die afgekapte piramide en rechts twee van die rechthoeak en link dat staaf met die punt 
B: 	ja 
B: 	dat zijn bij mij F 
B: 	en hij staan tussen twee in onderaan 
A: 	ja 
B: 	beetje rechts 
A: 	ja 
A: 	ja 
B: 	dit zijn met die afgekapte driehoek en die twee rechthoeak aan de rechterkant 
A: 	ja 
A: 	dat zijn nummer zes 
A: 	en die staan van boven naar beneden in het midden en van links naar rechts staan die ja bijna bij het midden 
B: 	ja net links van het midden 
A: 	ja 
B: 	ja 
