A: 	oké ik hebben er één ik hebben het het zijn een een het cupje en 
A: 	het hebben een soort van bolle eraan aan de rechterkant met een staaf erdoorheen 
A: 	en een soort van ja zuignap zullen ik het willen omschrijven 
B: 	ja 
B: 	ja 
A: 	zeggen maar zo'n soort zeepbak die in de douche hangen 
B: 	en dan één zo'n stok daarboven 
A: 	en 
A: 	één zo'n stok erbovenop 
B: 	ja 
A: 	ja 
B: 	dat zijn bij nij mij nummer F 
A: 	hij staan bij mij als je van links naar rechts kijken in rij van boven naar beneden dan staan die zeggen maar de twee rij naar rechts ongeveer in het midden 
A: 	dus ik hebben bij mij staan er bijvoorbeeld twee kop aan de rechterkant en dan dat rij één daar links van 
A: 	dus de éénnarechtse rij en dan in het midden 
B: 	oké ja bij mij staan die helemaal rechts er staan geen kop ver naar rechts dus 
A: 	helemaal naar rechts 
B: 	ja 
A: 	ja dan zijn het niet op dezelfde plek 
B: 	dat zijn niet goed 
B: 	dit zijn dat ding met dat bolle aan de waar dan zo'n spijker met die zuignap van de douche 
A: 	ja ja en dan dat dinge aan de 
B: 	en 
B: 	ja 
A: 	dat zijn nummer vijf 
B: 	en hij staan iets boven de middellijn als je vanuit links naar rechts kijken 
B: 	dus iets hoog 
A: 	ja 
B: 	en dan ook iets naar links 
A: 	even kijken dus je hebben de middellijn en je hebben zo dan staan die eigenlijk een beetje halverwege de middellijn en de bovenkant bij mij 
B: 	ja 
A: 	ja 
B: 	ik denken drie rij van links en twee rij van boven of drie misschien 
A: 	ja ja ja zo nou iets veel dan de drie rij van links 
A: 	maar ik ik denken dat die wel op dezelfde plek staan ja 
B: 	ja 
A: 	dus dat zijn geel 
A: 	zuignap 
B: 	ja 
B: 	dat zijn A 
A: 	en hij staan 
A: 	ja ik moeten het het vierkant ja toch ? ja 
B: 	ja 
A: 	zeggen maar rechtsonder maar ja hoe zeggen je dat ? twee rij van onder en 
B: 	ja nee ik denken niet 
A: 	twee of drie rij van rechts 
B: 	bij mij staan die wel op de middellijn echt dus 
A: 	op de middellijn 
B: 	ja 
A: 	oké dan 
B: 	dat zijn niet dezelfde 
B: 	dit zijn weer die zuignap 
A: 	ja vijf 
B: 	en hij staan een beetje rechtsboven maar dan wel nog richting de middellijon zullen ik maar zeggen 
A: 	hij staan bij mij wel echt een beetje op de middellijn 
A: 	en ja hij staan bij mij best wel in het midden van het scherm 
B: 	ja hij staan misschien wel op de middellijn van boven naar onder maar hij staan wel echt naar rechts 
A: 	ja hij hij staan wel zeg maar twee rij van rechts bij mij 
A: 	bij mij staan het wijnglas rechtsboven namelijk 
A: 	met het driehoek 
B: 	ja bij mij ook en daar staan die linksonder ervan 
A: 	en hij staan dan zeggen maar iets linksonder daarvan 
B: 	maar daar staan er bij jou één onder en dan één link ook 
A: 	ja maar dat zijn wel een stuk weer naar links 
B: 	ja dan staan ze niet op dezelfde plek 
A: 	nee 
B: 	want dat zijn die van mij namelijk 
B: 	die naar beneden en dan ook nog naar links 
A: 	oké ja hij je hebben zeggen maar het wijnglas en dan als je hem dat wijnglas naar beneden zullen doen dan 
A: 	oké dat zijn ook niet handig 
A: 	als je nou ja als je dat wijnglas naar beneden zullen doen dan zullen die met zijn zuignap tegen het wijnglas aankomen zeggen maar 
B: 	ja ik snapen wat je bedoelen 
B: 	ja maar dan nee dan zitten ze niet op dezelfde plek 
A: 	oké dan zijn zijn het niet hetzelfde 
A: 	het zuignap 
B: 	dat zijn H 
A: 	en hij staan van boven naar beneden staan die iets naar rechts van de middellijn en bijna op de onderste rij er 
A: 	er zijn er nog één die zeggen maar half zeggen maar ik hebben als je zeggen maar van boven naar beneden kijken en dan de onderste rij dan hebben ik er vijf figuurt 
A: 	en die een klein beetje van hoogte verschil en dan zijn het de middel 
B: 	ja 
B: 	dus iets aan de rechterkant wel 
B: 	er afstaan er zo drie die steeds omlaag gaan veel 
A: 	ja en dan zijn het de de veel links 
B: 	ja 
B: 	dan staan ze op dezelfde plek 
B: 	dit zijn weer de zuignap 
A: 	ja nummer vijftien 
B: 	en hij staan als jij net die rechtsboven bedoelen dan staan die daar linksonder iets van 
A: 	bij mij staan die echt op de middellijn 
B: 	nee nee 
A: 	oké dan zijn die niet hetzelfde 
