B: 	dat gaan best wel smooth 
B: 	ja deze uitzien er heel anders uit dan de rest vinden ik zelf 
B: 	dit zijn dat kop wat zeggen maar op een plaat staan met twee van die geribbeld oort zeggen maar 
A: 	leuk ja zo van die ja ja ja 
B: 	ja 
A: 	ja nee dan weten ik hem 
B: 	ja 
A: 	dat zijn voor mij nummer vijf 
B: 	en die staan bij mij ja nu staan die niet zo makkelijk zeggen maar bij het midden 
B: 	hij staan vanaf het midden zeggen maar aan de linkerkant 
A: 	ja 
B: 	en dan weer in het midden als je daar een lijn zullen trekken 
A: 	ja hij staan bij mij dan net iets boven dat midden zeggen maar 
A: 	zeggen maar net net iets boven Horizontaal 
B: 	ja bij mij staan die eronder 
B: 	dus als je zeggen maar alles in kwart zullen delen dan staan die bij mij links onderin 
A: 	ja 
A: 	bij mij dan net links bovenin 
B: 	oké dus dan zijn het anders 
A: 	oké 
A: 	zijn het niet correct dus rood knop 
B: 	dus rood 
A: 	dit zijn met de de leuk raar oor zeggen maar 
B: 	ja 
B: 	ja als je zo doen dan weten ik het wel ja 
A: 	als je de de Pippi Langkousharen of zo ik weten niet 
B: 	ja beetje wel ja 
A: 	ja 
B: 	dat zijn J 
A: 	en dan staan die helemaal rechtsonder 
A: 	er passen eigenlijk geen blok veel naast 
B: 	oké nee dan staan bij mij staan die wel rechtsonder maar eigenlijk bijna helemaal tegen het midden aan 
A: 	nee oké 
B: 	en er staan nog ander dinge naast dus dat zijn niet dezelfde plek 
A: 	zo 
B: 	oké nu hebben ik met die Pippi Langkousdingen 
A: 	ja nummer elf 
B: 	en die staan bij mij ja ik denken wel op het horizontaal midden 
A: 	ja 
B: 	en dan aan de linkerkant 
A: 	ja 
B: 	hij komen niet bij de bij de kruising zeggen maar 
A: 	nee bij de verticaal lijn komen die niet maar wel bij die horizontaal echt 
B: 	maar hij staan 
B: 	nee 
B: 	maar bij die horizontaal worden die echt wel denken ik wel door raken 
A: 	maar bij die verticaal komen die wel echt bijna 
B: 	nee 
A: 	nee 
B: 	bij mij er kunnen echt nog er kunnen nog bijna zo'n heel ik denken dat er nog driekwart naast kunnen en dan pas komen die bij de verticaal bij mij 
B: 	en aan de linkerkant kunnen die dan nog een keer en dan misschien nog wel zo'n oor erbij 
A: 	nee er kunnen bij mij echt niks veel naast aan die rechterkant nee 
B: 	nee 
B: 	oké 
A: 	oké 
A: 	de de Pippi Langkous 
B: 	die Pippi Langkous dat zijn bij mij P 
B: 	van Pippi 
B: 	en die staan bij mij nee jij moeten weten waar die bij jou staan 
A: 	maken eigenlijk niet uit 
A: 	even kijken hij zijn rechts bovenin 
B: 	ja 
A: 	hij staan vrij ver echt wel dicht tegen de verticaal lijn aan 
A: 	ja 
A: 	ja hij zitten hij staat bijna tegen de verticaal lijn aan 
A: 	zitten ook niks veel link naast dan zeggen maar 
B: 	nee bij mij zitten er link echt nog wel een dinge naast ook dus dat zijn denken ik niet 
A: 	aha de Pinokkio 
B: 	dus ja die staan bij mij daarnaast 
A: 	ja 
A: 	bij mij dus precies andersom dus 
B: 	dus die zijn andersom oké goed om te weten 
B: 	oké nu hebben ik die Pippi Langkous 
A: 	ja nummer negen 
B: 	en die staan bij mij bovenaan maar die staan omwisselen met die picknicktafel dus die kunnen al niet goed zijn ook 
A: 	ja 
A: 	nee want bij mij staan die niet bovenaan inderdaad 
B: 	nee 
A: 	de Pippi Langkous 
B: 	dat zijn L 
A: 	en dan staan die Linksboven 
A: 	hij staan net naast de verticaal lijn 
B: 	hij staan denken ik andersom met die trofee 
B: 	want hij zitten bij mij net rechts 
A: 	met de trofee nee oké ja dan staan die daarmee wisselen ja 
B: 	ja 
B: 	en dan staan die een beetje bij mij onderin 
A: 	ja 
B: 	rood 
