B: 	ja dit moeten mij een beetje denken aan zeggen maar een plank wat dan ophangen zijn waar 
B: 	zeggen maar gat in zitten waar een pan in kunnen en dat zijn dan dat rond ding en dat er nog een bak op staan 
A: 	o 
A: 	Wow dat zijn echt een goed omschrijving ik weten echt in die weten ik echt niet wat ik moeten zien maar nu je het zeggen zien ik het meteen ja bij mij zijn dat zestien 
B: 	wo 
B: 	o 
B: 	o wat een fijn gelukkig 
B: 	ok bij mij O 
B: 	dan moeten jij klikken 
A: 	o ja ja 
B: 	en hij zitten een beetje rechts denken ik op één vier van rechts en hij zitten wel gewoon horizontaal in het midden 
A: 	nee dan zijn het niet hetzelfde 
B: 	nee ? ok 
A: 	bij mij zijn het helemaal de veel rechts helemaal in de hoek 
B: 	o nee dan zijn het inderdaad een ander 
A: 	ok 
A: 	dit zijn die een die jij omschrijven met dat dinge waar dan de pan in zitten 
B: 	o die ja dat zijn P bij mij 
A: 	bij mij veertien 
B: 	ok 
A: 	bij mij staan hij in dat rij aan de rechterkant als drie 
B: 	ja dat dat hebben ik ook ja en een beetje in het midden dan ook 
A: 	ja beetje in het midden en er zitten niks aan de zijkant en ook zeggen maar schuin boven ook niks 
B: 	schuin rechts of schuin link 
A: 	schuin links niks schuin rechts zitten die ander 
B: 	o 
B: 	ja ja ok ja dan hebben ik dezelfde op dezelfde plek 
A: 	ja 
A: 	ja 
A: 	ok 
B: 	o dit zijn weer dat plank met die pan er in 
A: 	ja zijn veertien bij mij 
B: 	ja 
B: 	ok bij mij P 
A: 	ik moeten klikken ja 
B: 	echt telkens automatisch 
B: 	hij zitten zeggen maar op de onderste rij en net iets van het midden af heel klein beetje zeggen maar als dit het midden zijn dan zitten hij net hier zeggen maar 
A: 	aan links of rechts 
B: 	link 
A: 	ja 
A: 	ja bij mij ook wel 
B: 	ok 
A: 	ja 
B: 	okan dan zijn het denken ik wel op dezelfde plek 
A: 	ja 
A: 	dit zijn die pan met die er doorheen zijn 
B: 	die N 
A: 	ja bij mij acht 
A: 	o ja ja 
B: 	dan moeten ik klikken ja 
A: 	hij zeggen maar het zijn de rechtsboven van die spijker die we net zeien 
B: 	o ja dat hebben ik ook ja ja dan zijn het op zelfde plek 
A: 	ok 
A: 	o o 
B: 	dit zijn het plank met de pan 
A: 	plank met de pan even kijken waar die staan o ja tien bij mij 
B: 	ah 
B: 	ok bij mij I 
B: 	en hij staan zeggen maar van het midden zo staan hij net een beetje aan de linkerkant en ik denken op één drie van boven 
A: 	nee 
B: 	ok 
B: 	ok 
A: 	dit zijn die pan die er doorheen zijn 
B: 	o daar D 
A: 	ja zestien bij mij 
A: 	hij staan best wel rechts en als je naar het midden kijken iets boven het midden 
B: 	o nee bij mij zitten hij echt helemaal bovenaan rechts bovenaan 
A: 	o nee 
