A: 	oké 
A: 	ik hebben dat plaat en het lijken een beetje alsof die aan de rechterkant een neus hebben met daar een een paal doorheen 
A: 	dus zo'n rond en daar 
B: 	ja en daarboven zitten nog een klein 
A: 	zitten nog een klein tuu zijn een beetje zien een beetje uit als een inboorling zeggen maar met een neusring 
B: 	ja 
B: 	dat zijn bij mij F 
A: 	oké 
A: 	bij mij staan die rechts en dan ongeveer in het midden 
B: 	ja bij mij ook 
B: 	nou 
A: 	oké 
B: 	de inboorling 
A: 	de inboorling 
A: 	nummer vijf 
B: 	en centrum centrum en dan vijfentwintig procent naar links 
B: 	en dan iets omhoog 
A: 	dus centrum centrum iets veel naar links en iets veel omhoog 
B: 	op 
B: 	ja 
A: 	oké 
A: 	die inboorling 
B: 	ja dat zijn A 
A: 	en dan zitten die ongeveer op vijfenzeventig rechts 
A: 	en dan op dertig van onder denken ik 
B: 	ik hebben de inboorling 
A: 	dat zijn nummer vijf 
B: 	ja 
B: 	en dan van centrum centrum twintig procent naar rechts 
A: 	ja zoiets dat hebben ik ook wel 
A: 	met de neusring 
B: 	je bedoelen de inboorling 
A: 	inboorling die ja 
B: 	H 
A: 	en die staan centrum centrum en dan iets naar onder ongeveer tien of vijftien van onderaf 
B: 	ik hebben de inboorling 
A: 	ja nummer vijftien 
B: 	en dan staan hij ik denken op vijfentwintig procent van de rechterkant af 
B: 	en vijfentwintig procent ook naar onder 
A: 	oké dat hebben ik niet 
