A: 	ok deze dus je hebben gewoon weer dat beker standaard Bekervormpje en er liggen een bolletje bovenop 
A: 	met een rechthoek aan de voorkant recht naar beneden ? en twee van die haak als een soort armp aan de zijkant 
B: 	ja en dan zijn de linkerarm lang dan de rechterarm 
A: 	ja maar dat zijn volgens mij nu omdat ze dat rood rechthoek vierkant er omheen hebben zetten dat de helft van het plaat er half zijn afgekniptten 
B: 	o dat zullen kunnen 
A: 	maar ja nee in ieder geval die zijn nu in dit geval zijn hij kort dan zijn de een dus linkerkant zijn lang dan rechts ja 
B: 	ja 
B: 	ok dat zijn dan D 
A: 	ok 
A: 	ok dus als we weer het het kruis zeggen maar maken zitten hij zijn het vierkant linksonder 
A: 	en dan tegen de middenlijn aan dus als je dan weer een een een kruis maken dan zitten hij in de rechts onderhoek tegen de middenlijn aan 
B: 	ja 
B: 	bij mij ook 
A: 	okan dan zitten hij op dezelfde plek denken ik 
B: 	ok 
A: 	ik weten ook niet 
B: 	o dan moeten ik het doen 
A: 	ja dat zijn dan weer geel 
B: 	ja dus het linkervak 
A: 	ja linksonder 
B: 	en daarbinnen hebben je weer rechtsonder 
A: 	ja dus linksonder in het groot vak en dan rechtond in het klein vak 
B: 	ja ok dan zijn het geel 
A: 	ja ik weten ook niet hoe streng ze daarop zijn of het echt een milimeter of ja dat zullen wel niet 
B: 	ja denken dat het wel duidelijk zijn 
A: 	ja 
B: 	ok dit zijn een kop met een bal aan de bovenkant en 
B: 	er hangen een verticaal balk aan vast o dat zijn weer met die arm en de een arm zijn niet afmaken 
A: 	ja ja dat zijn vijftien bij mij 
B: 	en dan zitten hij in het rechter rechtsondervak weer rechtonder dus eigenlijk gewoon het heel hoek hier 
A: 	ok nee die van mij zitten wel in het rechtsondervlak maar dan linksonder dus dan zitten hij op een ander plek dus dan zijn het rood 
B: 	ok 
A: 	dit zijn die met die bal bovenop en die rechthoek aan de voorkant met die twee ongelijk arm 
B: 	ja dat zijn voor mij L 
A: 	en hij liggen Linksboven ongeveer op de horizontaal middenlijn van het klein vak aan de rechterkant 
B: 	de horizontaal middenlijn van het klein vak 
A: 	klein vak ja dus er kunnen eigenlijk net net wel net niet nog één boven 
B: 	ja ok 
B: 	en hij liggen dus eigenlijk tussen de groot middenlijn en de klein middenlijn 
A: 	ja ja 
B: 	ja 
B: 	dit zijn met die bal bovenop en de verticaal balk aan de voorkant en die twee arm 
A: 	ja ja dat zijn nummer zes 
B: 	en hij liggen op de middellijn van het groot horizontaal lijn 
A: 	o nee die van mij liggen een stuk laag die liggen echt wel 
B: 	okan dan zijn het hem niet 
A: 	dit zijn met die bal bovenop rechthoek voorkant en die twee ongelijk arm 
B: 	bal bovenop rechthoek 
B: 	ja dat zijn voor mij J 
A: 	en hij liggen eigenlijk rechts op de horizontaal lijn 
A: 	past er dan nog één passen er makkelijk tussen tussen dat en de rechter kant 
A: 	en dan zijn er nog een klein beetje ruimte over maar twee zullen niet passen 
B: 	ja bij mij ook 
A: 	hu 
B: 	dit zijn de bal bovenop en de verticaal balk er aan en die twee arm 
A: 	ja dat zijn nummer drie 
B: 	en hij liggen rechtsonder en dan rechtsboven 
A: 	ja 
