B: 	oké 
B: 	ik vinden bij deze lijken alsof het er een soort plank aan vastzit of een soort tafel 
B: 	waar het dan aan hangen dus ik moeten denken aan een een een plantenpot die aan de muur hangen of zo 
B: 	het zijn ja het lijken echt op een tafel dat zo een beetje bovenaan zitten 
A: 	en er er zitten zo'n soort van omdraaien trapezium zitten erop 
B: 	ja 
A: 	zo'n piramide en er zitten Linksboven zitten nog zo'n soort van haak 
B: 	ja 
B: 	ja 
A: 	ja oké dat zijn zestien 
A: 	bij mij zijn dat degeen die helemaal rechtsboven staan 
B: 	nee ander plek 
A: 	oké 
A: 	dit zijn die met dat met die plantenbak met dat tafel 
A: 	met die omgedraaide piramide erbovenop 
B: 	waar zijn die ? ja 
B: 	dus dat zijn P 
A: 	en bij mij zijn die als je rechts zitten en dan gewoon echt het midden van het scherm 
B: 	ja 
B: 	dat zijn hetzelfde 
B: 	dit zijn de de plantenbak aan een tafel 
A: 	even zoeken zoeken zoeken waar zijn die 
A: 	ja 
A: 	dat zijn veertien 
B: 	hij zitten bij mij helemaal onderaan in het midden 
A: 	ja bij mij ook 
B: 	oké 
A: 	onder die een die we net hebben 
A: 	dit zijn weer dat tafel dat in de lucht hangen met die bak erop 
B: 	ja 
B: 	dat zijn N 
A: 	als je die die groep hebben van boven die twee dan zijn het bij mij diegene die daaronder zitten 
A: 	dus Linksboven 
B: 	ja 
B: 	ja dat zijn dezelfde plek 
B: 	dit zijn die met het tafel 
B: 	met de te de plantenpot aan tafel met de omgedraaide piramide op het tafel 
A: 	ja 
A: 	dat zijn tien 
A: 	maar gewoon helemaal boven en dan in het midden 
A: 	precies in het midden 
A: 	zo'n beetje 
B: 	het zijn niet helemaal boven 
B: 	bij mij 
B: 	er zitten er nog één boven 
A: 	nee bij mij zijn dat wel 
A: 	dit zijn weer die tafel die opgetilgen worden 
A: 	of tenminste dat met die plantenbakachtig 
B: 	oké dat zijn D 
A: 	en als je helemaal rechts kijken dan zijn het zeggen maar niet degeen die het veel rechts zitten maar één daarna 
A: 	zitten link zeggen maar 
B: 	bij mij zitten die veel in de rechterbovenhoek 
B: 	kloppen dat 
A: 	ja vinden ik lastig want er zitten er zeggen maar twee die best wel rechtsboven in de bovenhoek zitten 
A: 	als je zeggen maar echt vanuit rechts komen 
A: 	dan hebben je er één die echt in het midden van de ja zeggen maar zo midden zijn 
A: 	maar dan zitten er één boven 
B: 	nee er zitten bij bij deze niks boven 
B: 	dan zijn het niet ik denken niet dat het dezelfde plek zijn 
A: 	oké 
